disease_name,disease_id,match_type,q_threshold,tahoe_hits_list,cmap_hits_list,common_hits_list,tahoe_in_known_list,cmap_in_known_list,common_in_known_list,total_in_known_list
renal cell carcinoma,EFO_0000681,name,0.05,[],"['lansoprazole', 'fulvestrant', 'trimipramine', 'methylbenzethonium chloride', 'trichostatin a', 'metacycline', 'enilconazole', 'mefenamic acid', 'simvastatin', 'tetracycline']",[],[],[],[],[]
glioblastoma multiforme,EFO_0000519,name,0.05,"['posaconazole', 'ph797804', 'tak901', 'pexidartinib hydrochloride', 'artesunate', 'bay1125976', 'demeclocycline', 'bi78d3', 'doxorubicin hydrochloride', 'sivelestat sodium tetrahydrate', 'diphenhydramine', 'anastrozole', 'sildenafil', 'asciminib', 'trametinib dmso_tf solvate', 'cinacalcet', 'rifaximin', 'pemetrexed', 'paclitaxel', 'penfluridol', 'phenytoin sodium', 'altretamine', 'nvpbhg712', 'panobinostat', 'allopurinol']",[],[],"['panobinostat', 'sildenafil', 'paclitaxel', 'doxorubicin hydrochloride']",[],[],"['panobinostat', 'sildenafil', 'paclitaxel', 'doxorubicin hydrochloride']"
esophagus adenocarcinoma,EFO_0000478,synonym,0.05,"['bortezomib', 'lji308', 'artemether', 'econazole', 'niclosamide olamine', 'azd1390', 'adagrasib', 'osimertinib mesylate', 'bi3406', 'imiquimod maleate', 'fedratinib hydrochloride hydrate', 'azd8055', 'erlotinib', 'brivudine', 'ly2584702 tosylate salt', 'omeprazole sodium', '5fluorouracil', 'sinomenine', 'triamcinolone', 'budesonide', 'ixazomib', 'ixazomib citrate', 'tomivosertib', 'fulvestrant', 'fingolimod hydrochloride', 'quinidine 15 dihydroquinidine', 'vinblastine sulfate', 'gefitinib', 'mk8353', 'harringtonine', 'vemurafenib', 'homoharringtonine', 'entecavir monohydrate', 'leflornithine monohydrochloride', 'gallic acid', 'clopidogrel', 'pralsetinib', 'aspirin', 'panobinostat', 'cyclosporin a']",[],[],['5fluorouracil'],[],[],['5fluorouracil']
colorectal adenocarcinoma,EFO_0000365,name,0.05,"['dihydroartemisinin', 'minodronic acid', 'indacaterol maleate', 'dtp3', 'homoharringtonine', 'oxaliplatin', 'doxorubicin hydrochloride']",[],[],[],[],[],[]
papillary thyroid carcinoma,EFO_0000641,name,0.05,[],[],[],[],[],[],[]
polycystic ovary syndrome,EFO_0000660,name,0.05,"['ritonavir', 'pyridoxine', 'azd8055', 'glycyrrhizic acid', 'carbidopa monohydrate', 'furosemide', 'futibatinib', 'abemaciclib', 'sivelestat sodium tetrahydrate', 'ng25', 'erdafitinib', 'tofacitinib', 'proglumide', 'indacaterol maleate', 'bimiralisib', 'dtp3', 'tofacitinib citrate', 'irinotecan hydrochloride', 'ots514', 'pf06260933', 'tucidinostat', 'berberine chloride hydrate', 'bendamustine', 'daidzin', 'busulfan', 'lidocaine hydrochloride', 'ckitin1', 'artesunate', 'mebendazole', 'delamanid', 'oxaprozin', 'bergenin', 'sonidegib', 'triclosan', '5fluorouracil', 'flutamide', 'talc', 'balsalazide sodium hydrate', 'verteporfin', 'ropivacaine hydrochloride monohydrate', 'neratinib maleate', 'ciclopirox', 'piroxicam', 'lopinavir', 'volasertib', 'eplerenone', 'drospirenone', 'dapagliflozin 2s12propanediol hydrate', 'bimatoprost', 'abiraterone acetate', 'rutin trihydrate', 'benztropine mesylate', 'darinaparsin', 'pentoxifylline', 'budesonide', 'ixazomib', 'bestatin', 'entrectinib', 'sbi0640756', 'dapagliflozin', 'digitoxin', 'hydroxyfasudil', 'oxaliplatin', 'relugolix', 'cinacalcet', 'pimozide', 'orlistat', 'niclosamide olamine', 'sulfisoxazole', 'ornidazole', 'dabrafenib', 'filgotinib', 'raltitrexed', 'doxycycline monohydrate', 'fulvestrant', 'gemfibrozil', 'xrk3f2', 'elimusertib hydrochloride', 'dexmedetomidine', 'crizotinib hydrochloride', 'paclitaxel', 'pentamidine isethionate', 'perindopril erbumine', 'allantoin', 'estrone sulfate potassium', 'regorafenib', 'rapamycin', 'rverapamil hydrochloride', 'flumatinib mesylate', 'pyridoxine hydrochloride', 'dt061', 'belumosudil', 'alpelisib', 'adenine', 'oleic acid', 'tak733', 'sacubitrilvalsartan', 'minodronic acid', 'azithromycin hydrate', 'gemcitabine', 'brivudine', 'tadalafil', 'bicalutamide', 'iq 1', 'diphenhydramine', 'nimesulide', 'trametinib dmso_tf solvate', 'pasireotide acetate', '8hydroxyquinoline', 'encorafenib', 'lucanthone', 'ipatasertib', 'tucatinib', 'ponatinib', 'medroxyprogesterone acetate', 'apalutamide', 'betamethasone dipropionate', 'tetracycline hydrochloride', 'ph797804', 'omeprazole', 'baicalin', 'dexamethasone', 'retinoic acid', 'auranofin', 'ribociclib', 'fedratinib hydrochloride hydrate', 'trimetrexate', 'tazarotene', 'belzutifan', 'clotrimazole', 'olanzapine', 'vismodegib', 'tomivosertib', 'daptomycin', 'anastrozole', 'sildenafil', 'almonertinib mesylate', 'ranolazine', 'silodosin', 'afatinib', 'menadione', 'neratinib', 'palmatine chloride', 'berbamine', 'torkinib', 'fenofibrate', 'olaparib', 'allopurinol', 'pentagastrin', 'econazole', 'posaconazole', 'temuterkib', 'ferulic acid', 'cytarabine hydrochloride', 'infigratinib', 'finasteride', 'norepinephrine hydrochloride', 'pioglitazone', 'rosiglitazone', 'meloxicam', 'quinestrol', 'pitavastatin calcium', 'bestatin hydrochloride', 'fingolimod hydrochloride', 'belumosudil mesylate', 'vincristine', 'canagliflozin hemihydrate', 'sapanisertib', 'rifaximin', 'mk8353', 'atazanavir sulfate', 'mifepristone', 'monocrotaline', 'harringtonine', 'leflornithine monohydrochloride', 'almonertinib hydrochloride', 'chlorhexidine diacetate', 'glasdegib', 'ivermectin', 'artemether', 'vortioxetine', 'aprepitant', 'benproperine phosphate', 'azd1390', 'clofarabine', 'lonafarnib', 'bi3406', 'voriconazole', 'verapamil', 'bi78d3', 'canagliflozin', 'peretinoin', 'nevirapine', 'goserelin acetate', 'loperamide hydrochloride', 'omeprazole sodium', 'simotinib', 'methotrexate', 'cobimetinib', 'brimonidine', 'larotrectinib', 'edoxaban tosylate monohydrate', 'palbociclib', 'homoharringtonine', 'trametinib', 'cyclosporin a', 'fluvoxamine maleate', 'mk3903', 'cytarabine', 'dorzolamide hydrochloride', 'zileuton', 'irinotecan', 'naproxen', '18βglycyrrhetinic acid', 'ouabain octahydrate', 'levobupivacaine hydrochloride', 'azd2858', 'lactate calcium', 'terfenadine', 'γoryzanol', 'isocorydine', 'capivasertib', 'lipoic acid', 'malotilate', 'temsirolimus', 'altretamine', 'ml264', 'riluzole hydrochloride', 'fumaric acid', 'gsk1059615', 'azd7648', 'docetaxel trihydrate', 'pexidartinib hydrochloride', 'lthyroxine sodium salt pentahydrate', 'hitopk032', 'ex229', 'asciminib', 'tirabrutinib', 'cysteamine hydrochloride', 'vemurafenib', 'resveratrol', 'apto253', 'elagolix sodium', 'hydroxyurea', 'tak901', 'uridine', 'clobetasol propionate', 'esmolol hydrochloride', 'methylthiouracil', 'triamcinolone', 'epirubicin hydrochloride', 'radotinib', 'bentamapimod', 'tranilast', 'rucaparib phosphate', 'bosentan hydrate', 'amsacrine', 'rimonabant hydrochloride', 'gallic acid', 'erythromycin', 'tubulin inhibitor 6', 'bortezomib', 'lji308', '4egi1', 'tolcapone', 'topotecan hydrochloride', 'adagrasib', 'imiquimod maleate', 'bay1125976', 'lapatinib ditosylate', 'roxadustat', 'megestrol', 'pemigatinib', 'ralimetinib dimesylate', 'ixazomib citrate', 'imiquimod hydrochloride', 'capmatinib', 'cilostazol', 'sadenosyllmethionine disulfate tosylate', 'hexylresorcinol', 'mitoxantrone dihydrochloride', 'sodium salicylate', 'acetazolamide', 'everolimus', 'bexarotene', 'clopidogrel', 'panobinostat', 'cp21r7', 'procainamide hydrochloride', 'ataluren', '5azacytidine', 'lumateperone tosylate', 'vitamin k4', 'sulfatinib', 'trifluridine', 'demeclocycline', 'fusidic acid', 'thymopentin', 'cloxacillin sodium', 'berbamine dihydrochloride', 'mozavaptan', 'saquinavir', 'erk5in2', 'belinostat', 'valdecoxib', 'aliskiren', 'phenylephrine hydrochloride', 'decitabine', 'cabozantinib smalate', 'at7519', 'fostamatinib disodium hexahydrate', 'sunitinib', 'gallic acid hydrate', 'rmc6236', 'ligustrazine', 'osimertinib mesylate', 'fluvoxamine', 'tolmetin', 'dinaciclib', 'erlotinib', 'ly2584702 tosylate salt', 'diammonium glycyrrhizinate', 'doxorubicin hydrochloride', 'binimetinib', 'idarubicin hydrochloride', 'lenalidomide hemihydrate', '9ing41', 'rimonabant', 'methylprednisolone succinate', 'pravastatin sodium', 'vandetanib', 'crizotinib', 'ly2090314', 'docetaxel', 'sinomenine', 'plicamycin', 'venetoclax', 'darolutamide', 'acetohexamide', 'etc206', 'selinexor', 'dimethyl fumarate', 'penfluridol', 'entecavir monohydrate', 'nvpbhg712', 'macitentan', 'adenosine', 'hesperidin', 'scrizotinib', 'methyl aminolevulinate hydrochloride', 'celecoxib', 'cepharanthine', 'thymol', 'dihydroartemisinin', 'clonidine hydrochloride', 'ulk101', 'nafamostat mesylate', 'captopril', 'lb100', 'vilanterol', 'arbutin', 'tirabrutinib hydrochloride', 'carbamazepine', 'quinidine 15 dihydroquinidine', 'vinblastine sulfate', 'idoxuridine', 'gefitinib', 'ivabradine hydrochloride', 'pemetrexed', 'pimitespib', 'citalopram hydrobromide', 'larotrectinib sulfate', 'phenytoin sodium', 'aspirin', 'pralsetinib', 'folic acid', 'salicylic acid']","['3nitropropionic acid', '5155877', 'chelidonine', 'felodipine', 'fulvestrant', 'probenecid', 'cp69033401', 'piribedil', 'ethambutol', 'sirolimus', 'tetramisole', '5140203', 'mefloquine', 'pararosaniline', 'crotamiton']",['fulvestrant'],"['pioglitazone', 'dapagliflozin', 'canagliflozin', 'drospirenone', 'orlistat', 'canagliflozin hemihydrate', 'flutamide']",[],[],"['pioglitazone', 'dapagliflozin', 'canagliflozin', 'drospirenone', 'orlistat', 'canagliflozin hemihydrate', 'flutamide']"
bipolar disorder,MONDO_0004985,name,0.05,"['procainamide hydrochloride', 'flumatinib mesylate', 'cytarabine', 'sacubitrilvalsartan', 'fusidic acid', 'glycyrrhizic acid', 'dorzolamide hydrochloride', 'mozavaptan', 'erk5in2', 'anethole trithione', 'diphenhydramine', 'aliskiren', 'levobupivacaine hydrochloride', 'dtp3', 'lucanthone', 'lipoic acid', 'altretamine', 'pf06260933', 'tetracycline hydrochloride', 'apalutamide', 'rmc6236', 'azd7648', 'fluvoxamine', 'daidzin', 'tolmetin', 'pexidartinib hydrochloride', 'ribociclib', 'artesunate', 'bergenin', 'erlotinib', 'doxorubicin hydrochloride', 'balsalazide sodium hydrate', 'daptomycin', '9ing41', 'anastrozole', 'methylprednisolone succinate', 'tirabrutinib', 'vemurafenib', 'piroxicam', 'berbamine', 'eplerenone', 'olaparib', 'apto253', 'dapagliflozin 2s12propanediol hydrate', 'allopurinol', 'crizotinib', 'econazole', 'posaconazole', 'temuterkib', 'tak901', 'ferulic acid', 'cytarabine hydrochloride', 'rutin trihydrate', 'finasteride', 'ly2090314', 'pitavastatin calcium', 'budesonide', 'plicamycin', 'sbi0640756', 'radotinib', 'bentamapimod', 'relugolix', 'cinacalcet', 'sapanisertib', 'monocrotaline', 'dimethyl fumarate', 'harringtonine', 'penfluridol', 'rimonabant hydrochloride', 'gallic acid', 'orlistat', 'ivermectin', 'glasdegib', 'bisoprolol hemifumarate', '4egi1', 'benproperine phosphate', 'azd1390', 'clofarabine', 'topotecan hydrochloride', 'adagrasib', 'sulfisoxazole', 'bi3406', 'ornidazole', 'bay1125976', 'clonidine hydrochloride', 'dabrafenib', 'filgotinib', 'canagliflozin', 'peretinoin', 'roxadustat', 'nevirapine', 'goserelin acetate', 'ralimetinib dimesylate', 'arbutin', 'tirabrutinib hydrochloride', 'cilostazol', 'quinidine 15 dihydroquinidine', 'sadenosyllmethionine disulfate tosylate', 'ivabradine hydrochloride', 'mitoxantrone dihydrochloride', 'dexmedetomidine', 'larotrectinib sulfate', 'phenytoin sodium', 'aspirin', 'pralsetinib']",[],[],"['allopurinol', 'aspirin']",[],[],"['allopurinol', 'aspirin']"
uterine fibroid,EFO_0000731,name,0.05,"['artesunate', 'mebendazole', 'clonidine hydrochloride', 'dabrafenib', 'methyl aminolevulinate hydrochloride', 'bimiralisib', 'cilostazol', 'homoharringtonine', 'carbidopa monohydrate', 'lipoic acid', 'canagliflozin', 'diphenhydramine', 'lucanthone', 'radotinib', 'tak901', 'dexamethasone', 'irinotecan', 'budesonide']","['ethotoin', 'etiocholanolone', 'prestwick665', 'diloxanide', 'eticlopride']",[],[],[],[],[]
systemic lupus erythematosus,MONDO_0007915,name,0.05,"['ritonavir', 'pyridoxine', 'azd8055', 'glycyrrhizic acid', 'carbidopa monohydrate', 'futibatinib', 'abemaciclib', 'sivelestat sodium tetrahydrate', 'anethole trithione', 'ng25', 'erdafitinib', 'tofacitinib', 'proglumide', 'indacaterol maleate', 'bimiralisib', 'dtp3', 'tofacitinib citrate', 'irinotecan hydrochloride', 'ots514', 'pf06260933', 'tucidinostat', 'berberine chloride hydrate', 'bendamustine', 'daidzin', 'busulfan', 'lidocaine hydrochloride', 'ckitin1', 'artesunate', 'mebendazole', 'delamanid', 'oxaprozin', 'bergenin', 'sonidegib', 'triclosan', '5fluorouracil', 'flutamide', 'talc', 'balsalazide sodium hydrate', 'verteporfin', 'ropivacaine hydrochloride monohydrate', 'neratinib maleate', 'ciclopirox', 'piroxicam', 'lopinavir', 'volasertib', 'eplerenone', 'drospirenone', 'dapagliflozin 2s12propanediol hydrate', 'bimatoprost', 'abiraterone acetate', 'rutin trihydrate', 'benztropine mesylate', 'darinaparsin', 'pentoxifylline', 'budesonide', 'ixazomib', 'bestatin', 'entrectinib', 'sbi0640756', 'dapagliflozin', 'digitoxin', 'hydroxyfasudil', 'relugolix', 'cinacalcet', 'pimozide', 'orlistat', 'niclosamide olamine', 'sulfisoxazole', 'ornidazole', 'dabrafenib', 'filgotinib', 'raltitrexed', 'doxycycline monohydrate', 'fulvestrant', 'gemfibrozil', 'elimusertib hydrochloride', 'dexmedetomidine', 'crizotinib hydrochloride', 'paclitaxel', 'pentamidine isethionate', 'perindopril erbumine', 'allantoin', 'estrone sulfate potassium', 'regorafenib', 'rapamycin', 'rverapamil hydrochloride', 'flumatinib mesylate', 'pyridoxine hydrochloride', 'dt061', 'belumosudil', 'tak733', 'sacubitrilvalsartan', 'azithromycin hydrate', 'gemcitabine', 'brivudine', 'tadalafil', 'bicalutamide', 'iq 1', 'diphenhydramine', 'nimesulide', 'trametinib dmso_tf solvate', 'pasireotide acetate', '8hydroxyquinoline', 'encorafenib', 'lucanthone', 'ipatasertib', 'tucatinib', 'ponatinib', 'medroxyprogesterone acetate', 'apalutamide', 'betamethasone dipropionate', 'tetracycline hydrochloride', 'ph797804', 'omeprazole', 'baicalin', 'dexamethasone', 'retinoic acid', 'auranofin', 'ribociclib', 'fedratinib hydrochloride hydrate', 'trimetrexate', 'tazarotene', 'belzutifan', 'clotrimazole', 'olanzapine', 'vismodegib', 'tomivosertib', 'daptomycin', 'anastrozole', 'sildenafil', 'almonertinib mesylate', 'ranolazine', 'silodosin', 'afatinib', 'menadione', 'neratinib', 'torkinib', 'berbamine', 'fenofibrate', 'olaparib', 'allopurinol', 'pentagastrin', 'econazole', 'posaconazole', 'temuterkib', 'ferulic acid', 'cytarabine hydrochloride', 'infigratinib', 'finasteride', 'norepinephrine hydrochloride', 'pioglitazone', 'rosiglitazone', 'meloxicam', 'pitavastatin calcium', 'bestatin hydrochloride', 'fingolimod hydrochloride', 'belumosudil mesylate', 'vincristine', 'canagliflozin hemihydrate', 'sapanisertib', 'rifaximin', 'mk8353', 'atazanavir sulfate', 'mifepristone', 'monocrotaline', 'harringtonine', 'leflornithine monohydrochloride', 'almonertinib hydrochloride', 'chlorhexidine diacetate', 'glasdegib', 'ivermectin', 'bisoprolol hemifumarate', 'artemether', 'vortioxetine', 'aprepitant', 'benproperine phosphate', 'azd1390', 'clofarabine', 'lonafarnib', 'bi3406', 'voriconazole', 'verapamil', 'bi78d3', 'canagliflozin', 'peretinoin', 'nevirapine', 'goserelin acetate', 'loperamide hydrochloride', 'omeprazole sodium', 'simotinib', 'methotrexate', 'cobimetinib', 'brimonidine', 'larotrectinib', 'edoxaban tosylate monohydrate', 'palbociclib', 'trametinib', 'cyclosporin a', 'fluvoxamine maleate', 'mk3903', 'cytarabine', 'dorzolamide hydrochloride', 'zileuton', 'irinotecan', 'naproxen', '18βglycyrrhetinic acid', 'ouabain octahydrate', 'levobupivacaine hydrochloride', 'azd2858', 'lactate calcium', 'terfenadine', 'γoryzanol', 'isocorydine', 'capivasertib', 'lipoic acid', 'malotilate', 'temsirolimus', 'altretamine', 'ml264', 'riluzole hydrochloride', 'fumaric acid', 'gsk1059615', 'azd7648', 'docetaxel trihydrate', 'pexidartinib hydrochloride', 'lthyroxine sodium salt pentahydrate', 'hitopk032', 'ex229', 'asciminib', 'tirabrutinib', 'vemurafenib', 'resveratrol', 'apto253', 'elagolix sodium', 'hydroxyurea', 'tak901', 'uridine', 'clobetasol propionate', 'methylthiouracil', 'triamcinolone', 'epirubicin hydrochloride', 'radotinib', 'bentamapimod', 'tranilast', 'rucaparib phosphate', 'bosentan hydrate', 'amsacrine', 'rimonabant hydrochloride', 'gallic acid', 'erythromycin', 'tubulin inhibitor 6', 'bortezomib', 'lji308', '4egi1', 'tolcapone', 'topotecan hydrochloride', 'adagrasib', 'imiquimod maleate', 'bay1125976', 'lapatinib ditosylate', 'roxadustat', 'megestrol', 'pemigatinib', 'ralimetinib dimesylate', 'ixazomib citrate', 'imiquimod hydrochloride', 'capmatinib', 'cilostazol', 'sadenosyllmethionine disulfate tosylate', 'hexylresorcinol', 'mitoxantrone dihydrochloride', 'sodium salicylate', 'acetazolamide', 'everolimus', 'bexarotene', 'clopidogrel', 'panobinostat', 'procainamide hydrochloride', 'ataluren', '5azacytidine', 'lumateperone tosylate', 'vitamin k4', 'sulfatinib', 'trifluridine', 'demeclocycline', 'fusidic acid', 'thymopentin', 'cloxacillin sodium', 'berbamine dihydrochloride', 'mozavaptan', 'saquinavir', 'erk5in2', 'belinostat', 'valdecoxib', 'aliskiren', 'phenylephrine hydrochloride', 'decitabine', 'cabozantinib smalate', 'at7519', 'fostamatinib disodium hexahydrate', 'sunitinib', 'gallic acid hydrate', 'rmc6236', 'ligustrazine', 'osimertinib mesylate', 'fluvoxamine', 'tolmetin', 'dinaciclib', 'erlotinib', 'ly2584702 tosylate salt', 'diammonium glycyrrhizinate', 'doxorubicin hydrochloride', 'binimetinib', 'idarubicin hydrochloride', 'lenalidomide hemihydrate', '9ing41', 'rimonabant', 'methylprednisolone succinate', 'pravastatin sodium', 'vandetanib', 'crizotinib', 'ly2090314', 'docetaxel', 'sinomenine', 'plicamycin', 'venetoclax', 'darolutamide', 'acetohexamide', 'etc206', 'selinexor', 'dimethyl fumarate', 'penfluridol', 'entecavir monohydrate', 'nvpbhg712', 'macitentan', 'adenosine', 'hesperidin', 'scrizotinib', 'methyl aminolevulinate hydrochloride', 'celecoxib', 'cepharanthine', 'thymol', 'dihydroartemisinin', 'clonidine hydrochloride', 'ulk101', 'nafamostat mesylate', 'captopril', 'lb100', 'vilanterol', 'arbutin', 'tirabrutinib hydrochloride', 'carbamazepine', 'quinidine 15 dihydroquinidine', 'vinblastine sulfate', 'idoxuridine', 'gefitinib', 'ivabradine hydrochloride', 'pemetrexed', 'citalopram hydrobromide', 'larotrectinib sulfate', 'phenytoin sodium', 'aspirin', 'pralsetinib', 'folic acid']",[],[],"['cytarabine', 'pioglitazone', 'methotrexate', 'tofacitinib', 'fulvestrant', 'medroxyprogesterone acetate', 'meloxicam', 'filgotinib', 'fostamatinib disodium hexahydrate', 'diphenhydramine', 'clopidogrel', 'aspirin', 'tofacitinib citrate', 'dexamethasone', 'rapamycin']",[],[],"['cytarabine', 'pioglitazone', 'methotrexate', 'tofacitinib', 'fulvestrant', 'medroxyprogesterone acetate', 'meloxicam', 'filgotinib', 'fostamatinib disodium hexahydrate', 'diphenhydramine', 'clopidogrel', 'aspirin', 'tofacitinib citrate', 'dexamethasone', 'rapamycin']"
hepatocellular carcinoma,EFO_0000182,name,0.05,"['rverapamil hydrochloride', 'fluvoxamine maleate', 'flumatinib mesylate', 'pyridoxine hydrochloride', 'dt061', 'ataluren', 'ritonavir', 'belumosudil', 'adenine', '5azacytidine', 'lumateperone tosylate', 'cytarabine', 'vitamin k4', 'tak733', 'pyridoxine', 'azd8055', 'fusidic acid', 'azithromycin hydrate', 'thymopentin', 'cloxacillin sodium', 'glycyrrhizic acid', 'berbamine dihydrochloride', 'carbidopa monohydrate', 'furosemide', 'zileuton', 'saquinavir', 'abemaciclib', 'irinotecan', 'bicalutamide', '18βglycyrrhetinic acid', 'anethole trithione', 'naproxen', 'iq 1', 'diphenhydramine', 'erdafitinib', 'valdecoxib', 'aliskiren', 'pasireotide acetate', 'azd2858', 'lactate calcium', 'terfenadine', 'γoryzanol', 'phenylephrine hydrochloride', 'bimiralisib', 'dtp3', 'encorafenib', 'lucanthone', 'capivasertib', 'cabozantinib smalate', 'lipoic acid', 'regorafenib', 'at7519', 'tofacitinib citrate', 'riluzole hydrochloride', 'ots514', 'fumaric acid', 'ponatinib', 'gallic acid hydrate', 'apalutamide', 'betamethasone dipropionate', 'tucidinostat', 'rmc6236', 'berberine chloride hydrate', 'omeprazole', 'bendamustine', 'osimertinib mesylate', 'baicalin', 'busulfan', 'lidocaine hydrochloride', 'dexamethasone', 'retinoic acid', 'auranofin', 'ribociclib', 'artesunate', 'oxaprozin', 'trimetrexate', 'bergenin', 'sonidegib', 'belzutifan', 'diammonium glycyrrhizinate', 'lthyroxine sodium salt pentahydrate', 'triclosan', 'salicylic acid', 'flutamide', 'clotrimazole', 'olanzapine', 'vismodegib', 'hitopk032', 'balsalazide sodium hydrate', 'daptomycin', 'anastrozole', 'sildenafil', 'asciminib', 'almonertinib mesylate', 'tirabrutinib', 'verteporfin', 'afatinib', 'ropivacaine hydrochloride monohydrate', 'ciclopirox', 'vemurafenib', 'piroxicam', 'torkinib', 'volasertib', 'resveratrol', 'olaparib', 'apto253', 'bimatoprost', 'allopurinol', 'crizotinib', 'elagolix sodium', 'econazole', 'uridine', 'abiraterone acetate', 'ferulic acid', 'clobetasol propionate', 'esmolol hydrochloride', 'finasteride', 'ly2090314', 'docetaxel', 'pioglitazone', 'meloxicam', 'methylthiouracil', 'benztropine mesylate', 'pitavastatin calcium', 'pentoxifylline', 'sinomenine', 'triamcinolone', 'budesonide', 'ixazomib', 'plicamycin', 'acetohexamide', 'entrectinib', 'sbi0640756', 'dapagliflozin', 'bentamapimod', 'hydroxyfasudil', 'cinacalcet', 'mk8353', 'amsacrine', 'pimozide', 'rimonabant hydrochloride', 'erythromycin', 'almonertinib hydrochloride', 'nvpbhg712', 'chlorhexidine diacetate', 'glasdegib', 'ivermectin', 'adenosine', 'bortezomib', 'hesperidin', 'artemether', 'methyl aminolevulinate hydrochloride', '4egi1', 'tolcapone', 'adagrasib', 'celecoxib', 'sulfisoxazole', 'bi3406', 'thymol', 'ornidazole', 'dihydroartemisinin', 'clonidine hydrochloride', 'nafamostat mesylate', 'filgotinib', 'lapatinib ditosylate', 'raltitrexed', 'trifluridine', 'megestrol', 'goserelin acetate', 'lb100', 'loperamide hydrochloride', 'pemigatinib', 'simotinib', 'ixazomib citrate', 'methotrexate', 'fulvestrant', 'imiquimod hydrochloride', 'sadenosyllmethionine disulfate tosylate', 'brimonidine', 'elimusertib hydrochloride', 'hexylresorcinol', 'ivabradine hydrochloride', 'sodium salicylate', 'acetazolamide', 'crizotinib hydrochloride', 'larotrectinib', 'edoxaban tosylate monohydrate', 'everolimus', 'pentamidine isethionate', 'citalopram hydrobromide', 'homoharringtonine', 'larotrectinib sulfate', 'perindopril erbumine', 'trametinib', 'estrone sulfate potassium', 'pralsetinib', 'folic acid', 'rapamycin']",[],[],"['docetaxel', 'acetazolamide', 'azd8055', 'everolimus', 'raltitrexed', 'sonidegib', 'cabozantinib smalate', 'trametinib', 'erdafitinib', 'celecoxib', 'dexamethasone', 'regorafenib', 'abemaciclib', 'irinotecan', 'rapamycin', 'ribociclib']",[],[],"['docetaxel', 'acetazolamide', 'azd8055', 'everolimus', 'raltitrexed', 'sonidegib', 'cabozantinib smalate', 'trametinib', 'erdafitinib', 'celecoxib', 'dexamethasone', 'regorafenib', 'abemaciclib', 'irinotecan', 'rapamycin', 'ribociclib']"
fragile X syndrome,MONDO_0010383,name,0.05,"['cp21r7', 'medroxyprogesterone acetate', 'berberine chloride hydrate', 'dt061', 'topotecan hydrochloride', 'adagrasib', 'bendamustine', 'daidzin', 'bi3406', 'clobetasol propionate', 'dexamethasone', '5azacytidine', 'norepinephrine hydrochloride', 'ckitin1', 'bay1125976', 'cytarabine', 'ly2090314', 'tak733', 'azd8055', 'nafamostat mesylate', 'gemcitabine', 'benztropine mesylate', 'carbidopa monohydrate', 'bi78d3', 'canagliflozin', 'darinaparsin', 'erlotinib', 'ly2584702 tosylate salt', 'lthyroxine sodium salt pentahydrate', 'megestrol', 'lb100', 'loperamide hydrochloride', 'abemaciclib', 'binimetinib', 'pemigatinib', 'simotinib', 'hitopk032', 'venetoclax', 'methotrexate', 'darolutamide', 'gemfibrozil', 'cobimetinib', 'cilostazol', 'quinidine 15 dihydroquinidine', 'xrk3f2', '9ing41', 'erdafitinib', 'oxaliplatin', 'valdecoxib', 'rucaparib phosphate', 'brimonidine', 'ranolazine', 'mk8353', 'sodium salicylate', 'atazanavir sulfate', 'edoxaban tosylate monohydrate', 'amsacrine', 'citalopram hydrobromide', 'sunitinib', 'piroxicam', 'vemurafenib', 'berbamine', 'trametinib', 'volasertib', 'palbociclib', 'fenofibrate', 'nvpbhg712', 'regorafenib', 'ipatasertib', 'pf06260933']",[],[],[],[],[],[]
