disease_name,disease_id,match_type,q_threshold,tahoe_hits_count,cmap_hits_count,common_hits_count,known_drugs_in_database_count,known_drugs_available_in_cmap_count,known_drugs_available_in_tahoe_count,tahoe_in_known_count,cmap_in_known_count,common_in_known_count,total_in_known_count,phase_0.5,phase_1.0,phase_2.0,phase_3.0,phase_4.0,"status_Active, not recruiting",status_Completed,status_Enrolling by invitation,status_Not yet recruiting,status_Recruiting,status_Suspended,status_Terminated,status_Unknown,status_Unknown status,status_Withdrawn
Squamous cell carcinoma of mouth,EFO_0000199,synonym,0.1,379,1177,58,401,7,8,8,7,3,12,1.0,1.0,13.0,4.0,0.0,4.0,7.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0
Vulvar intraepithelial tumor,EFO_0002627,synonym,0.1,266,413,12,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronchopulmonary dysplasia,MONDO_0019091,name,0.1,159,39,0,448,6,4,2,1,0,3,0.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Setleis syndrome,MONDO_0013996,synonym,0.1,152,402,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psoriasis,EFO_0000676,name,0.1,335,99,4,1473,24,15,14,2,1,15,2.0,10.0,15.0,10.0,22.0,1.0,31.0,0.0,3.0,6.0,0.0,3.0,7.0,5.0,3.0
oligodendroglioma,EFO_0000632,name,0.1,193,235,3,135,2,4,2,0,0,2,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lung large cell carcinoma,EFO_0003050,synonym,0.1,348,26,0,250,3,6,5,1,0,6,0.0,1.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
cerebral palsy,EFO_1000632,name,0.1,148,29,0,287,3,0,0,1,0,1,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
cleft lip,EFO_0003959,name,0.1,89,40,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dengue hemorrhagic fever,EFO_0004227,name,0.1,313,144,8,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gastrointestinal stromal tumor,MONDO_0011719,name,0.1,22,1,0,464,5,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellular phase chronic idiopathic myelofibrosis,0,no_match,0.1,262,122,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
head and neck squamous cell carcinoma,EFO_0000181,name,0.1,270,3,0,1045,14,27,15,0,0,15,1.0,16.0,19.0,4.0,0.0,3.0,14.0,0.0,2.0,8.0,0.0,7.0,0.0,2.0,4.0
colorectal cancer,MONDO_0005575,name,0.1,201,123,3,2124,36,46,26,7,0,33,1.0,37.0,47.0,20.0,0.0,7.0,39.0,0.0,5.0,16.0,0.0,15.0,0.0,17.0,6.0
endometriosis of ovary,EFO_1000418,synonym,0.1,163,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idiopathic interstitial pneumonia,MONDO_0002429,name,0.1,80,42,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple sclerosis,MONDO_0005301,name,0.1,141,360,7,1885,43,16,7,14,1,20,1.0,3.0,13.0,11.0,5.0,2.0,14.0,0.0,0.0,1.0,0.0,6.0,4.0,4.0,2.0
lupus erythematosus,MONDO_0004670,name,0.1,216,65,0,45,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pulmonary fibrosis,EFO_0009448,name,0.1,282,4,1,232,3,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Epithelial proliferation,0,no_match,0.1,55,81,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interstitial cystitis,EFO_0008507,name,0.1,60,1,0,281,5,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urothelial carcinoma in situ,0,no_match,0.1,100,670,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancreatic non-invasive intraductal papillary-mucinous carcinoma,0,no_match,0.1,236,191,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swine influenza,EFO_0005226,name,0.1,314,12,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
