"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
4394,-0.357604231442963,0.00058,0.0157850877192982,"file16e939fc8c39_logFC_0","CMAP","aciclovir",1.78e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","86","Acyclovir [59277-89-3]","NULL","59277-89-3","DB00787","aciclovir",0.237059890986861,2.13511897671481e-166,5,1
1337,-0.253039799104059,0.05218,0.321033232628399,"file16e939fc8c39_logFC_0","CMAP","alverine",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","174","Alverine citrate salt [5560-59-8]","C0243365","5560-59-8","DB01616","alverine",0.173391927017467,9.42193935738873e-89,3,1
4100,-0.307672246159759,0.0066,0.08052,"file16e939fc8c39_logFC_0","CMAP","amikacin",6.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","395","Amikacin hydrate [37517-28-5]","C0002501","37517-28-5","DB00479","amikacin",0.249723782936567,5.12818251552201e-185,3,1
2204,-0.399563882233803,0.00012,0.00739393939393939,"file16e939fc8c39_logFC_0","CMAP","aminophylline",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","820","Aminophylline [317-34-0]","C1271551","317-34-0","DB01223","aminophylline",0.412091184879139,0,3,1
1649,-0.33455817507759,0.00184,0.0337057057057057,"file16e939fc8c39_logFC_0","CMAP","amiodarone",5.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118","amiodarone",0.31709465055229,4.05790988226711e-303,4,1
1895,-0.44430774273035,9.99990000099999e-06,0.00127083333333333,"file16e939fc8c39_logFC_0","CMAP","amrinone",2.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","800","Amrinone [60719-84-8]","NULL","60719-84-8","DB01427","amrinone",0.177067576722764,1.56160831682166e-92,3,1
5401,-0.350776191350175,0.00075,0.0179411764705882,"file16e939fc8c39_logFC_0","CMAP","astemizole",8.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","136","Astemizole [68844-77-9]","C0085170","68844-77-9","DB00637","astemizole",0.244775346923671,1.30370226100824e-177,4,1
4577,-0.241778497160022,0.07428,0.40826036036036,"file16e939fc8c39_logFC_0","CMAP","atropine",5.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","565","Atropine sulfate monohydrate [5908-99-6]","C0004259","5908-99-6","DB00572","atropine",0.296956774128498,2.43516382964915e-264,3,1
1179,-0.29645418630824,0.01069,0.11157264957265,"file16e939fc8c39_logFC_0","CMAP","baclofen",1.88e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","85","Baclofen (R,S) [1134-47-0]","C0004609","1134-47-0","DB00181","baclofen",0.333325044152497,0,4,1
1796,-0.307457972538703,0.00664,0.0808463073852295,"file16e939fc8c39_logFC_0","CMAP","benfluorex",1.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","367","Benfluorex hydrochloride [23642-66-2]","C0771160","23642-66-2","DB09022","benfluorex",0.284410871074373,1.03697616482641e-241,3,1
4129,-0.237239930076652,0.08489,0.449167389418907,"file16e939fc8c39_logFC_0","CMAP","buspirone",9.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","369","Buspirone hydrochloride [33386-08-2]","C0006462","33386-08-2","DB00490","buspirone",0.401716791380965,0,3,1
920,-0.462734747825548,9.99990000099999e-06,0.00127083333333333,"file16e939fc8c39_logFC_0","CMAP","carbamazepine",1.7e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","52","Carbamazepine [298-46-4]","C0006949","298-46-4","DB00564","carbamazepine",0.170130170155272,1.8148480379069e-85,7,1
1698,-0.374475342259899,0.00034,0.012569696969697,"file16e939fc8c39_logFC_0","CMAP","cefaclor",1.04e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","485","Cefaclor [70356-03-5]","C0007537","70356-03-5","DB00833","cefaclor",0.155386578452362,1.94663929238895e-71,3,1
4759,-0.305954604560748,0.0071,0.0844249512670565,"file16e939fc8c39_logFC_0","CMAP","cefalotin",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","719","Cephalothin sodium salt [58-71-9]","NULL","58-71-9","DB00456","cefalotin",0.331391176398986,0,3,1
5765,-0.273193014216796,0.02663,0.207197704081633,"file16e939fc8c39_logFC_0","CMAP","cefmetazole",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","700","Cefmetazole sodium salt [56796-39-5]","C0007550","56796-39-5","DB00274","cefmetazole",0.205035909061561,4.43066015248599e-124,3,1
3345,-0.265900721629261,0.03404,0.243001169590643,"file16e939fc8c39_logFC_0","CMAP","chlorambucil",1.32e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1079","Chlorambucil [305-03-3]","C0008163","305-03-3","DB00291","chlorambucil",0.458678238105931,0,3,1
3530,-0.283645221662461,0.01764,0.156806404657933,"file16e939fc8c39_logFC_0","CMAP","chlorcyclizine",1.18e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","706","(1-[(4-Chlorophenyl)phenyl-methyl]-4-methylpiperazine) [1620-21-9]","C0770863","(4-Chlorophenyl)phenyl-me","DB08936","chlorcyclizine",0.179522742692033,4.18306796035113e-95,5,1
857,-0.327571166610603,0.00255,0.0418145161290323,"file16e939fc8c39_logFC_0","CMAP","chlormezanone",1.46e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","336","Chlormezanone [80-77-3]","C0008223","80-77-3","DB01178","chlormezanone",0.214830243547099,2.61571304858835e-136,3,1
132,-0.376087068100654,0.00032,0.0120493827160494,"file16e939fc8c39_logFC_0","CMAP","chlorpromazine",1e-05,6,"MCF7","HG-U133A","DMSO","Sigma-Aldrich","C0982","chlorpromazine hydrochloride","C0008286","NULL","DB00477","chlorpromazine",0.225741611481331,1.14137607049466e-150,18,1
1490,-0.335520869530691,0.00177,0.0331722054380665,"file16e939fc8c39_logFC_0","CMAP","chlorzoxazone",2.36e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","163","Chlorzoxazone [95-25-0]","C0008296","95-25-0","DB00356","chlorzoxazone",0.250781094942662,1.27647195058316e-186,3,1
851,-0.359864820250369,0.00051,0.0140769230769231,"file16e939fc8c39_logFC_0","CMAP","clenbuterol",1.28e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","345","Clenbuterol hydrochloride [21898-19-1]","C0771163","21898-19-1","DB01407","clenbuterol",0.176586503283874,4.93348322286207e-92,4,1
4374,-0.341938678165442,0.00125,0.0259353741496599,"file16e939fc8c39_logFC_0","CMAP","clioquinol",1.3e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","886","Clioquinol [130-26-7]","C0021978","130-26-7","DB04815","clioquinol",0.289806694559986,2.65911954599281e-251,4,1
4852,-0.400741271360467,0.00012,0.00739393939393939,"file16e939fc8c39_logFC_0","CMAP","clozapine",1e-05,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","C-6305","clozapine","C0009079","NULL","DB00363","clozapine",0.244180814064732,9.85492192861413e-177,16,1
3884,-0.252043799397617,0.05378,0.325777557100298,"file16e939fc8c39_logFC_0","CMAP","colecalciferol",1.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","429","Cholecalciferol [67-97-0]","NULL","67-97-0","DB00169","colecalciferol",0.33203833977819,0,3,1
2946,-0.316635085623343,0.0043,0.0605802752293578,"file16e939fc8c39_logFC_0","CMAP","dantrolene",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","291","Dantrolene sodium salt [14663-23-1]","C0010976","14663-23-1","DB01219","dantrolene",0.191197704098064,7.48016783893984e-108,5,1
