drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_tahoe
CHEMBL1399,ANASTROZOLE,Enzyme,Anastrozol|Anastrozole|Arimidex|ICI D1033|ICI-D1033|NSC-719344|NSC-759855|Rvg-106400|ZD-1033|ZD1033,Small molecule,Cytochrome P450 19A1 inhibitor,drug_common_name,anastrozole
CHEMBL1503,OMEPRAZOLE,Transporter,H 168/68|H-168/68|NSC-751450|NSC-759192|Omeprazol|Omeprazole,Small molecule,Potassium-transporting ATPase inhibitor,drug_common_name,omeprazole
CHEMBL111,RIMONABANT,Membrane receptor,Rimonabant|SR-14171|SR-141716|SR-141716A|SR141716|Zimulti,Small molecule,Cannabinoid CB1 receptor antagonist,drug_common_name,rimonabant
CHEMBL121,ROSIGLITAZONE,Transcription factor|Epigenetic regulator,Avandamet|Avandaryl|Avandia|BRL-49653|Gaudil|NSC-758698|Rezult|Rosiglitazona|Rosiglitazone|Rosiglizole|Rosvel|TDZ-01,Small molecule,Peroxisome proliferator-activated receptor gamma agonist,drug_common_name,rosiglitazone
CHEMBL175247,ORLISTAT,Enzyme,Lipstatin|NSC-758881|Orlipastat|Orlistat|RO 18-0647/002|RO-180647-002|RO-180647002|Tetrahydrolipstatin,Small molecule,Gastric lipase inhibitor,drug_common_name,orlistat
CHEMBL429910,DAPAGLIFLOZIN,Transporter,BMS-512148|Dapagliflozin|Dapagliflozina|Dapagliflozine|LYN-045,Small molecule,Sodium/glucose cotransporter 2 inhibitor,drug_common_name,dapagliflozin
CHEMBL595,PIOGLITAZONE,Transcription factor|Epigenetic regulator,AD-4833|Actos|Duetact|Glustin|Pioglitazona|Pioglitazone|U-72107|Zactos,Small molecule,Peroxisome proliferator-activated receptor gamma agonist,drug_common_name,pioglitazone
CHEMBL672,FENOFIBRATE,Transcription factor,Fenofibrate|Fenofibrate delayed release|Fenofibrate micronized|Fenofibrato|NSC-281319,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,drug_common_name,fenofibrate
CHEMBL1800159,RELUGOLIX,Membrane receptor,Relugolix|TAK-385|Tak-385,Small molecule,Gonadotropin-releasing hormone receptor antagonist,drug_common_name,relugolix
CHEMBL2177390,IPATASERTIB,Enzyme,GDC-0068|Ipatasertib|RG-7440|RG7440|Rg-7440,Small molecule,Serine/threonine-protein kinase AKT inhibitor,drug_common_name,ipatasertib
CHEMBL271227,ABIRATERONE ACETATE,Enzyme,Abiraterone acetate|CB-7630|CB7630|NSC-748121|NSC-749227,Small molecule,Cytochrome P450 17A1 inhibitor,drug_common_name,abiraterone acetate
CHEMBL3183409,APALUTAMIDE,Transcription factor,ARN-509|Apalutamida|Apalutamide|Arn-509|JNJ-56021927,Small molecule,Androgen Receptor antagonist,drug_common_name,apalutamide
CHEMBL409,BICALUTAMIDE,Transcription factor,"Bicalutamida|Bicalutamide|Casodex|ICI 176,334|ICI-176334|ICI176,334-1|NSC-759816",Small molecule,Androgen Receptor antagonist,drug_common_name,bicalutamide
CHEMBL1023,BEXAROTENE,Transcription factor,Bexarotene|Bexaroteno|LG-100069|LG100069|LGD-1069|LGD1069|NSC-747528,Small molecule,Retinoid X receptor agonist,drug_common_name,bexarotene
CHEMBL1171837,PONATINIB,Unclassified protein|Enzyme|Other cytosolic protein,AP-24534|AP24534|Ponatinib,Small molecule,Bcr/Abl fusion protein inhibitor,drug_common_name,ponatinib
CHEMBL1233528,VOLASERTIB,Enzyme,BI 6727|BI-6727|BI6727|Bi-6727|Volasertib,Small molecule,Serine/threonine-protein kinase PLK1 inhibitor,drug_common_name,volasertib
CHEMBL192,SILDENAFIL,Enzyme,Aphrodil|HIP-0908|HIP0908|Patrex|Sildenafil|Sildenafil actavis|Sildenafil ratiopharm|Sildenafil teva|Sildenafilo|UK-92480,Small molecule,Phosphodiesterase 5A inhibitor,drug_common_name,sildenafil
CHEMBL2338329,ROXADUSTAT,Enzyme,ASP-1517|ASP1517|FG-4592|FG4592|Roxadustat,Small molecule,Hypoxia-inducible factor prolyl hydroxylase inhibitor,drug_common_name,roxadustat
CHEMBL38,TRETINOIN,Transcription factor,Aberel|All-trans retinoic acid|All-trans-retinoic acid|Eudyna|Kerlocal|NSC-122758|Oristar rna|Retin a|Retinoic acid|Tretinoin|Tretinoina|Tretinoine,Small molecule,Retinoic acid receptor agonist,drug_synonym,retinoic acid
CHEMBL4297300,LB-100,Enzyme,LB 100|Lb-100,Small molecule,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform inhibitor",drug_common_name,lb-100
CHEMBL43,AMSACRINE,Enzyme,Acridinylanisidide|Amekrin|Amsacrina|Amsacrine|Amsidil|Amsidine|CI-880|Lamasine|M-AMSA|NCI-249992|NSC-156303|NSC-249992|SN-11841|SN-21429,Small molecule,DNA topoisomerase II inhibitor,drug_common_name,amsacrine
CHEMBL118,CELECOXIB,Enzyme,Celecoxib|DFN-15|DFN15|NSC-719627|NSC-758624|SC-58635,Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,celecoxib
CHEMBL3545097,SAPANISERTIB,Enzyme|Other cytosolic protein,CB-228|INK-128|INK128|Ink-128|MLN-0128|MLN0128|Mln-0128|Sapanisertib|TAK-228,Small molecule,Serine/threonine-protein kinase mTOR inhibitor,drug_common_name,sapanisertib
CHEMBL2141296,IXAZOMIB,Enzyme|Other cytosolic protein,Ixazomib|MLN-2238|MLN-9708 FREE BASE|MLN2238,Small molecule,26S proteasome inhibitor,drug_common_name,ixazomib
CHEMBL4208229,ASCIMINIB,Unclassified protein|Enzyme,ABL-001|ABL001|ABL001-NX|Abl-001|Asciminib|NVP-ABL001,Small molecule,Tyrosine-protein kinase ABL inhibitor,drug_common_name,asciminib
CHEMBL1229517,VEMURAFENIB,Unclassified protein|Enzyme,PLX-4032|PLX4032|RG 7204|RG-7204|RO 5185426|RO-51-85426|RO-5185426|Vemurafenib,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,drug_common_name,vemurafenib
CHEMBL1471,APREPITANT,Membrane receptor,"Aprepitant|L-754,030|MK-0869|MK-869|NSC-748825",Small molecule,Neurokinin 1 receptor antagonist,drug_common_name,aprepitant
CHEMBL1983268,ENTRECTINIB,Enzyme,Entrectinib|NMS-E628|RXDX-101|Rxdx-101,Small molecule,Neurotrophic tyrosine kinase receptor inhibitor,drug_common_name,entrectinib
CHEMBL2043437,GLASDEGIB,Membrane receptor,Glasdegib|PF-04449913|PF-4449913,Small molecule,Smoothened homolog antagonist,drug_common_name,glasdegib
CHEMBL2146883,COBIMETINIB,Enzyme,Cobimetinib|GDC-0973|Gdc 0623|Gdc 0973|Gdc-0623|RG 7420|RG-7420|RG7420|Rg-7420|Rg-7421|XL-518|Xl 518|Xl518,Small molecule,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,drug_common_name,cobimetinib
CHEMBL35,FUROSEMIDE,Transporter,Frusemide|Furoscix|Furosemida|Furosemide|Furosemidum|LB-502|Logirene|Marsemide|Mirfat|NSC-269420|Oedemex,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,drug_common_name,furosemide
CHEMBL3545432,IXAZOMIB CITRATE,Enzyme|Other cytosolic protein,Ixazomib citrate|MLN-9708|MLN9708,Small molecule,26S proteosome inhibitor,drug_common_name,ixazomib citrate
CHEMBL4073443,TOMIVOSERTIB,Enzyme,EFT-508|Eft 508|Eft508|Tomivosertib|eFT508,Small molecule,MAP kinase-interacting serine/threonine-protein kinase 1/2 inhibitor,drug_common_name,tomivosertib
CHEMBL4297522,PEMIGATINIB,Enzyme|Unclassified protein,Fgfr inhibitor incb054828|INCB054828|Incb-054828|Incb054828|Pemigatinib,Small molecule,Fibroblast growth factor receptor 2 inhibitor,drug_common_name,pemigatinib
CHEMBL4650285,TEMUTERKIB,Enzyme,LY-3214996|LY3214996|Ly 3214996|Ly3214996|Temuterkib,Small molecule,Mitogen-activated protein kinase; ERK1/ERK2 inhibitor,drug_common_name,temuterkib
CHEMBL601719,CRIZOTINIB,Enzyme,Crizotinib|NSC-756645|PF-02341066|PF-2341066|Pf-2341066,Small molecule,Hepatocyte growth factor receptor inhibitor,drug_common_name,crizotinib
CHEMBL939,GEFITINIB,Enzyme,Gefitinib|Iressa|NSC-759856|ZD-1839|ZD1839,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,drug_common_name,gefitinib
CHEMBL778,DEXMEDETOMIDINE,Membrane receptor,"Dexmedetomidina|Dexmedetomidine|MPV-1440|Medetomidine, (s)-",Small molecule,Adrenergic receptor alpha-2 agonist,drug_common_name,dexmedetomidine
CHEMBL1159650,CLOBETASOL PROPIONATE,Transcription factor,CCI 4725|CCI-4725|Clobecort amex|Clobetasol|Clobetasol 17-propionate|Clobetasol propionate|Dovate|GR 2/925|NSC-758634|Psorex,Small molecule,Glucocorticoid receptor agonist,drug_common_name,clobetasol propionate
CHEMBL1200384,BETAMETHASONE DIPROPIONATE,Transcription factor,"Betamethasone (as dipropionate)|Betamethasone 17,21-dipropionate|Betamethasone dipropionate|Diprospan|Maxivate|NSC-758415|Rinderon dp|SCH 11460|SCH-11460",Small molecule,Glucocorticoid receptor agonist,drug_common_name,betamethasone dipropionate
CHEMBL221959,TOFACITINIB,Enzyme,"550|CP 690550|CP- 690 550|CP-690|CP-690,550|CP-690,550 FREE BASE|CP-690-550|CP-690550|CP-690550 FREE BASE|CP690,550|CP690550|Cp-690 free base|Tofacitinib",Small molecule,Janus Kinase (JAK) inhibitor,drug_common_name,tofacitinib
CHEMBL1404,RANOLAZINE,Ion channel,Aspruzyo|CVT-303|NSC-759100|RS-43285-003|Ran d|Ranolazina|Ranolazine,Small molecule,Sodium channel protein type V alpha subunit blocker,drug_common_name,ranolazine
CHEMBL865,VALDECOXIB,Enzyme,NSC-759846|SC-65872|Valdecoxib|Valdyn,Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,valdecoxib
CHEMBL24778,SILODOSIN,Membrane receptor,KAD-3213|KMD-3213|Kso-0400|Rapilif|Silodal|Silodosin|Silodosina|Silodosine|Silodyx|Urief|Urorec,Small molecule,Alpha-1a adrenergic receptor antagonist,drug_common_name,silodosin
CHEMBL710,FINASTERIDE,Enzyme,Finasterida|Finasteride|MK-906|NSC-741485|NSC-759318,Small molecule,Steroid 5-alpha-reductase 2 inhibitor,drug_common_name,finasteride
CHEMBL3187723,BINIMETINIB,Enzyme,ARRY 438162|ARRY-162|ARRY-438162|Binimetinib|MEK-162|MEK162|Mek-162|NVP-MEK162,Small molecule,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,drug_common_name,binimetinib
CHEMBL473417,VISMODEGIB,Membrane receptor,GDC-0449|NSC-747691|NSC-755986|Vismodegib,Small molecule,Smoothened homolog inhibitor,drug_common_name,vismodegib
CHEMBL254219,DIGITOXIN,Enzyme,"CRYSTODIGIN|Cristapurat|Digitalin, crystalline|Digitophyllin|Digitoxin|Digitoxina|Digitoxine|Digitoxinum|Digitoxoside|Glucodigin|Lanatoxin|NSC-7529|Purpurid|Tradigal",Small molecule,Sodium/potassium-transporting ATPase inhibitor,drug_common_name,digitoxin
CHEMBL298734,LONAFARNIB,Enzyme,Lonafarnib|SCH 66336|SCH-66336|SCH66336|Sarasar,Small molecule,Protein farnesyltransferase inhibitor,drug_common_name,lonafarnib
CHEMBL4297524,RADOTINIB,Unclassified protein|Enzyme,IY5511|Radotinib,Small molecule,Bcr/Abl fusion protein inhibitor,drug_common_name,radotinib
CHEMBL1198857,VILANTEROL,Membrane receptor,GW-642444|GW-642444X|GW642444|GW642444X|Vilanterol,Small molecule,Beta-2 adrenergic receptor agonist,drug_common_name,vilanterol
CHEMBL1201139,MEGESTROL ACETATE,Transcription factor,5071|BDH 1298|BDH-1298|Chronopil|Megesterol acetate|Megestrol|Megestrol 17.alpha.-acetate|Megestrol acetate|NSC-71423|SC 10363|SC-10363,Small molecule,Progesterone receptor agonist,drug_synonym,megestrol
CHEMBL1370,BUDESONIDE,Transcription factor,Budesonida|Budesonide|MAP-0010|MAP0010|NSC-757788|R01AD05|S-1320,Small molecule,Glucocorticoid receptor agonist,drug_common_name,budesonide
CHEMBL1451,TRIAMCINOLONE,Transcription factor,Fluoxiprednisolone|NSC-13397|Triamcinolona|Triamcinolone,Small molecule,Glucocorticoid receptor agonist,drug_common_name,triamcinolone
CHEMBL4585668,BELZUTIFAN,Transcription factor,Belzutifan|MK-6482|MK6482|Mk-6482|PT-2977|PT2977|Pt 2977|Pt2977,Small molecule,Endothelial PAS domain-containing protein 1 inhibitor,drug_common_name,belzutifan
CHEMBL1560,CAPTOPRIL,Enzyme,"Apopril|C09AA01|Capoten|Captomax|Captopril|Captoprilum|Farcopril|Garranil|Hypopress|Mepha|NSC-757419|SA-333|SQ -14225|SQ 14,225|SQ-14225|Tensiomin|Zapto",Small molecule,Angiotensin-converting enzyme inhibitor,drug_common_name,captopril
CHEMBL3301607,FILGOTINIB,Enzyme,Filgotinib|G-146034|G146034|GLPG0634|GS-6034 FREE BASE|Glpg-0634,Small molecule,Tyrosine-protein kinase TYK2 inhibitor,drug_common_name,filgotinib
CHEMBL2028663,DABRAFENIB,Unclassified protein|Enzyme,Dabrafenib|GSK-2118436|GSK-2118436A|GSK2118436A|Gsk2118436,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,drug_common_name,dabrafenib
CHEMBL3301612,ENCORAFENIB,Unclassified protein|Enzyme,Encorafenib|Lgx-818|Lgx818|NVP-LGX-818-NXA|NVP-LGX818|NVP-LGX818-NXA,Small molecule,Serine/threonine-protein kinase B-raf inhibitor,drug_common_name,encorafenib
CHEMBL1276308,MIFEPRISTONE,Transcription factor,Mifepristona|Mifepristone|NSC-759862|RU 38486|RU 486|RU-38486|RU-486|RU486,Small molecule,Progesterone receptor antagonist,drug_common_name,mifepristone
CHEMBL1639,ALISKIREN,Enzyme,Aliskiren|Aliskirene|Aliskireno|SPP-100|SPP100,Small molecule,Renin inhibitor,drug_common_name,aliskiren
CHEMBL4594217,CANAGLIFLOZIN,Transporter,Canagliflozin|Canagliflozin hemihydrate|Canagliflozin hydrate|Canagliflozina|Canagliflozine|JNJ-24831754-ZAE|JNJ-28431754-AAA,Small molecule,Sodium/glucose cotransporter 2 inhibitor,drug_common_name,canagliflozin
