drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_tahoe
CHEMBL93,ZILEUTON,Enzyme,A-64077|ABBOTT-64077|NSC-730712|NSC-759277|Zileuton,Small molecule,Arachidonate 5-lipoxygenase inhibitor,drug_common_name,zileuton
CHEMBL1201284,CINACALCET,Membrane receptor,AMG 073|AMG-073|AMG073|Cinacalcet|KRN-1493|KRN1493,Small molecule,Calcium sensing receptor positive allosteric modulator,drug_common_name,cinacalcet
CHEMBL2105737,SONIDEGIB,Membrane receptor,Erismodegib|LDE 225|LDE-225|LDE225|NVP-LDE 225|NVP-LDE-225|NVP-LDE225|Sonidegib,Small molecule,Smoothened homolog inhibitor,drug_common_name,sonidegib
CHEMBL2104993,VORTIOXETINE,Ion channel|Membrane receptor,LU AA21004|LU-AA21004|LUAA21004|Vortioxetina|Vortioxetine,Small molecule,Serotonin 3a (5-HT3a) receptor antagonist,drug_common_name,vortioxetine
CHEMBL457,GEMFIBROZIL,Transcription factor,CI-719|Gemfibrozil|Gemfibrozilo|NSC-757024,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,drug_common_name,gemfibrozil
CHEMBL1071,OXAPROZIN,Enzyme,"NSC-310839|Oxaprozin|Oxaprozina|Oxaprozine|WY-21,743|WY-21743",Small molecule,Cyclooxygenase inhibitor,drug_common_name,oxaprozin
CHEMBL1615025,TAK-733,Unclassified protein|Enzyme,Mek inhibitor tak-733|TAK-733|TAK733|Tak 733|Tak-733,Small molecule,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,drug_common_name,tak-733
CHEMBL316561,PROGLUMIDE,Membrane receptor,Binoside|CR-242|Dl-proglumide|Gastrotopic|Midelid|NSC-757841|Proglumida|Proglumide|Promid|Ulcutin|W-5219|Xylamide,Small molecule,Cholecystokinin receptor antagonist,drug_common_name,proglumide
CHEMBL844,BRIMONIDINE,Membrane receptor,AGN-190342 FREE BASE|Brimonidina|Brimonidine|NSC-318825|UK-14304|UK-1430418 FREE BASE,Small molecule,Adrenergic receptor alpha-2 agonist,drug_common_name,brimonidine
CHEMBL17157,TERFENADINE,Membrane receptor,NSC-665802|NSC-758627|RMI 9918|RMI-9918|Terfenadina|Terfenadine,Small molecule,Histamine H1 receptor antagonist,drug_common_name,terfenadine
CHEMBL1088751,PH-797804,Unclassified protein|Enzyme,PH-797804|PHA-797804|Ph-797804,Small molecule,MAP kinase p38 alpha inhibitor,drug_common_name,ph-797804
CHEMBL527,PIROXICAM,Enzyme,"CP-16,171|CP-16171|NSC-666076|Piroxicam",Small molecule,Cyclooxygenase inhibitor,drug_common_name,piroxicam
CHEMBL319144,MINODRONIC ACID,Enzyme,Acide minodronique|Acido minodronico|Minodronate|Minodronic acid|NSC-725590|ONO-5920|YM 529|YM-529|YM529,Small molecule,Farnesyl diphosphate synthase inhibitor,drug_common_name,minodronic acid
CHEMBL1201089,DIPHENHYDRAMINE CITRATE,Membrane receptor,Diphenhydramine|Diphenhydramine citrate|Diphenhydramine laurylsulfate|Diphenhydramine tannate,Small molecule,Histamine H1 receptor antagonist,drug_synonym,diphenhydramine
CHEMBL232202,ARBUTIN,Enzyme,Arbutin|Arbutinum|Arbutoside|NSC-4036|Ursin,Small molecule,Tyrosinase inhibitor,drug_common_name,arbutin
CHEMBL1200963,BIMATOPROST,Membrane receptor,AGN 192024|AGN-192024|Bimatoprost|Prostamide,Small molecule,Prostanoid FP receptor agonist,drug_common_name,bimatoprost
CHEMBL1423,PIMOZIDE,Membrane receptor,MCN-JR-6238|NSC-170984|Pimozida|Pimozide|R 623|R 6238|R-623|R-6238,Small molecule,Dopamine receptor antagonist,drug_common_name,pimozide
CHEMBL1020,TOLMETIN,Enzyme,MCN-2559|Tolectin|Tolmetin|Tolmetina|Tolmetine,Small molecule,Cyclooxygenase inhibitor,drug_common_name,tolmetin
CHEMBL1589,ACETOHEXAMIDE,Transporter,33006|Acetohexamida|Acetohexamide|NSC-759128,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,acetohexamide
CHEMBL3545213,BENTAMAPIMOD,Enzyme,AS602801|As-602801|Bentamapimod|PGL-5001|PGL5001,Small molecule,"c-Jun N-terminal kinase, JNK inhibitor",drug_common_name,bentamapimod
CHEMBL502182,ELAGOLIX SODIUM,Membrane receptor,Elagolix sodium|Elagolix sodium salt|NBI-56418 NA|NBI-56418-NA|Orlissa,Small molecule,Gonadotropin-releasing hormone receptor antagonist,drug_common_name,elagolix sodium
CHEMBL3545235,SIMOTINIB,Enzyme,Sim-6802|Simotinib,Small molecule,Epidermal growth factor receptor erbB1 inhibitor,drug_common_name,simotinib
