drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_cmap
CHEMBL413376,SURAMIN HEXASODIUM,Secreted protein,BAY-205|BAYER-205|CI-1003|FOURNEAU 309|FOURNEAU-309|NF-060|NSC-758165|Nagananinum|Naphuride|Suramin hexasodium|Suramin sodium|Suramina de sodio|Suramine sodique|Suraminum natricum,Small molecule,Acidic fibroblast growth factor inhibitor,drug_synonym,suramin sodium
CHEMBL52440,DEXTROMETHORPHAN,Membrane receptor,Dextromethorphan|Dextromethorphane|Dextrometorfano|Dimetane-DX|NSC-751452,Small molecule,Sigma opioid receptor agonist,drug_common_name,dextromethorphan
CHEMBL628,PENTOXIFYLLINE,Enzyme,BL 191|BL-191|C04AD03|NSC-637086|NSC-758481|Oxpentifylline|Oxypentifylline|Pentoxifilina|Pentoxifylline|Pentoxiphyllin,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor",drug_common_name,pentoxifylline
CHEMBL866,MYCOPHENOLIC ACID,Enzyme,"68618|Acide mycophenolique|Acido micofenolico|Mycophenolate|Mycophenolate mofetil impurity, mycophenolic acid-|Mycophenolic acid|NSC-129185|RS-61443 [AS MOFETIL]",Small molecule,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,drug_common_name,mycophenolic acid
CHEMBL1200699,DOXYCYCLINE,Enzyme,Doxiciclina|Doxirobe|Doxycycline|Doxycycline monohydrate|Doxylin|GS-3065|Supracyclin|Xyrosa,Small molecule,Matrix metalloproteinase 8 inhibitor,drug_common_name,doxycycline
CHEMBL1200751,MERCAPTOPURINE,Enzyme,6-mercaptopurine monohydrate|Mercaptopurina|Mercaptopurine|Mercaptopurine hydrate|Mercaptopurinum|NSC-755|NSC-759614,Small molecule,Amidophosphoribosyltransferase inhibitor,drug_common_name,mercaptopurine
CHEMBL178,DAUNORUBICIN,Enzyme,"Cerubidine|Daunomycin|Daunorubicin|Daunorubicina|Daunorubicine|Daunoxome|Epirubicin hydrochloride impurity, daunorubicin-|FI 6339|FI-6339|NSC-83142|RP 13057|RP-13057|Valrubicin impurity, daunorubicin",Small molecule,DNA topoisomerase II alpha inhibitor,drug_common_name,daunorubicin
CHEMBL34259,METHOTREXATE,Enzyme,"(r)-methotrexate|ADX-2191|Abitrexate|Amethopterin|CL 14377|CL-14377|D-amethopterin|D-methotrexate|EMT-25299|Folex|Jylamvo|Methotrexate|Methotrexate, (r)-|Methotrexate, d-|Methotrexatum|Methylaminopterin|Metotrexato|Mexate|Mexate-AQ|NSC-740|R-9985|R-methotrexate|TCMDC-123832|TCMDC-125488|TCMDC-125858|Trexall",Small molecule,Dihydrofolate reductase inhibitor,drug_common_name,methotrexate
CHEMBL384467,DEXAMETHASONE,Transcription factor,Decadron-LA|Dexacen-4|Dexacort|Dexair|Dexametasona|Dexamethasone|Dexamethasone metasulfobenzoate sodium|Dexamethasone palmitate|Dexamethasone valerate|Dexycu|Fluormethylprednisolone|ISV-305|Mymethasone|NSC-34521|Neodecadron|OTO-104,Small molecule,Glucocorticoid receptor agonist,drug_common_name,dexamethasone
CHEMBL44657,ETOPOSIDE,Enzyme,Etoposide|Etoposide resolution mixture|Etoposido|Etoposidum|NSC-141540|Sintopozid|VP-16-213,Small molecule,DNA topoisomerase II inhibitor,drug_common_name,etoposide
CHEMBL53463,DOXORUBICIN,Enzyme,"Adriablastin|Adriamycin|Doxil|Doxorubicin|Doxorubicina|Doxorubicine|Epirubicin hydrochloride impurity, doxorubicin-|Hydroxydaunorubicin|NSC-123127|NSC-759155|Rubex|Valrubicin impurity, doxorubicin",Small molecule,DNA topoisomerase II alpha inhibitor,drug_common_name,doxorubicin
CHEMBL635,PREDNISONE,Transcription factor,3en3hg4wsw|Decortin|Dehydrocortisone|Metacortandracin|NSC-10023|Prednisona|Prednisone|Prednisone anhydrous|Prednisone tablets|Supercortil,Small molecule,Glucocorticoid receptor agonist,drug_common_name,prednisone
CHEMBL941,IMATINIB,Enzyme,Glamox|Gleevec|Imatinib|NSC-743414|NSC-759854|STI-571,Small molecule,Platelet-derived growth factor receptor beta inhibitor,drug_common_name,imatinib
CHEMBL1042,CHOLECALCIFEROL,Transcription factor,"7-dehydrocholesterol, activated|AK R215 COMPONENT COLECALCIFEROL|AK-R215 COMPONENT COLECALCIFEROL|Cholecalciferol|Colecalciferol|Colecalciferolum|Delsterol|Delta-d|Deparal|Ebivit|NSC-375571|Provitina|Ricketon|Vitamin d|Vitamin d (cholecalciferol)|Vitamin d assay system suitability|Vitamin d-3|Vitamin d3|Vitamin d3 (as cholecalciferol)",Small molecule,Vitamin D receptor agonist,drug_synonym,colecalciferol
CHEMBL109,VALPROIC ACID,Enzyme,"44089|Acide valproique|Acido valproico|NSC-93819|Pentanoic acid, 2-propyl|Valproate|Valproic acid|Valproic acid extended release",Small molecule,Succinate semialdehyde dehydrogenase inhibitor,drug_common_name,valproic acid
CHEMBL109480,TANESPIMYCIN,Unclassified protein|Other cytosolic protein,17-AAG|17aag|BMS-722782|CNF-1010|CNF1010|KOS-953|NSC-330507|Tanespimicina|Tanespimycin|Tanespimycine,Small molecule,Heat shock protein HSP90 inhibitor,drug_common_name,tanespimycin
CHEMBL112,ACETAMINOPHEN,Enzyme,Acetaminophen|Apap|Biocetamol|Doliprane|Efferalgan|N-acetyl-p-aminophenol|NSC-109028|NSC-3991|P-hydroxy-acetanilid|Paracetamol|Paracetamolum|Vermidon,Small molecule,Cyclooxygenase inhibitor,drug_synonym,paracetamol
CHEMBL1389,LEVONORGESTREL,Transcription factor,"BAY86-5028|Levonorgestrel|Levonorgestrelum|NSC-744007|Norgestrel (-)-form|Norgestrel, (-)-|WY-5104",Small molecule,Progesterone receptor agonist,drug_common_name,levonorgestrel
CHEMBL1431,METFORMIN,Enzyme,LA-6023|Metformin|Metformin extended release|Metformina|Metformine,Small molecule,Mitochondrial complex I (NADH dehydrogenase) inhibitor,drug_common_name,metformin
CHEMBL1489,AZACITIDINE,Epigenetic regulator,"5-azacitidine|Azacitidina|Azacitidine|Ladakamycin|NSC-102816|U-18,496|U-18496|Vidaza",Small molecule,DNA (cytosine-5)-methyltransferase 1 inhibitor,drug_common_name,azacitidine
CHEMBL160,CYCLOSPORINE,Enzyme,"27-400|ANTIBIOTIC S-7481F1|Atopica|Ciclosporin|Ciclosporin a|Ciclosporina|Ciclosporine|Ciclosporinum|Cyclosporin|Cyclosporin a|Cyclosporine|Cyclosporine a|Cyclosporine microemulsion|Cyclosporine, modified|Equoral|Mitogard|NSC-290193|Neoplanta|Neurostat|OL-27-400|Ramihyphin a|SANG-35|SDZ-OXL-400|Vevye|Zinograf me",Protein,Cyclophilin A modulator,drug_synonym,ciclosporin
CHEMBL383824,ALVESPIMYCIN,Unclassified protein|Other cytosolic protein,Alvespimicina|Alvespimycin|Alvespimycine|NSC-707545,Small molecule,Heat shock protein HSP90 inhibitor,drug_common_name,alvespimycin
CHEMBL413,SIROLIMUS,Enzyme|Ion channel,AY-22989|Fyarro|Hyftor|L04AA10|NSC-226080|Npc-12g|Rapalimus|Rapamycin|SM-88 COMPONENT SIROLIMUS|Sirolimus|WY-090217,Small molecule,FK506-binding protein 1A inhibitor,drug_common_name,sirolimus
CHEMBL428647,PACLITAXEL,Structural protein,(-)-paclitaxel|ABI-007|ABI-007 COMPONENT PACLITAXEL|BMS 181339-01|BMS-181339-01|Capxol|Cyclopax|DHP 107|DHP-107|Ebetaxel|Empac|Endotag 1|Genaxol|Genetaxyl|Genexol|Genexol-pm|Intaxel|Lep-etu|MBT 0206|MBT-0206|Mitotax|NK 105|NK-105|NSC-125973|Oncogel|Onxal|Onxol|Pacliex|Paclitaxel|Paclitaxel (taxus canadensis)|Paclitaxol|Plaxicel|QW-8184|Taxalbin|Taxol|Taxol a|Taxus|Taxus liberte|Taxus stent|Tocosol paclitaxel|Yewtaxan,Small molecule,Tubulin inhibitor,drug_common_name,paclitaxel
CHEMBL468,THALIDOMIDE,Membrane receptor|Enzyme|Epigenetic regulator|Structural protein|Unclassified protein|Transcription factor|Other cytosolic protein|Other nuclear protein,.alpha.-phthalimidoglutarimide|Celgene|Contergan|Distaval|K-17|Myrin|N-phthalylglutamic acid imide|NSC-527179|NSC-66847|Neurosedyn|Pantosediv|Pharmion|Softenon|Talidomida|Thaled|Thalidomide|Thalidomide ,Small molecule,CRL4(CRBN) E3 ubiquitin ligase inhibitor,drug_common_name,thalidomide
CHEMBL480,LANSOPRAZOLE,Transporter,A-65006|AG-1749|Agopton|Lansoprazol|Lansoprazole|Lansox|Lanzoprazole|Lanzor|Limpidex|NSC-758638|Ogast|Ogastoro|Prevonco|Takepron,Small molecule,Potassium-transporting ATPase inhibitor,drug_common_name,lansoprazole
CHEMBL481,IRINOTECAN,Enzyme,Biotecan|Irinotecan|NSC-728073,Small molecule,DNA topoisomerase I inhibitor,drug_common_name,irinotecan
CHEMBL58,MITOXANTRONE,Enzyme,Misostol|Mitoxantrona|Mitoxantrone|NSC-279836|Novantrone,Small molecule,DNA topoisomerase II alpha inhibitor,drug_common_name,mitoxantrone
CHEMBL650,METHYLPREDNISOLONE,Transcription factor,"6-methyl-prednisolone|6-methylprednisolone|J3.872E|Methylprednisolone|Metilprednisolona|NSC-19987|U-67,590A",Small molecule,Glucocorticoid receptor agonist,drug_common_name,methylprednisolone
