drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL1774080,PF-00217830,Membrane receptor,J2.975.999E|PF-00217830|PF-217830|Pf-00217830,Small molecule,Dopamine D2 receptor partial agonist
CHEMBL2110670,VABICASERIN,Ion channel|Membrane receptor,Vabicaserin|Vabicaserina|Vabicaserine,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist
CHEMBL21536,XANOMELINE,Membrane receptor,LY-246708|LY-246708 FREE BASE|LY246708|Xanomelina|Xanomeline,Small molecule,Muscarinic acetylcholine receptor M1 agonist
CHEMBL3234237,JNJ-37822681,Membrane receptor,JNJ-37822681|Jnj-37822681,Small molecule,Dopamine D2 receptor antagonist
CHEMBL3545029,ABT-288,Membrane receptor,Abt-288,Small molecule,Histamine H3 receptor antagonist
CHEMBL3545291,JNJ-39393406,Ion channel,Jnj-39393406,Small molecule,Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator
CHEMBL3678076,EVENAMIDE,Ion channel,Evenamida|Evenamide|Nw-3509,Small molecule,Sodium channel alpha subunit blocker
CHEMBL3989694,OLANZAPINE PAMOATE,Ion channel|Membrane receptor,Olanzapine (as embonate)|Olanzapine embonate|Olanzapine pamoate|Olanzapine pamoate anhydrous|Olanzapine pamoate monohydrate|Zypadhera,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist
CHEMBL4206492,OSORESNONTRINE,Enzyme,BI 409306|BI-409306|Bi 409306|Osoresnontrina|Osoresnontrine|SUB 166499,Small molecule,Phosphodiesterase 9A inhibitor
CHEMBL4228124,ORG-25935,Transporter,ORG 25935|Org 25935|Org-25935|Org-25935 free base|SCH 900435|SCH-900435|Sch 900435,Small molecule,Glycine transporter 1 inhibitor
CHEMBL429317,AVL-3288,Ion channel,Anvylic-3288|Avl-3288|CCMI|UCI-4083|XY-4083,Small molecule,Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator
CHEMBL5314394,SB-773812,Ion channel|Membrane receptor,GW773812|SB-737050-A|SB-773812|Sb-773812,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist
CHEMBL562318,MARDEPODECT,Enzyme,MP-10|Mardepodect|PF-02545920|PF-2545920,Small molecule,Phosphodiesterase 10A inhibitor
CHEMBL563251,PF-03463275,Transporter,Pf-03463275|Pf-3463275,Small molecule,Glycine transporter 1 inhibitor
CHEMBL1589,ACETOHEXAMIDE,Transporter,33006|Acetohexamida|Acetohexamide|NSC-759128,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker"
CHEMBL2018096,IPRAGLIFLOZIN,Transporter,ASP-1941|Ipragliflozin|Ipragliflozina|Ipragliflozine,Small molecule,Sodium/glucose cotransporter 2 inhibitor
CHEMBL2028665,REMOGLIFLOZIN ETABONATE,Transporter,BHV-091009|Etabonate de remogliflozine|Etabonato de remogliflozina|GSK-189075|GSK-189075A|GSK189075A|Gsk189075|Remogliflozin etabonate,Small molecule,Sodium/glucose cotransporter 2 inhibitor
CHEMBL2108569,INSULIN PEGLISPRO,Enzyme,Insulin peglispro|Insulina peglispro|Insuline peglispro|LY-2605541|LY2605541,Protein,Insulin receptor agonist
CHEMBL4298213,VOLAGIDEMAB,Membrane receptor,AMG 477|AMG-477|REMD-477|Volagidemab,Antibody,Glucagon receptor inhibitor
CHEMBL1201743,SAXAGLIPTIN HYDROCHLORIDE,Enzyme,Saxagliptin HCl|Saxagliptin hcl|Saxagliptin hydrochloride,Small molecule,Dipeptidyl peptidase IV inhibitor
CHEMBL1215331,PF-03882845,Transcription factor,PF-3882845|Pf-03882845,Small molecule,Mineralocorticoid receptor antagonist
CHEMBL1770248,ERTUGLIFLOZIN,Transporter,Ertugliflozin|Ertugliflozina|Ertugliflozine|MK-8835|PF-04971729|PF-04971729-00|PF04971729|Pf-04971729,Small molecule,Sodium/glucose cotransporter 2 inhibitor
