drug,source,phase,cmap_score,tahoe_score
CAPSAICIN,CMAP_ONLY,4.0,-0.33420639313793,
KETOROLAC,CMAP_ONLY,3.0,-0.324746745152043,
METFORMIN,CMAP_ONLY,3.0,-0.384288636271585,
NALOXONE,CMAP_ONLY,3.0,-0.305462361671774,
PIROXICAM,CMAP_ONLY,4.0,-0.344351775596628,
SIMVASTATIN,CMAP_ONLY,1.0,-0.209335214462191,
ALLOPURINOL,TAHOE_ONLY,1.0,,-0.221395056007665
BINIMETINIB,TAHOE_ONLY,2.0,,-0.295634929108682
CLOBETASOL PROPIONATE,TAHOE_ONLY,3.0,,-0.292386885539177
DEXAMETHASONE,TAHOE_ONLY,4.0,,-0.270341437842062
FILGOTINIB,TAHOE_ONLY,3.0,,-0.325006773924826
MELOXICAM,TAHOE_ONLY,4.0,,-0.257385772764836
TIRABRUTINIB,TAHOE_ONLY,1.0,,-0.255070597109017
VERAPAMIL,TAHOE_ONLY,1.0,,-0.315314604320934
