"","exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
"159",2042,-0.415497447213796,0,0,"MSE_endo","cmap","propafenone",1.06e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","499","Propafenone hydrochloride [34183-22-7]","C0033429","34183-22-7","DB01182",1
"160",789,-0.415170960061974,0,0,"MSE_endo","cmap","labetalol",1.1e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","277","Labetalol hydrochloride [32780-64-6]","C0699440","32780-64-6","DB00598",1
"161",3094,-0.414309883626485,0,0,"MSE_endo","cmap","tolmetin",1.26e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","856","Tolmetin sodium salt dihydrate [64490-92-2]","C0040377","64490-92-2","DB00500",1
"162",2119,-0.411077036251133,0,0,"MSE_endo","cmap","levocabastine",8.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1039","Levocabastine hydrochloride [79547-78-7]","C0064870","79547-78-7","DB01106",1
"163",2564,-0.409843445016665,0,0,"MSE_endo","cmap","fluocinonide",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","774","Fluocinonide [356-12-7]","C0016299","356-12-7","DB01047",1
"164",2044,-0.405907374389443,0,0,"MSE_endo","cmap","imipenem",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","519","Imipenem [74431-23-5]","MMS_109","74431-23-5","DB01598",1
"165",2196,-0.405552549222966,0,0,"MSE_endo","cmap","latamoxef",7e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","819","Moxalactam disodium salt [64953-12-4]","NULL","64953-12-4","DB04570",1
"166",5996,-0.405346096002082,0,0,"MSE_endo","cmap","dexpanthenol",1.94e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","22","Panthenol (D) [81-13-0]","C0057610","81-13-0","DB09357",1
"167",591,-0.405236277641985,0,0,"MSE_endo","cmap","cyanocobalamin",3e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","433","Cyanocobalamin [68-19-9]","MMS_635","68-19-9","DB00115",1
"168",3723,-0.405080990729036,0,0,"MSE_endo","cmap","bromopride",1.16e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","704","Bromopride [4093-35-0]","C0054129","4093-35-0","DB09018",1
"169",1688,-0.404801677228614,0,0,"MSE_endo","cmap","pentamidine",6.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","553","Pentamidine isethionate [140-64-7]","C0030863","140-64-7","DB00738",1
"170",1225,-0.40462289277816,0,0,"MSE_endo","cmap","niclosamide",1.22e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","40","Niclosamide [50-65-7]","C0028017","50-65-7","DB06803",1
"171",2084,-0.404185497449584,0,0,"MSE_endo","cmap","fluvoxamine",9.2e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","995","Fluvoxamine maleate [61718-82-9]","C0085228","61718-82-9","DB00176",1
"172",1072,-0.403981829686588,0,0,"MSE_endo","cmap","sulfaphenazole",1.28e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","21","Sulfaphenazole [526-08-9]","NULL","526-08-9","DB06729",1
"173",4686,-0.403891585190243,0,0,"MSE_endo","cmap","nifedipine",1.16e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","63","Nifedipine [21829-25-4]","C0028066","21829-25-4","DB01115",1
