"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","drug_name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID"
25547,-0.323436873535661,9e-05,0.0028976940509915,"file16e96ce45d3e_logFC_0","TAHOE","Glasdegib",0.5,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
25711,-0.288550902687814,0.00092,0.0177886492004083,"file16e96ce45d3e_logFC_0","TAHOE","Glycyrrhizic acid",0.5,24,"ACH-000875","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
25957,-0.258407327064851,0.00515,0.0805557528213598,"file16e96ce45d3e_logFC_0","TAHOE","HI-TOPK-032",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
26473,-0.351402548314813,1e-05,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Hexylresorcinol",0.5,24,"ACH-000437","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
26612,-0.286928833922167,0.00098,0.0186380388219545,"file16e96ce45d3e_logFC_0","TAHOE","Homoharringtonine",0.5,24,"ACH-000463","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
26727,-0.307805715881132,0.00027,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Hydroxyfasudil",0.0500000007450581,24,"ACH-000958","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
27186,-0.314530696658087,0.00021,0.00568540733682706,"file16e96ce45d3e_logFC_0","TAHOE","Idarubicin (hydrochloride)",0.5,24,"ACH-000927","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
27698,-0.333078078128627,5e-05,0.00188668658698539,"file16e96ce45d3e_logFC_0","TAHOE","Imiquimod (maleate)",5,24,"ACH-001021","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
27781,-0.298751256013523,0.00053,0.011280265917603,"file16e96ce45d3e_logFC_0","TAHOE","Indacaterol (maleate)",0.5,24,"ACH-000757","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
28054,-0.346559209102989,1e-05,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Ipatasertib",0.0500000007450581,24,"ACH-000950","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
28213,-0.236774936156896,0.01458,0.214258510473235,"file16e96ce45d3e_logFC_0","TAHOE","Irinotecan",0.0500000007450581,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
28645,-0.289115882313284,0.00089,0.0172732342896175,"file16e96ce45d3e_logFC_0","TAHOE","Ivabradine (hydrochloride)",0.0500000007450581,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
28833,-0.254237372155091,0.00621,0.0957914413680782,"file16e96ce45d3e_logFC_0","TAHOE","Ivermectin",0.5,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
29009,-0.283828318233021,0.00118,0.0218850718015666,"file16e96ce45d3e_logFC_0","TAHOE","Ixazomib",0.5,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
29486,-0.398368210226771,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","L-Thyroxine (sodium salt pentahydrate)",5,24,"ACH-000927","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
30036,-0.312423551111958,0.00025,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","LY2090314",0.5,24,"ACH-001333","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
30565,-0.238412165243634,0.01358,0.199925041450777,"file16e96ce45d3e_logFC_0","TAHOE","Larotrectinib",5,24,"ACH-000139","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
30619,-0.38622909755127,9.99990000099999e-06,0.000563759920634921,"file16e96ce45d3e_logFC_0","TAHOE","Larotrectinib sulfate",0.0500000007450581,24,"ACH-001190","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
30730,-0.320964607115946,0.00012,0.00347035114503817,"file16e96ce45d3e_logFC_0","TAHOE","Lenalidomide (hemihydrate)",0.0500000007450581,24,"ACH-000757","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
31350,-0.248660627892212,0.00812,0.122787450771687,"file16e96ce45d3e_logFC_0","TAHOE","Lipoic acid",0.0500000007450581,24,"ACH-000793","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
31506,-0.313924825891326,0.00021,0.00568540733682706,"file16e96ce45d3e_logFC_0","TAHOE","Lonafarnib",0.0500000007450581,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
31699,-0.235734473085155,0.01531,0.224521643870968,"file16e96ce45d3e_logFC_0","TAHOE","Loperamide (hydrochloride)",0.5,24,"ACH-000396","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
32801,-0.331605668942981,5e-05,0.00188668658698539,"file16e96ce45d3e_logFC_0","TAHOE","Macitentan",5,24,"ACH-000750","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
33158,-0.264805478280278,0.00371,0.0598603549119818,"file16e96ce45d3e_logFC_0","TAHOE","Medroxyprogesterone acetate",0.0500000007450581,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
33308,-0.259239072707317,0.00491,0.0771627682522124,"file16e96ce45d3e_logFC_0","TAHOE","Megestrol",0.0500000007450581,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
33482,-0.310851164405383,0.00026,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Meloxicam",0.5,24,"ACH-000681","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
33656,-0.247012325458735,0.00904,0.135867781010315,"file16e96ce45d3e_logFC_0","TAHOE","Menadione",0.5,24,"ACH-000496","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
33870,-0.263053664127284,0.00408,0.0651092839090143,"file16e96ce45d3e_logFC_0","TAHOE","Methotrexate",5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
34246,-0.343634804205683,2e-05,0.00100312444836717,"file16e96ce45d3e_logFC_0","TAHOE","Methylthiouracil",0.5,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
34538,-0.287407202501291,0.00095,0.0182076391231029,"file16e96ce45d3e_logFC_0","TAHOE","Minodronic acid",0.5,24,"ACH-000138","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
34905,-0.314720851520607,2e-04,0.00550116166505324,"file16e96ce45d3e_logFC_0","TAHOE","Monocrotaline",5,24,"ACH-000916","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
35154,-0.252472583819992,0.00671,0.10283418824164,"file16e96ce45d3e_logFC_0","TAHOE","NG25",0.5,24,"ACH-000601","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
35520,-0.301049933012137,0.00042,0.00929413551401869,"file16e96ce45d3e_logFC_0","TAHOE","Nafamostat (mesylate)",5,24,"ACH-000932","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
35589,-0.281194067116935,0.00136,0.024660089342693,"file16e96ce45d3e_logFC_0","TAHOE","Naproxen",0.5,24,"ACH-000120","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
35878,-0.245658641808124,0.00976,0.146147963109354,"file16e96ce45d3e_logFC_0","TAHOE","Neratinib (maleate)",0.0500000007450581,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
36497,-0.297913051810367,0.00053,0.011280265917603,"file16e96ce45d3e_logFC_0","TAHOE","Norepinephrine (hydrochloride)",0.5,24,"ACH-001021","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
36662,-0.342521385432095,2e-05,0.00100312444836717,"file16e96ce45d3e_logFC_0","TAHOE","OTS514",0.5,24,"ACH-000628","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
36878,-0.262960202227771,0.00412,0.0656922671156005,"file16e96ce45d3e_logFC_0","TAHOE","Olanzapine",5,24,NA,"Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
36894,-0.229626407891338,0.02077,0.302330120389344,"file16e96ce45d3e_logFC_0","TAHOE","Oleic acid",0.0500000007450581,24,"ACH-000861","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
37496,-0.312120419582339,0.00025,0.00648764904862579,"file16e96ce45d3e_logFC_0","TAHOE","Ornidazole",0.0500000007450581,24,"ACH-000552","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
38003,-0.277080873362311,0.00173,0.0302680757389163,"file16e96ce45d3e_logFC_0","TAHOE","Oxaliplatin",0.5,24,"ACH-000950","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
38269,-0.263110764080468,0.00407,0.0649679466292135,"file16e96ce45d3e_logFC_0","TAHOE","PF-06260933",0.0500000007450581,24,"ACH-001190","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
38858,-0.345760523017454,2e-05,0.00100312444836717,"file16e96ce45d3e_logFC_0","TAHOE","Panobinostat",0.0500000007450581,24,"ACH-000311","Tahoe","DMSO","Tahoe",NA,NA,NA,NA,NA
