gene_symbol,logfc_dz:930,logfc_dz:931,logfc_dz:796,logfc_dz:795,logfc_dz:632,logfc_dz:671,logfc_dz:466,logfc_dz:724,mean_logfc,median_logfc,common_experiment,organism,signature_type
NFKBIA,0.3081890344619751,0.1698891371488571,,,,,,,0.2390390858054161,0.2390390858054161,,human,UP
HBA2,0.1966729015111923,-0.0274419542402029,0.1888364106416702,-0.0943246707320213,0.4060234129428863,0.3868904113769531,0.4189408123493194,,0.2107996176928281,0.1966729015111923,,human,UP
Prnp,,,,,,,,0.193745344877243,0.193745344877243,0.193745344877243,0.193745344877243,human,UP
Ttr,,,,,,,,0.1539448499679565,0.1539448499679565,0.1539448499679565,0.1539448499679565,human,UP
Ubb,,,,,,,,0.1519295126199722,0.1519295126199722,0.1519295126199722,0.1519295126199722,human,UP
NFKBIZ,0.1605370044708252,0.1203251704573631,,,,,,,0.1404310874640941,0.1404310874640941,,human,UP
Eef1a1,,,,,,,,0.1319803446531295,0.1319803446531295,0.1319803446531295,0.1319803446531295,human,UP
HBB,0.0298235118389129,0.0175319891422987,0.2642439305782318,-0.1771908849477768,0.227816104888916,0.281035453081131,0.2482711523771286,,0.1273616081369774,0.227816104888916,,human,UP
Tuba1c,,,,,,,,0.1208648085594177,0.1208648085594177,0.1208648085594177,0.1208648085594177,human,UP
Hba-a1,,,,,,,,0.1193173378705978,0.1193173378705978,0.1193173378705978,0.1193173378705978,human,UP
RGS18,0.0467144958674907,0.1859148293733596,,,,,,,0.1163146626204252,0.1163146626204252,,human,UP
Tuba1b,,,,,,,,0.1109394282102584,0.1109394282102584,0.1109394282102584,0.1109394282102584,human,UP
Ptgds,,,,,,,,0.1108930483460426,0.1108930483460426,0.1108930483460426,0.1108930483460426,human,UP
Rpl41,,,,,,,,0.1018444001674652,0.1018444001674652,0.1018444001674652,0.1018444001674652,human,UP
Rps23,,,,,,,,0.0936219692230224,0.0936219692230224,0.0936219692230224,0.0936219692230224,human,UP
IFITM2,0.0384946726262569,-0.0197830628603696,-0.1201474145054817,-0.1664127707481384,0.3160501420497894,0.2373369634151458,0.3645053505897522,,0.0928634115095649,0.0384946726262569,,human,UP
SRGN,0.0697155743837356,0.0506857968866825,0.2099369615316391,0.1823216527700424,-0.01305528357625,0.0369596853852272,,,0.0894273978968461,0.060200685635209,,human,UP
Ppia,,,,,,,,0.0878821685910224,0.0878821685910224,0.0878821685910224,0.0878821685910224,human,UP
B2M,0.0418283455073833,-0.0185085348784923,0.368872582912445,0.3034747242927551,-0.0728430598974227,0.0275785885751247,-0.0520485453307628,,0.0854791573115757,0.0275785885751247,,human,UP
Zwint,,,,,,,,0.0846422389149665,0.0846422389149665,0.0846422389149665,0.0846422389149665,human,UP
Calb2,,,,,,,,0.0825331881642341,0.0825331881642341,0.0825331881642341,0.0825331881642341,human,UP
Tuba1a,,,,,,,,0.0777527540922164,0.0777527540922164,0.0777527540922164,0.0777527540922164,human,UP
OST4,0.0532529018819332,0.0982182547450065,,,,,,,0.0757355783134698,0.0757355783134698,,human,UP
Gm13826,,,,,,,,0.0750681906938552,0.0750681906938552,0.0750681906938552,0.0750681906938552,human,UP
NCOA4,0.0421531237661838,0.1778649985790252,0.0977604016661644,0.0592439249157905,,,-0.016977235674858,,0.0720090426504612,0.0592439249157905,,human,UP
Rps2,,,,,,,,0.0682202950119972,0.0682202950119972,0.0682202950119972,0.0682202950119972,human,UP
Dynlt1a,,,,,,,,0.0673239082098007,0.0673239082098007,0.0673239082098007,0.0673239082098007,human,UP
Gm12191,,,,,,,,0.0667350441217422,0.0667350441217422,0.0667350441217422,0.0667350441217422,human,UP
CCL4,0.1016995757818222,0.0309189073741436,,,,,,,0.0663092415779829,0.0663092415779829,,human,UP
H3F3AP4,0.033916849642992,0.1065151989459991,0.033601202070713,-0.0433792546391487,0.1100828573107719,0.0917115285992622,0.1260218918323516,,0.0654957533947059,0.0917115285992622,,human,UP
Akr1a1,,,,,,,,0.0645399838685989,0.0645399838685989,0.0645399838685989,0.0645399838685989,human,UP
Slc22a17,,,,,,,,0.064348965883255,0.064348965883255,0.064348965883255,0.064348965883255,human,UP
Rpl5,,,,,,,,0.0643090307712555,0.0643090307712555,0.0643090307712555,0.0643090307712555,human,UP
Itm2c,,,,,,,,0.0635994598269462,0.0635994598269462,0.0635994598269462,0.0635994598269462,human,UP
NEAT1,0.0565620921552181,0.0689881965517997,,,,,,,0.0627751443535089,0.0627751443535089,,human,UP
Jund,,,,,,,,0.0623188316822052,0.0623188316822052,0.0623188316822052,0.0623188316822052,human,UP
CCL3L3,0.0970604866743087,0.0225351899862289,,,,,,,0.0597978383302688,0.0597978383302688,,human,UP
TNFAIP3,0.0747338086366653,0.0446786023676395,,,,,,,0.0597062055021524,0.0597062055021524,,human,UP
Eef1a2,,,,,,,,0.0588148050010204,0.0588148050010204,0.0588148050010204,0.0588148050010204,human,UP
IL1B,0.0962224602699279,0.0213531833142042,,,,,,,0.0587878217920661,0.0587878217920661,,human,UP
