gene_symbol,logfc_dz:930,logfc_dz:931,logfc_dz:796,logfc_dz:795,logfc_dz:632,logfc_dz:671,logfc_dz:466,logfc_dz:724,mean_logfc,median_logfc,common_experiment,organism,signature_type
IER3,0.0624056831002235,0.0542038194835186,,,,,,,0.058304751291871,0.058304751291871,,human,UP
Marcks,,,,,,,,0.0582021884620189,0.0582021884620189,0.0582021884620189,0.0582021884620189,human,UP
ND2,-0.0141651835292577,0.1270266771316528,,,,,,,0.0564307468011975,0.0564307468011975,,human,UP
Basp1,,,,,,,,0.05490093678236,0.05490093678236,0.05490093678236,0.05490093678236,human,UP
ALAS2,,,-0.0381287708878517,0.0135263064876198,0.1023084744811058,0.0896954014897346,0.1065963059663772,,0.0547995435073971,0.0896954014897346,,human,UP
FCGR3B,0.0185400620102882,,0.0916590988636016,0.1161675900220871,-0.020522890612483,0.0883098095655441,0.0337283313274383,,0.0546470001960794,0.0610190704464912,,human,UP
TUBB1,0.052273616194725,0.0566177852451801,,,,,,,0.0544457007199525,0.0544457007199525,,human,UP
H3f3b,,,,,,,,0.054262489080429,0.054262489080429,0.054262489080429,0.054262489080429,human,UP
Rpl19,,,,,,,,0.0536708422005176,0.0536708422005176,0.0536708422005176,0.0536708422005176,human,UP
Rpl8,,,,,,,,0.0527970530092716,0.0527970530092716,0.0527970530092716,0.0527970530092716,human,UP
Ctsd,,,,,,,,0.0522965490818023,0.0522965490818023,0.0522965490818023,0.0522965490818023,human,UP
Tmsb4x,,,,,,,,0.0517169125378131,0.0517169125378131,0.0517169125378131,0.0517169125378131,human,UP
Hbb-b2,,,,,,,,0.0506213866174221,0.0506213866174221,0.0506213866174221,0.0506213866174221,human,UP
Gm14438,,,,,,,,0.0505813844501972,0.0505813844501972,0.0505813844501972,0.0505813844501972,human,UP
Rps27rt,,,,,,,,0.0502724014222621,0.0502724014222621,0.0502724014222621,0.0502724014222621,human,UP
Apod,,,,,,,,0.0499161630868911,0.0499161630868911,0.0499161630868911,0.0499161630868911,human,UP
Rps15a,,,,,,,,0.0496041700243949,0.0496041700243949,0.0496041700243949,0.0496041700243949,human,UP
Chd4,,,,,,,,0.0495913960039615,0.0495913960039615,0.0495913960039615,0.0495913960039615,human,UP
Rpl7,,,,,,,,0.0490567162632942,0.0490567162632942,0.0490567162632942,0.0490567162632942,human,UP
SGK1,0.0483666062355041,,,,,,,,0.0483666062355041,0.0483666062355041,,human,UP
S100A9,0.055365215986967,0.0161088723689317,0.033647570759058,0.0351555868983268,0.0533773638308048,0.0647137835621833,0.0710993409156799,,0.0470668191888502,0.0533773638308048,,human,UP
Gng3,,,,,,,,0.0468120500445365,0.0468120500445365,0.0468120500445365,0.0468120500445365,human,UP
NBPF8,0.0358464941382408,0.0567733161151409,,,,,,,0.0463099051266908,0.0463099051266908,,human,UP
Rpl37a,,,,,,,,0.0456877499818801,0.0456877499818801,0.0456877499818801,0.0456877499818801,human,UP
DCAF12,,0.0455977618694305,,,,,,,0.0455977618694305,0.0455977618694305,,human,UP
GNG11,0.0393464751541614,0.0503791235387325,,,,,,,0.0448627993464469,0.0448627993464469,,human,UP
Rhob,,,,,,,,0.0433440506458282,0.0433440506458282,0.0433440506458282,0.0433440506458282,human,UP
Rpl13,,,,,,,,0.0432200692594051,0.0432200692594051,0.0432200692594051,0.0432200692594051,human,UP
Uchl1,,,,,,,,0.0431083217263221,0.0431083217263221,0.0431083217263221,0.0431083217263221,human,UP
Rpl34,,,,,,,,0.0428910925984382,0.0428910925984382,0.0428910925984382,0.0428910925984382,human,UP
NRGN,0.0715600699186325,0.078848123550415,,-0.0231615994125604,,,,,0.0424155313521623,0.0715600699186325,,human,UP
Eif4a2,,,,,,,,0.042271114885807,0.042271114885807,0.042271114885807,0.042271114885807,human,UP
Chchd10,,,,,,,,0.0422702580690383,0.0422702580690383,0.0422702580690383,0.0422702580690383,human,UP
Gm10260,,,,,,,,0.0421949625015258,0.0421949625015258,0.0421949625015258,0.0421949625015258,human,UP
Rps3a1,,,,,,,,0.04169837012887,0.04169837012887,0.04169837012887,0.04169837012887,human,UP
Laptm4a,,,,,,,,0.041554756462574,0.041554756462574,0.041554756462574,0.041554756462574,human,UP
CD53,,,-0.0099984938278794,0.0904380232095718,0.0348780937492847,0.0375724546611309,0.0533662736415863,,0.0412512702867388,0.0375724546611309,,human,UP
Rplp0,,,,,,,,0.0411203950643539,0.0411203950643539,0.0411203950643539,0.0411203950643539,human,UP
G0S2,0.0688523277640342,0.0133679322898387,,,,,,,0.0411101300269365,0.0411101300269365,,human,UP
VNN2,,,0.0364943034946918,0.0807733386754989,0.0196814145892858,0.026088710874319,0.0387823954224586,,0.0403640326112508,0.0364943034946918,,human,UP
Rac1,,,,,,,,0.0402383953332901,0.0402383953332901,0.0402383953332901,0.0402383953332901,human,UP
CMTM6,,,0.0531261526048183,,,0.025961335748434,,,0.0395437441766262,0.0395437441766262,,human,UP
Igfbp2,,,,,,,,0.0393967144191265,0.0393967144191265,0.0393967144191265,0.0393967144191265,human,UP
IL7R,0.0238916482776403,0.1026157289743423,0.0199324525892734,,0.0353395007550716,0.018329057842493,0.0359051935374736,,0.039335596996049,0.0296155745163559,,human,UP
LBR,,,0.0262787323445081,0.0522554814815521,,,,,0.0392671069130301,0.0392671069130301,,human,UP
Enpp2,,,,,,,,0.0392301678657531,0.0392301678657531,0.0392301678657531,0.0392301678657531,human,UP
MALAT1,0.0333332903683185,0.0450006239116191,,,,,,,0.0391669571399688,0.0391669571399688,,human,UP
CD74,,,-0.0421161018311977,-0.068433329463005,0.1391008645296096,0.0730858668684959,0.0935241281986236,,0.0390322856605052,0.0730858668684959,,human,UP
Rps16-ps2,,,,,,,,0.0387430898845195,0.0387430898845195,0.0387430898845195,0.0387430898845195,human,UP
Atp6v0c,,,,,,,,0.0382998399436473,0.0382998399436473,0.0382998399436473,0.0382998399436473,human,UP
LINC00936,0.0887994319200515,-0.0134077025577425,,,,,,,0.0376958646811544,0.0376958646811544,,human,UP
Sncb,,,,,,,,0.0368164367973804,0.0368164367973804,0.0368164367973804,0.0368164367973804,human,UP
Bsg,,,,,,,,0.036632552742958,0.036632552742958,0.036632552742958,0.036632552742958,human,UP
Prkar1a,,,,,,,,0.0366054996848106,0.0366054996848106,0.0366054996848106,0.0366054996848106,human,UP
UBC,-0.0146057596430182,,-0.0260517839342355,-0.0390545278787612,0.0906375795602798,0.0783197358250618,0.1300552487373352,,0.0365500821111102,0.0318569880910217,,human,UP
Tmsb10,,,,,,,,0.0364561155438423,0.0364561155438423,0.0364561155438423,0.0364561155438423,human,UP
Rpl6,,,,,,,,0.0363632105290889,0.0363632105290889,0.0363632105290889,0.0363632105290889,human,UP
STRADB,,0.0363222025334835,,,,,,,0.0363222025334835,0.0363222025334835,,human,UP
Arf1,,,,,,,,0.0362912267446517,0.0362912267446517,0.0362912267446517,0.0362912267446517,human,UP
Aqp4,,,,,,,,0.0361508801579475,0.0361508801579475,0.0361508801579475,0.0361508801579475,human,UP
Rps12,,,,,,,,0.0360106080770492,0.0360106080770492,0.0360106080770492,0.0360106080770492,human,UP
TYROBP,0.0171741936355829,0.0168102663010358,,0.0141180492937564,0.0608503594994545,0.0439926832914352,0.0630452409386634,,0.0359984654933214,0.030583438463509,,human,UP
CD83,0.0359536595642566,,,,,,,,0.0359536595642566,0.0359536595642566,,human,UP
Rps26,,,,,,,,0.0355103872716426,0.0355103872716426,0.0355103872716426,0.0355103872716426,human,UP
Psma3,,,,,,,,0.0353911332786083,0.0353911332786083,0.0353911332786083,0.0353911332786083,human,UP
IFNGR1,,,0.023430785164237,0.0473044253885746,,,,,0.0353676052764058,0.0353676052764058,,human,UP
Ybx1,,,,,,,,0.0353611335158348,0.0353611335158348,0.0353611335158348,0.0353611335158348,human,UP
Sqstm1,,,,,,,,0.0348252281546592,0.0348252281546592,0.0348252281546592,0.0348252281546592,human,UP
BCL2A1,0.0344499051570892,,,,,,,,0.0344499051570892,0.0344499051570892,,human,UP
Ttc3,,,,,,,,0.0340649858117103,0.0340649858117103,0.0340649858117103,0.0340649858117103,human,UP
S100A6,,,-0.0145726716145873,,0.061511930078268,0.0244241990149021,0.0639850720763206,,0.0338371323887258,0.042968064546585,,human,UP
Rps3,,,,,,,,0.0338225103914737,0.0338225103914737,0.0338225103914737,0.0338225103914737,human,UP
FTH1,0.1042331755161285,0.0181170459836721,0.0222862474620342,,0.0068008857779204,0.0277802348136901,0.0231232922524213,,0.0337234803009778,0.0227047698572278,,human,UP
Tpt1,,,,,,,,0.0336454771459102,0.0336454771459102,0.0336454771459102,0.0336454771459102,human,UP
Pgrmc1,,,,,,,,0.0334613807499408,0.0334613807499408,0.0334613807499408,0.0334613807499408,human,UP
Gsk3a,,,,,,,,0.0332909971475601,0.0332909971475601,0.0332909971475601,0.0332909971475601,human,UP
Ndfip1,,,,,,,,0.0332563482224941,0.0332563482224941,0.0332563482224941,0.0332563482224941,human,UP
Mlf2,,,,,,,,0.0332193039357662,0.0332193039357662,0.0332193039357662,0.0332193039357662,human,UP
Gnb2l1,,,,,,,,0.0331217274069786,0.0331217274069786,0.0331217274069786,0.0331217274069786,human,UP
NBPF10,0.0486940741539001,0.0952142253518104,0.0356304720044136,0.0333555378019809,0.0164716709405183,-0.0121004208922386,0.0140803325921297,,0.0330494131360735,0.0333555378019809,,human,UP
F13A1,0.0385075621306896,0.0414126142859458,0.0192270595580339,,,,,,0.0330490786582231,0.0385075621306896,,human,UP
Celf4,,,,,,,,0.0330195352435112,0.0330195352435112,0.0330195352435112,0.0330195352435112,human,UP
Gdi1,,,,,,,,0.032984934747219,0.032984934747219,0.032984934747219,0.032984934747219,human,UP
MIR21,0.0141012091189622,0.0754169523715972,0.0450588501989841,0.0511551797389984,-0.0083888927474617,0.0194658059626817,,,0.032801517440627,0.0322623280808329,,human,UP
MNDA,,0.0136519372463226,0.1286115050315857,0.120482325553894,-0.083756037056446,0.078134074807167,-0.0614487677812576,,0.0326125063002109,0.0458930060267448,,human,UP
Ddx3y,,,,,,,,0.0324467420578002,0.0324467420578002,0.0324467420578002,0.0324467420578002,human,UP
ALOX5AP,,,-0.0136184385046362,0.0106001077219843,0.0486721992492675,0.0496593788266181,0.0656909793615341,,0.0322008453309536,0.0486721992492675,,human,UP
HLA-DMB,,0.0316648595035076,,,,,,,0.0316648595035076,0.0316648595035076,,human,UP
Rpl3,,,,,,,,0.0314234569668769,0.0314234569668769,0.0314234569668769,0.0314234569668769,human,UP
Rtn3,,,,,,,,0.031409915536642,0.031409915536642,0.031409915536642,0.031409915536642,human,UP
Alg2,,,,,,,,0.0314018167555332,0.0314018167555332,0.0314018167555332,0.0314018167555332,human,UP
Rps10,,,,,,,,0.0311976391822099,0.0311976391822099,0.0311976391822099,0.0311976391822099,human,UP
NSUN5P2,,0.0309437587857246,,,,,,,0.0309437587857246,0.0309437587857246,,human,UP
NAMPT,0.0116039449349045,,0.0456417277455329,0.0741437822580337,-0.0077237314544618,,,,0.0309164308710023,0.0286228363402187,,human,UP
Rpl23a,,,,,,,,0.0307747162878513,0.0307747162878513,0.0307747162878513,0.0307747162878513,human,UP
Rps11,,,,,,,,0.0306435339152812,0.0306435339152812,0.0306435339152812,0.0306435339152812,human,UP
Gm16409,,,,,,,,0.0304607264697551,0.0304607264697551,0.0304607264697551,0.0304607264697551,human,UP
IFI30,0.0533546060323715,-0.0339318327605724,,-0.0331804677844047,0.0884746834635734,0.0335910953581333,0.0728228464722633,,0.0301884884635607,0.0434728506952524,,human,UP
Rpl7a,,,,,,,,0.0297780558466911,0.0297780558466911,0.0297780558466911,0.0297780558466911,human,UP
Rpl21,,,,,,,,0.0297108422964811,0.0297108422964811,0.0297108422964811,0.0297108422964811,human,UP
Pabpn1,,,,,,,,0.0294386968016624,0.0294386968016624,0.0294386968016624,0.0294386968016624,human,UP
AQP9,,,0.0468627139925956,0.0726494267582893,-0.0224147085100412,0.0374486669898033,0.0124566107988357,,0.0294005420058965,0.0374486669898033,,human,UP
FTL,-0.0237422678619623,,-0.0179288182407617,-0.097371831536293,0.1038240790367126,0.1201765239238739,0.0910553559660911,,0.0293355068812767,0.0365632688626647,,human,UP
DDX11L2,0.0199828632175922,0.0385906025767326,,,,,,,0.0292867328971624,0.0292867328971624,,human,UP
Anapc5,,,,,,,,0.029037831351161,0.029037831351161,0.029037831351161,0.029037831351161,human,UP
PABPC1,,,-0.0121629098430275,,0.0563289485871791,,0.0429396964609622,,0.0290352450683712,0.0429396964609622,,human,UP
Cd63,,,,,,,,0.0290199015289545,0.0290199015289545,0.0290199015289545,0.0290199015289545,human,UP
Rnf141,,,,,,,,0.0288634337484836,0.0288634337484836,0.0288634337484836,0.0288634337484836,human,UP
CLEC7A,,,0.0507433637976646,0.0407840497791767,,0.0159009527415037,0.0069855917245149,,0.028603489510715,0.0283425012603402,,human,UP
LMBRD1,,,0.0214527957141399,0.0352642945945262,,,,,0.0283585451543331,0.0283585451543331,,human,UP
Actg1,,,,,,,,0.028210561722517,0.028210561722517,0.028210561722517,0.028210561722517,human,UP
Macf1,,,,,,,,0.0281871277838945,0.0281871277838945,0.0281871277838945,0.0281871277838945,human,UP
Ndn,,,,,,,,0.028125911951065,0.028125911951065,0.028125911951065,0.028125911951065,human,UP
Ran,,,,,,,,0.0278840009123086,0.0278840009123086,0.0278840009123086,0.0278840009123086,human,UP
Glo1,,,,,,,,0.0278448853641748,0.0278448853641748,0.0278448853641748,0.0278448853641748,human,UP
Eif1,,,,,,,,0.0274237021803855,0.0274237021803855,0.0274237021803855,0.0274237021803855,human,UP
HIST1H2AC,0.0545555427670478,0.062372762709856,0.0539847835898399,0.0462340600788593,-0.0283320490270853,,-0.0255377683788537,,0.0272128886232773,0.0501094218343496,,human,UP
Atp5a1,,,,,,,,0.0271752830594778,0.0271752830594778,0.0271752830594778,0.0271752830594778,human,UP
RBM47,,,0.0203027185052633,0.0340233482420444,,,,,0.0271630333736538,0.0271630333736538,,human,UP
HNRNPH1,,0.0269572064280509,,,,,,,0.0269572064280509,0.0269572064280509,,human,UP
HIST1H3H,0.019990662112832,0.0337065979838371,,,,,,,0.0268486300483346,0.0268486300483346,,human,UP
GAPDH,,-0.0362697280943393,-0.0379446223378181,0.0441112890839576,0.083535760641098,,0.0805501118302345,,0.0267965622246265,0.0441112890839576,,human,UP
Uqcrc2,,,,,,,,0.0266308151185512,0.0266308151185512,0.0266308151185512,0.0266308151185512,human,UP
CD14,0.0198243297636508,0.0343432091176509,,,0.0268464721739292,0.0231670178472995,0.0285245440900325,,0.0265411145985126,0.0268464721739292,,human,UP
PLP2,0.0248859394341707,0.0201720762997865,,,0.0311888102442026,0.0136856362223625,0.0426785536110401,,0.0265222031623125,0.0248859394341707,,human,UP
Gabarapl1,,,,,,,,0.0265195053070783,0.0265195053070783,0.0265195053070783,0.0265195053070783,human,UP
Pcsk1n,,,,,,,,0.0265034530311822,0.0265034530311822,0.0265034530311822,0.0265034530311822,human,UP
Hk1,,,,,,,,0.0263811890035867,0.0263811890035867,0.0263811890035867,0.0263811890035867,human,UP
TXNIP,-0.0532028749585151,0.0588186681270599,0.0159353446215391,0.0752687379717826,0.0283312648534774,0.0279059875756502,0.0314678400754928,,0.0263607097523553,0.0283312648534774,,human,UP
Hprt,,,,,,,,0.0262281727045774,0.0262281727045774,0.0262281727045774,0.0262281727045774,human,UP
CA2,0.0205427724868059,0.0317782647907733,,,,,,,0.0261605186387896,0.0261605186387896,,human,UP
LYZ,-0.0391723178327083,-0.0322763621807098,0.0319324545562267,0.1063303872942924,0.02816061116755,0.0404888801276683,0.0472025126218795,,0.0260951665363141,0.0319324545562267,,human,UP
SLC25A39,,0.0259617511183023,,,,,,,0.0259617511183023,0.0259617511183023,,human,UP
ID2B,0.0268530212342739,0.0250172428786754,,,,,,,0.0259351320564746,0.0259351320564746,,human,UP
UBB,,0.0524306409060955,-0.0433396287262439,0.0186683051288127,0.021883713081479,0.0661956965923309,0.0393661633133888,,0.0258674817159771,0.0306249381974339,,human,UP
Eno1b,,,,,,,,0.0258278809487819,0.0258278809487819,0.0258278809487819,0.0258278809487819,human,UP
Sptbn1,,,,,,,,0.0257634650915861,0.0257634650915861,0.0257634650915861,0.0257634650915861,human,UP
Tro,,,,,,,,0.025752916932106,0.025752916932106,0.025752916932106,0.025752916932106,human,UP
TNFSF10,,,0.0309486482292413,0.0205393638461828,,,,,0.025744006037712,0.025744006037712,,human,UP
SDPR,0.0218407418578863,0.0296204295009374,,,,,,,0.0257305856794118,0.0257305856794118,,human,UP
CDKN1B,,,0.0142499096691608,0.0369325764477252,,,,,0.025591243058443,0.025591243058443,,human,UP
TYK2,,0.0255457814782857,,,,,,,0.0255457814782857,0.0255457814782857,,human,UP
UBE2D3,,,0.0200472604483366,0.0308620743453502,,,,,0.0254546673968434,0.0254546673968434,,human,UP
Copa,,,,,,,,0.0250493381172418,0.0250493381172418,0.0250493381172418,0.0250493381172418,human,UP
TBC1D4,,0.0249512046575546,,,,,,,0.0249512046575546,0.0249512046575546,,human,UP
NCF2,0.0095577845349907,0.0295539032667875,,0.0180831011384725,0.0111530693247914,0.044077094644308,0.0371182933449745,,0.0249238743757208,0.02381850220263,,human,UP
CDIPT,,,,,0.0243636965751647,0.0303482711315155,0.0196582525968551,,0.0247900734345118,0.0243636965751647,,human,UP
Scg5,,,,,,,,0.0247729159891605,0.0247729159891605,0.0247729159891605,0.0247729159891605,human,UP
METTL9,,,0.0169906914234161,0.032040499150753,,,,,0.0245155952870845,0.0245155952870845,,human,UP
Psma6,,,,,,,,0.0244077444076538,0.0244077444076538,0.0244077444076538,0.0244077444076538,human,UP
PLBD1,,,,,,0.0243516098707914,,,0.0243516098707914,0.0243516098707914,,human,UP
XPO6,,,,,0.0155124636366963,0.030506495386362,0.0267547201365232,,0.0242578930531938,0.0267547201365232,,human,UP
Prepl,,,,,,,,0.0240969788283109,0.0240969788283109,0.0240969788283109,0.0240969788283109,human,UP
LGALS2,,0.0240865219384431,,,,,,,0.0240865219384431,0.0240865219384431,,human,UP
Cd164,,,,,,,,0.0240003336220979,0.0240003336220979,0.0240003336220979,0.0240003336220979,human,UP
Plekhb2,,,,,,,,0.023993806913495,0.023993806913495,0.023993806913495,0.023993806913495,human,UP
CTSA,0.0156234335154294,0.0321755744516849,,,,,,,0.0238995039835572,0.0238995039835572,,human,UP
Cbx4,,,,,,,,0.0238302312791347,0.0238302312791347,0.0238302312791347,0.0238302312791347,human,UP
LOC100507625,0.0238254554569721,,,,,,,,0.0238254554569721,0.0238254554569721,,human,UP
Atp6v1a,,,,,,,,0.0237980671226978,0.0237980671226978,0.0237980671226978,0.0237980671226978,human,UP
Sf3a2,,,,,,,,0.0237521864473819,0.0237521864473819,0.0237521864473819,0.0237521864473819,human,UP
Cript,,,,,,,,0.0236277896910905,0.0236277896910905,0.0236277896910905,0.0236277896910905,human,UP
NSUN5P1,,0.0235237646847963,,,,,,,0.0235237646847963,0.0235237646847963,,human,UP
Timp3,,,,,,,,0.0234752222895622,0.0234752222895622,0.0234752222895622,0.0234752222895622,human,UP
Rtn1,,,,,,,,0.0234115999191999,0.0234115999191999,0.0234115999191999,0.0234115999191999,human,UP
Myl12b,,,,,,,,0.023400193080306,0.023400193080306,0.023400193080306,0.023400193080306,human,UP
HK3,,0.0233826823532581,,,,,,,0.0233826823532581,0.0233826823532581,,human,UP
Kcna1,,,,,,,,0.0233824774622917,0.0233824774622917,0.0233824774622917,0.0233824774622917,human,UP
Selt,,,,,,,,0.0232362616807222,0.0232362616807222,0.0232362616807222,0.0232362616807222,human,UP
ABHD3,,,,0.0232299659401178,,,,,0.0232299659401178,0.0232299659401178,,human,UP
Wsb1,,,,,,,,0.0232244413346052,0.0232244413346052,0.0232244413346052,0.0232244413346052,human,UP
PRKAR2B,0.0419249609112739,0.043036863207817,0.015234638005495,,-0.0076001011766493,,,,0.0231490902369841,0.0285797994583845,,human,UP
SNCA,,0.0247542150318622,,0.028313985094428,,0.0162169262766838,,,0.0230950421343247,0.0247542150318622,,human,UP
Maged1,,,,,,,,0.0230829864740371,0.0230829864740371,0.0230829864740371,0.0230829864740371,human,UP
Uba2,,,,,,,,0.0230450350791215,0.0230450350791215,0.0230450350791215,0.0230450350791215,human,UP
CXCL8,0.0230249091982841,,,,,,,,0.0230249091982841,0.0230249091982841,,human,UP
IFITM3,0.0240645054727792,-0.0217398796230554,-0.0283679477870464,-0.1272699534893036,0.1208659783005714,0.0662532225251197,0.1273373663425445,,0.0230204702488013,0.0240645054727792,,human,UP
MT1HL1,,,0.0228925459086895,,,,,,0.0228925459086895,0.0228925459086895,,human,UP
RBX1,,0.0228598807007074,,,,,,,0.0228598807007074,0.0228598807007074,,human,UP
CD302,,,0.0179063193500041,0.027768600732088,,,,,0.0228374600410461,0.0228374600410461,,human,UP
Vps26a,,,,,,,,0.0227347258478403,0.0227347258478403,0.0227347258478403,0.0227347258478403,human,UP
GLRX5,,0.0276034791022539,,0.0311446096748113,0.0104442602023482,0.0217064786702394,,,0.0227247069124132,0.0246549788862466,,human,UP
EIF4A1,0.0132301431149244,0.0322162248194217,,,,,,,0.0227231839671731,0.0227231839671731,,human,UP
PELI1,0.0151511868461966,,0.021491440013051,0.0315108150243759,,,,,0.0227178139612078,0.021491440013051,,human,UP
LINC00623,0.0227110050618648,,,,,,,,0.0227110050618648,0.0227110050618648,,human,UP
Tubb5,,,,,,,,0.0226588770747184,0.0226588770747184,0.0226588770747184,0.0226588770747184,human,UP
LTA4H,0.0163483452051877,0.0143042150884866,0.0107076736167073,0.0269266422837972,0.0297683104872703,0.0370426215231418,0.0226551573723554,,0.0225361379395638,0.0226551573723554,,human,UP
Pabpc1,,,,,,,,0.0224942062050104,0.0224942062050104,0.0224942062050104,0.0224942062050104,human,UP
Prdx1,,,,,,,,0.0224298760294914,0.0224298760294914,0.0224298760294914,0.0224298760294914,human,UP
OSBPL8,,,0.0193881802260875,0.0254218149930238,,,,,0.0224049976095557,0.0224049976095557,,human,UP
Rpl28,,,,,,,,0.0223751608282327,0.0223751608282327,0.0223751608282327,0.0223751608282327,human,UP
Clu,,,,,,,,0.0223076958209276,0.0223076958209276,0.0223076958209276,0.0223076958209276,human,UP
Rnasek,,,,,,,,0.0221957396715879,0.0221957396715879,0.0221957396715879,0.0221957396715879,human,UP
Gstp1,,,,,,,,0.0221016034483909,0.0221016034483909,0.0221016034483909,0.0221016034483909,human,UP
Atp5c1,,,,,,,,0.0218729916960001,0.0218729916960001,0.0218729916960001,0.0218729916960001,human,UP
Gap43,,,,,,,,0.0216011367738246,0.0216011367738246,0.0216011367738246,0.0216011367738246,human,UP
Gm19558,,,,,,,,0.02156488224864,0.02156488224864,0.02156488224864,0.02156488224864,human,UP
