gene_symbol,logfc_dz:483,logfc_dz:475,logfc_dz:798,logfc_dz:555,mean_logfc,median_logfc,common_experiment,organism,signature_type
RPS4Y1,,-0.016078071668744,,0.844993531703949,0.4144577300176024,0.4144577300176024,,human,UP
TFF1,,0.2166101932525634,,,0.2166101932525634,0.2166101932525634,,human,UP
CEACAM6,,0.2105676233768463,,,0.2105676233768463,0.2105676233768463,,human,UP
TSPAN8,,0.1682722270488739,,,0.1682722270488739,0.1682722270488739,,human,UP
S100P,0.2270708680152893,0.1077412813901901,,,0.1674060747027397,0.1674060747027397,0.2270708680152893,human,UP
SFN,0.2939994633197784,0.0119152506813406,,,0.1529573570005595,0.1529573570005595,0.2939994633197784,human,UP
PNLIP,,0.1439017355442047,,,0.1439017355442047,0.1439017355442047,,human,UP
LCN2,0.171337753534317,0.1024070903658866,,,0.1368724219501018,0.1368724219501018,0.171337753534317,human,UP
GPX2,0.1360719352960586,,,,0.1360719352960586,0.1360719352960586,0.1360719352960586,human,UP
F2RL1,,,0.1308493018150329,,0.1308493018150329,0.1308493018150329,,human,UP
CTGF,,,0.1259772628545761,,0.1259772628545761,0.1259772628545761,,human,UP
NME1,,,0.116190955042839,,0.116190955042839,0.116190955042839,,human,UP
GAPDH,0.1117918267846107,0.114005722105503,,,0.1128987744450569,0.1128987744450569,0.1117918267846107,human,UP
AMY2B,0.0615716204047203,0.1590448766946792,,,0.1103082485496997,0.1103082485496997,0.0615716204047203,human,UP
PRSS1,,0.1051242724061012,,,0.1051242724061012,0.1051242724061012,,human,UP
UAP1,,,0.0984133929014206,,0.0984133929014206,0.0984133929014206,,human,UP
MLLT11,,,0.0982158407568931,,0.0982158407568931,0.0982158407568931,,human,UP
COL1A2,,0.0979661867022514,,,0.0979661867022514,0.0979661867022514,,human,UP
SPDL1,,,0.0973081663250923,,0.0973081663250923,0.0973081663250923,,human,UP
RNASET2,0.0969664007425308,,,,0.0969664007425308,0.0969664007425308,0.0969664007425308,human,UP
TMSB10,0.0846359357237815,0.1940396577119827,0.0774427577853202,0.0252816211432218,0.0953499930910766,0.0810393467545509,0.0846359357237815,human,UP
IGHV4-31,,0.1490236073732376,,0.038910511881113,0.0939670596271753,0.0939670596271753,,human,UP
ACTB,0.0302390344440937,0.2276099324226379,0.099748820066452,0.018189338967204,0.0939467814750969,0.0649939272552728,0.0302390344440937,human,UP
HLA-B,0.0907690897583961,0.092187225818634,,,0.091478157788515,0.091478157788515,0.0907690897583961,human,UP
TIMP1,0.0676918774843216,0.1125127896666526,,,0.0901023335754871,0.0901023335754871,0.0676918774843216,human,UP
ATP1B1,0.114279881119728,0.0886449590325355,0.0640397742390632,,0.0889882047971089,0.0886449590325355,0.114279881119728,human,UP
TUBB2A,,,0.085538811981678,,0.085538811981678,0.085538811981678,,human,UP
C15orf48,,0.0337216295301914,0.1293248534202575,,0.0815232414752245,0.0815232414752245,,human,UP
SERPINA1,0.0794339030981063,,,,0.0794339030981063,0.0794339030981063,0.0794339030981063,human,UP
C19orf33,0.1087199226021766,0.0467119291424751,,,0.0777159258723259,0.0777159258723259,0.1087199226021766,human,UP
PABPC1,0.0770940631628036,,,,0.0770940631628036,0.0770940631628036,0.0770940631628036,human,UP
EPCAM,,0.0748573988676071,,,0.0748573988676071,0.0748573988676071,,human,UP
ANXA4,0.0903164222836494,0.0585136972367763,,,0.0744150597602129,0.0744150597602129,0.0903164222836494,human,UP
CSTB,0.0740593373775482,,,,0.0740593373775482,0.0740593373775482,0.0740593373775482,human,UP
AMIGO2,,0.0202554706484079,0.1278000026941299,,0.0740277366712689,0.0740277366712689,,human,UP
TGFBI,,0.0394651778042316,0.1617176085710525,0.0164835639297962,0.0725554501016934,0.0394651778042316,,human,UP
XPC,,,,0.0721524655818939,0.0721524655818939,0.0721524655818939,,human,UP
ID1,,0.0166410934180021,0.1272003501653671,,0.0719207217916846,0.0719207217916846,,human,UP
ANXA2,0.1239796131849289,0.0195430740714073,,,0.0717613436281681,0.0717613436281681,0.1239796131849289,human,UP
WARS,0.0704407468438148,,,,0.0704407468438148,0.0704407468438148,0.0704407468438148,human,UP
ID2B,,,,0.0704225897789001,0.0704225897789001,0.0704225897789001,,human,UP
CLPS,,0.135435551404953,,0.0054086856544017,0.0704221185296773,0.0704221185296773,,human,UP
CTHRC1,,0.0680446624755859,,,0.0680446624755859,0.0680446624755859,,human,UP
LUM,,0.0678299814462661,,,0.0678299814462661,0.0678299814462661,,human,UP
OLFM4,,0.067583292722702,,,0.067583292722702,0.067583292722702,,human,UP
TFF2,,0.0672803819179534,,,0.0672803819179534,0.0672803819179534,,human,UP
MAL2,,0.0654745623469352,,,0.0654745623469352,0.0654745623469352,,human,UP
ERRFI1,,,0.0653755739331245,,0.0653755739331245,0.0653755739331245,,human,UP
ABCC3,0.0653691813349723,,,,0.0653691813349723,0.0653691813349723,0.0653691813349723,human,UP
BOLA2B,,,0.0644558891654014,,0.0644558891654014,0.0644558891654014,,human,UP
HLA-C,0.0700767487287521,0.058676328510046,,,0.064376538619399,0.064376538619399,0.0700767487287521,human,UP
CTPS1,,,0.0637123808264732,,0.0637123808264732,0.0637123808264732,,human,UP
TP53I3,,,0.0618117526173591,,0.0618117526173591,0.0618117526173591,,human,UP
BIRC2,,,0.0600676387548446,,0.0600676387548446,0.0600676387548446,,human,UP
HTN3,,,,0.0600122287869453,0.0600122287869453,0.0600122287869453,,human,UP
COL6A3,,0.0599805787205696,,,0.0599805787205696,0.0599805787205696,,human,UP
ITGAV,,0.0328873395919799,0.0853829532861709,,0.0591351464390754,0.0591351464390754,,human,UP
PDGFC,0.0585628412663936,,,,0.0585628412663936,0.0585628412663936,0.0585628412663936,human,UP
NREP,0.0583255030214786,,,,0.0583255030214786,0.0583255030214786,0.0583255030214786,human,UP
SPOCK1,,,0.0579336918890476,,0.0579336918890476,0.0579336918890476,,human,UP
TUBA1C,0.0236477330327034,0.0441923253238201,0.1055467724800109,,0.0577956102788448,0.0441923253238201,0.0236477330327034,human,UP
MIR4435-1HG,,,0.0576625540852546,,0.0576625540852546,0.0576625540852546,,human,UP
CYSTM1,0.0770880803465843,0.0440724864602088,0.0475269183516502,,0.0562291617194811,0.0475269183516502,0.0770880803465843,human,UP
S100A9,-0.0138946091756224,,,0.1262148171663284,0.0561601039953529,0.0561601039953529,-0.0138946091756224,human,UP
GARS,,,0.0974701270461082,0.0145127810537815,0.0559914540499448,0.0559914540499448,,human,UP
CLIC1,0.0645537748932838,0.0554047264158725,0.0458908230066299,,0.0552831081052621,0.0554047264158725,0.0645537748932838,human,UP
IGJ,,-0.0320443958044052,,0.1425385773181915,0.0552470907568931,0.0552470907568931,,human,UP
GOLGA6A,,,,0.0552254952490329,0.0552254952490329,0.0552254952490329,,human,UP
TFRC,0.05489182472229,,,,0.05489182472229,0.05489182472229,0.05489182472229,human,UP
HLA-A,0.1079780384898185,0.0934163033962249,-0.0367472171783447,,0.0548823749025662,0.0934163033962249,0.1079780384898185,human,UP
EIF6,,,0.0544374883174896,,0.0544374883174896,0.0544374883174896,,human,UP
