gene_symbol,logfc_dz:109,logfc_dz:505,logfc_dz:481,logfc_dz:506,logfc_dz:507,mean_logfc,median_logfc,common_experiment,organism,signature_type
PI3,,-0.035299863666296,,-0.0343528315424919,,-0.0348263476043939,-0.0348263476043939,,human,DOWN
TXLNGY,,,,,-0.034408189356327,-0.034408189356327,-0.034408189356327,,human,DOWN
YPEL5,,,-0.0343474447727203,,,-0.0343474447727203,-0.0343474447727203,,human,DOWN
SCGB1C1,,,-0.0334983877837657,,,-0.0334983877837657,-0.0334983877837657,,human,DOWN
SH3KBP1,,-0.0518029481172561,,-0.0309128835797309,-0.0176123827695846,-0.0334427381555239,-0.0309128835797309,,human,DOWN
SLC9A3R1,,,,-0.0334264263510704,,-0.0334264263510704,-0.0334264263510704,,human,DOWN
DPEP2,,,,,-0.0330983996391296,-0.0330983996391296,-0.0330983996391296,,human,DOWN
MALAT1,,,,,-0.0323303937911987,-0.0323303937911987,-0.0323303937911987,,human,DOWN
FRG1B,,-0.024035619571805,,-0.0249267891049385,-0.0479822941124439,-0.0323149009297291,-0.0249267891049385,,human,DOWN
MEA1,,,-0.0323130190372467,,,-0.0323130190372467,-0.0323130190372467,,human,DOWN
LOC200772,,,,-0.0172120612114667,-0.0469812452793121,-0.0320966532453894,-0.0320966532453894,,human,DOWN
C5AR1,,-0.0332089215517044,,-0.0303136091679334,,-0.0317612653598189,-0.0317612653598189,,human,DOWN
RASGRP1,,,-0.0311400759965181,,,-0.0311400759965181,-0.0311400759965181,,human,DOWN
LRBA,,,-0.0307170506566762,,,-0.0307170506566762,-0.0307170506566762,,human,DOWN
JAM3,,,-0.0306901130825281,,,-0.0306901130825281,-0.0306901130825281,,human,DOWN
MYOM2,,,-0.030658645555377,,,-0.030658645555377,-0.030658645555377,,human,DOWN
LOC100288778,,,,,-0.0305259115993976,-0.0305259115993976,-0.0305259115993976,,human,DOWN
RGS19,,-0.0388785377144813,,-0.0220772381871938,,-0.0304778879508376,-0.0304778879508376,,human,DOWN
DDX3Y,,,,,-0.030451875180006,-0.030451875180006,-0.030451875180006,,human,DOWN
PF4,,-0.0259241722524166,-0.0349175781011581,,,-0.0304208751767873,-0.0304208751767873,,human,DOWN
LEFTY1,,,-0.0302477087825536,,,-0.0302477087825536,-0.0302477087825536,,human,DOWN
BCL2A1,,,,,-0.0302401818335056,-0.0302401818335056,-0.0302401818335056,,human,DOWN
NELL2,,,-0.0293173193931579,,,-0.0293173193931579,-0.0293173193931579,,human,DOWN
C16orf54,,,-0.0379591919481754,-0.0203348901122808,,-0.0291470410302281,-0.0291470410302281,,human,DOWN
NACAP1,,,,-0.0168785788118839,-0.0413442142307758,-0.0291113965213298,-0.0291113965213298,,human,DOWN
WASH1,,,,,-0.0290592331439256,-0.0290592331439256,-0.0290592331439256,,human,DOWN
RAB24,,,,,-0.0289149712771177,-0.0289149712771177,-0.0289149712771177,,human,DOWN
LOC100129973,,,-0.0288743861019611,,,-0.0288743861019611,-0.0288743861019611,,human,DOWN
CD3G,,,-0.0288624465465545,,,-0.0288624465465545,-0.0288624465465545,,human,DOWN
MNDA,,-0.0273093935102224,,-0.0300369262695312,,-0.0286731598898768,-0.0286731598898768,,human,DOWN
NFKBIZ,,,,,-0.0286398213356733,-0.0286398213356733,-0.0286398213356733,,human,DOWN
DENND4B,,,,,-0.028598915785551,-0.028598915785551,-0.028598915785551,,human,DOWN
MSRB1,,-0.0268372967839241,,-0.0294472984969615,,-0.0281422976404428,-0.0281422976404428,,human,DOWN
CD8A,,,-0.028127271682024,,,-0.028127271682024,-0.028127271682024,,human,DOWN
ZNF385D,,,-0.028068309649825,,,-0.028068309649825,-0.028068309649825,,human,DOWN
MMP9,,-0.031299103051424,,-0.025995809584856,-0.0267517063766717,-0.0280155396709839,-0.0267517063766717,,human,DOWN
LINC01002,,-0.0197138022631406,,-0.0273851789534091,-0.0369395092129707,-0.0280128301431735,-0.0273851789534091,,human,DOWN
BASP1,,-0.0365886613726615,,-0.0309086330235004,-0.0161377023905515,-0.0278783322622378,-0.0309086330235004,,human,DOWN
FAM129A,,-0.0324159637093544,,-0.0233345907181501,,-0.0278752772137522,-0.0278752772137522,,human,DOWN
CAMP,,-0.0223552603274583,,-0.0197552442550659,-0.0414207093417644,-0.0278437379747629,-0.0223552603274583,,human,DOWN
RPA1,,,-0.0277101136744022,,,-0.0277101136744022,-0.0277101136744022,,human,DOWN
COX3,,-0.0313230231404304,-0.0279299411922693,-0.0237385537475347,,-0.0276638393600781,-0.0279299411922693,,human,DOWN
RNPC3,,,,,-0.027520740404725,-0.027520740404725,-0.027520740404725,,human,DOWN
HNRNPU-AS1,,,,,-0.027461189776659,-0.027461189776659,-0.027461189776659,,human,DOWN
DENND2D,,,-0.0274590570479631,,,-0.0274590570479631,-0.0274590570479631,,human,DOWN
SYTL1,,,,,-0.0274185519665479,-0.0274185519665479,-0.0274185519665479,,human,DOWN
NEAT1,,,,,-0.0273605026304721,-0.0273605026304721,-0.0273605026304721,,human,DOWN
ITGB3BP,,,-0.0272821448743343,,,-0.0272821448743343,-0.0272821448743343,,human,DOWN
LILRA3,,-0.0285066552460193,,-0.0259591117501258,,-0.0272328834980726,-0.0272328834980726,,human,DOWN
CDK5RAP3,,,,,-0.0271312687546014,-0.0271312687546014,-0.0271312687546014,,human,DOWN
CXCR1,,-0.0291232783347368,-0.0181722957640886,-0.0339642353355884,,-0.0270866031448046,-0.0291232783347368,,human,DOWN
TCIRG1,,,,-0.0195612609386444,-0.0343992672860622,-0.0269802641123533,-0.0269802641123533,,human,DOWN
ENO2,,,-0.0269670635461807,,,-0.0269670635461807,-0.0269670635461807,,human,DOWN
MIR21,,,,,-0.0269314646720886,-0.0269314646720886,-0.0269314646720886,,human,DOWN
NSUN5P1,,,,,-0.0267283823341131,-0.0267283823341131,-0.0267283823341131,,human,DOWN
TCN1,,-0.0220212750136852,,-0.0284638423472642,-0.0292588807642459,-0.0265813327083985,-0.0284638423472642,,human,DOWN
ATHL1,,,,,-0.0265063624829053,-0.0265063624829053,-0.0265063624829053,,human,DOWN
NLRC5,,,-0.0273000709712505,,-0.0256653148680925,-0.0264826929196715,-0.0264826929196715,,human,DOWN
SDHAP2,,,,,-0.0264389496296644,-0.0264389496296644,-0.0264389496296644,,human,DOWN
INAFM2,,,-0.0261657051742076,,,-0.0261657051742076,-0.0261657051742076,,human,DOWN
CSF1R,,-0.0261560529470443,,,,-0.0261560529470443,-0.0261560529470443,,human,DOWN
GIMAP4,,,-0.0259620398283004,,,-0.0259620398283004,-0.0259620398283004,,human,DOWN
