"","name","DrugBank.ID","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal","Drug description","ATC Code","Drug class"
"92","Estriol","DB04573",NA,-0.38056633855833,-0.293953766577578,-0.365223483910343,NA,-0.277817054755274,"Estrogens, combinations with other drugs","G03CC06","Sex hormones and modulators of the genital system"
"93","Estrone","DB00655",-0.36584929234021,NA,-0.3693613848122,NA,-0.373412498315234,-0.38516059865931,"Estrogens, combinations with other drugs","G03CC04","Sex hormones and modulators of the genital system"
"94","Ethotoin","DB00754",-0.513538519293759,-0.489905393304325,-0.554062744064558,-0.483387124729909,-0.472054846075906,-0.497944172416601,"Hydantoin derivatives","N03AB01","Antiepileptics"
"95","Etidronic acid","DB01077",-0.384095894871124,-0.354873790903419,-0.407789404474877,-0.365206950998177,-0.42254719964265,-0.400697761484653,"Bisphosphonates, combinations","M05BB01","Drugs for treatment of bone diseases"
"96","Etofenamate","DB08984",-0.395277943265411,-0.411097837677304,-0.369634083860968,-0.418996726699508,NA,-0.438101985946247,"Antiinflammatory preparations, non-steroids for topical use","M02AA06","Topical products for joint and muscular pain"
"97","Etomidate","DB00292",-0.475775707026808,-0.457785251554038,-0.453020220974103,-0.443014617687752,-0.482647305242848,-0.419108483778072,"Other general anesthetics","N01AX07","Anesthetics"
"98","Etoposide","DB00773",-0.326735970971257,-0.274162088956306,-0.347474653237959,-0.271370355818526,-0.400855164957787,NA,"Podophyllotoxin derivatives","L01CB01","Antineoplastic agents"
"99","Felodipine","DB01023",-0.493675538263638,-0.458166437993123,-0.496942676945104,-0.4691253808513,-0.487163841642477,-0.478645108244001,"Beta blocking agents and calcium channel blockers","C07FB02","Beta blocking agents"
"100","Fenbufen","DB08981",-0.571290840488763,-0.562509124014194,-0.611771895590121,-0.549150943110789,-0.570305014767808,-0.540447745816383,"Propionic acid derivatives","M01AE05","Antiinflammatory and antirheumatic products"
"101","Fenoprofen","DB00573",-0.76546132933809,-0.800704518810505,-0.791857528683698,-0.769272945196746,-0.69949502235087,-0.804052118799905,"Propionic acid derivatives","M01AE04","Antiinflammatory and antirheumatic products"
"102","Flecainide","DB01195",-0.263427918582548,-0.237228671453196,-0.259281702784204,-0.302940870093669,NA,-0.272559887124857,"Antiarrhythmics, class Ic","C01BC04","Cardiac therapy"
"103","Flucytosine","DB01099",-0.443856461524502,-0.419957479409322,-0.45123821404087,-0.407323842361168,-0.466680747649976,-0.477538095959855,"Other antimycotics for systemic use","J02AX01","Antimycotics for systemic use"
"104","Flufenamic acid","DB02266",-0.322920580032899,-0.37377306897311,-0.366929720113492,-0.324841143567487,-0.425708638762205,-0.305705346191354,"Fenamates","M01AG03","Antiinflammatory and antirheumatic products"
"105","Flumetasone","DB00663",-0.75114489271406,-0.654749227457355,-0.799507700905228,-0.650971746225633,-0.785449700818577,-0.703727220032217,NA,NA," "
"106","Flunisolide","DB00180",-0.653072376557973,-0.644983692241514,-0.699141486173505,-0.601656986808681,-0.643973891761304,-0.640977407726851,"Corticosteroids","R01AD04","Nasal preparations"
"107","Fluocinonide","DB01047",-0.435611208442018,-0.425973913242886,-0.444415050164848,-0.422426387478729,-0.407861279492017,-0.409843445016665,"Corticosteroids","C05AA11","Vasoprotectives"
"108","Fluorometholone","DB00324",-0.501551438004272,-0.500812689093492,-0.541881163245471,-0.471431451952764,-0.52041118193707,-0.50396824274928,"Corticosteroids, moderately potent, other combinations","D07XB04","Corticosteroids, dermatological preparations"
"109","Fluphenazine","DB00623",-0.401662367181633,-0.376675786984714,-0.429647913328544,-0.377882832007891,-0.499757565944862,-0.305074050282556,"Phenothiazines with piperazine structure","N05AB02","Psycholeptics"
"110","Fluspirilene","DB04842",-0.434712836416057,-0.385274760980605,-0.466565875589793,-0.36644886445908,-0.550747052861676,-0.335483705710556,"Diphenylbutylpiperidine derivatives","N05AG01","Psycholeptics"
"111","Fluvastatin","DB01095",-0.354973470199703,-0.369305548121558,-0.378426937434514,-0.373126972333198,NA,-0.352066967912908,"HMG CoA reductase inhibitors","C10AA04","Lipid modifying agents"
"112","Fluvoxamine","DB00176",-0.410862857992177,-0.445507523077763,-0.404171622367526,-0.438524365190202,-0.422007895111172,-0.404185497449584,"Selective serotonin reuptake inhibitors","N06AB08","Psychoanaleptics"
"113","Fulvestrant","DB00947",-0.467484776620436,-0.47349608299774,-0.467321837160381,-0.451022706496073,-0.51848046525521,-0.456250284950339,"Anti-estrogens","L02BA03","Endocrine therapy"
"114","Galantamine","DB00674",-0.506331527180095,-0.530040204672123,-0.555710587461312,-0.527411568370399,-0.516327804430213,-0.557587196144527,"Anticholinesterases","N06DA04","Psychoanaleptics"
"115","Ganciclovir","DB01004",-0.418618183283838,-0.37648758946903,-0.442324428073276,-0.366023439131004,-0.393941918886359,-0.416768930577912,"Nucleosides and nucleotides excl. reverse transcriptase inhibitors","J05AB06","Antivirals for systemic use"
"116","Geldanamycin","DB02424",NA,NA,-0.337849605404839,NA,-0.370279946024333,-0.326700384270021,NA,NA," "
"117","Genistein","DB01645",-0.392575248515436,-0.421027114354642,-0.415009643855134,-0.429108493508076,-0.424242192625842,-0.39538806680534,NA,NA," "
"118","Ginkgolide A","DB06743",-0.564382940754697,-0.622749252668367,-0.575730546069789,-0.5927704924906,-0.538260012461885,-0.569297290591955,NA,NA," "
"119","Glibenclamide","DB01016",-0.398158283457801,-0.380740321993408,-0.411263297908287,-0.389967850509624,-0.393624558498017,-0.383263343571902,NA,NA," "
"120","Gliclazide","DB01120",-0.467517417944024,-0.475849580716651,-0.449808383448577,-0.470902939054715,-0.490766047117755,-0.459488131908284,"Sulfonylureas","A10BB09","Drugs used in diabetes"
"121","Glipizide","DB01067",-0.379860084369268,-0.3747274499016,-0.369940708153588,-0.357658650041257,NA,-0.393643169644307,"Sulfonylureas","A10BB07","Drugs used in diabetes"
"122","Griseofulvin","DB00400",-0.45615048758747,-0.433489001036903,-0.495808401332919,-0.425727891174105,-0.464610046472986,-0.457287644654205,"Antifungals for systemic use","D01BA01","Antifungals for dermatological use"
"123","Guanfacine","DB01018",-0.380829299016285,-0.380109887983351,-0.395015621011339,-0.37798278588863,NA,-0.372066916042308,"Imidazoline receptor agonists","C02AC02","Antihypertensives"
"124","Haloperidol","DB00502",-0.486248148785312,-0.467146897265524,-0.475017997512828,-0.445110083261042,-0.433315455795401,-0.472378767050995,"Butyrophenone derivatives","N05AD01","Psycholeptics"
"125","Hesperetin","DB01094",-0.532406880873129,-0.505527129729756,-0.498043131378601,-0.524827031160109,-0.512783587917799,-0.542639357100698,NA,NA," "
"126","Hexestrol","DB07931",-0.500319022747513,-0.42458268490259,-0.482760320677005,-0.396647795373983,-0.494921264911524,-0.489357381802922,NA,NA," "
"127","Hydralazine","DB01275",-0.429606180035855,-0.48063040472685,-0.476625884841632,-0.46180000406299,-0.437971869037382,-0.436015311377737,"Hydrazinophthalazine derivatives","C02DB02","Antihypertensives"
"128","Hydroflumethiazide","DB00774",-0.304629087128246,-0.399002254186464,-0.346048974102435,-0.406407184231103,NA,-0.33575517408872,"Thiazides, plain","C03AA02","Diuretics"
"129","Hyoscyamine","DB00424",-0.350158395957458,NA,-0.377638711946104,-0.357957214984481,NA,-0.343993024768397,"Belladonna alkaloids, tertiary amines","A03BA03","Drugs for functional gastrointestinal disorders"
"130","Ifenprodil","DB08954",-0.484729574503582,-0.455048607079725,-0.502349849656932,-0.457839453104233,-0.42195701123163,-0.416903617786418,"Other peripheral vasodilators","C04AX28","Peripheral vasodilators"
"131","Imipenem","DB01598",-0.369038048560709,-0.398523794020622,-0.372864939295432,-0.39866556706592,-0.378940432560343,-0.405907374389443,"Carbapenems","J01DH51","Antibacterials for systemic use"
"132","Imipramine","DB00458",-0.327940090237863,-0.351762899023637,-0.350742796212207,-0.34255329540921,NA,-0.28886490227831,"Non-selective monoamine reuptake inhibitors","N06AA02","Psychoanaleptics"
"133","Indapamide","DB00808",-0.378100925740784,-0.451272979228943,-0.388928912681787,-0.438671000234702,-0.371110989583087,-0.463894679001157,"Sulfonamides, plain","C03BA11","Diuretics"
"134","Indometacin","DB00328",-0.448857888983642,-0.423986976087341,-0.426972529251832,-0.411607487485774,-0.476339821350933,-0.431906208573789,NA,NA," "
"135","Iopanoic acid","DB08946",-0.590082919226478,-0.586274463392863,-0.583531031750339,-0.58172380570781,-0.46289603483242,-0.562807706103264,"Watersoluble, hepatotropic X-ray contrast media","V08AC06","Contrast media"
"136","Ioversol","DB09134",-0.384785126341083,-0.430338122135874,-0.392561989890679,-0.426021485437854,-0.427252881972509,-0.446110230225121,"Watersoluble, nephrotropic, low osmolar X-ray contrast media","V08AB07","Contrast media"
"137","Ipratropium bromide","DB00332",-0.508835209080337,-0.60327165554787,-0.508870857848082,-0.585206090854512,-0.465251908217251,-0.513178217675698,NA,NA," "
"138","Irinotecan","DB00762",-0.711365024568584,-0.739789182006843,-0.677365806996973,-0.696120319835129,-0.65049553291211,-0.662208098213178,"Other antineoplastic agents","L01XX19","Antineoplastic agents"
"139","Isoconazole","DB08943",-0.579699060682616,-0.558523833827483,-0.627449295381828,-0.585834665691549,-0.620963684699081,-0.475806175349791,"Imidazole derivatives","G01AF07","Gynecological antiinfectives and antiseptics"
"140","Ivermectin","DB00602",-0.411913504872043,-0.343778949607497,-0.340090398485265,-0.345954536868826,-0.432295696917528,-0.346720019194659,"Avermectines","P02CF01","Anthelmintics"
"141","Labetalol","DB00598",-0.484956660944513,-0.437747192706212,-0.497010169399085,-0.455037826870802,NA,-0.415170960061974,"Alpha and beta blocking agents and thiazides","C07BG01","Beta blocking agents"
"142","Latamoxef","DB04570",-0.491933179310082,-0.486258907546515,-0.525001258259346,-0.469642115400159,-0.447125333526247,-0.405552549222966,"Third-generation cephalosporins","J01DD06","Antibacterials for systemic use"
"143","Letrozole","DB01006",NA,NA,NA,-0.395348394924374,NA,-0.38532845824018,"Aromatase inhibitors","L02BG04","Endocrine therapy"
"144","Levamisole","DB00848",-0.411334771467624,-0.419275242146036,-0.458578561965951,-0.393552358760304,-0.379304873096753,-0.396029816943146,"Imidazothiazole derivatives","P02CE01","Anthelmintics"
