"","pathway","unstratified","InII","IIInIV","PE","ESE","MSE","adipiodone","bepridil","cloperastine","cycloserine","fenoprofen","flumetasone","flunisolide","iopanoic acid","irinotecan","levonorgestrel","medrysone","metolazone","primaquine","procyclidine","promazine","scopolamine","sertaconazole","sulfamethoxazole","trifluoperazine","zuclopenthixol"
"1","TNFA_SIGNALING_VIA_NFKB",-3.72258506654573,-3.63900522371732,-3.37992745721908,-3.38714279162427,-2.96198662943482,-3.60085983693487,-0.706002323083236,0.775323776375119,1.0533377456649,-1.00669215438675,0.945473777030636,-0.815461955786424,-1.08457440556623,1.25710176220078,1.83985564279415,0.971933339383211,0.977499984884167,-0.99745968750231,2.25755552323375,-1.02662848353141,-0.806328464817375,0.899278149477471,-0.996555220787393,0.933312571160685,1.71454068577808,-0.847679334087549
"2","HYPOXIA",-1.76294538633653,-1.49202856031413,-1.88457336120497,-1.45515508649162,-1.53310276274292,-1.33766499670141,-0.824304419110766,1.04359968793631,-0.980871169159042,0.940218052275263,0.925432231361769,-0.755478484809231,1.24839090277351,0.932898426928123,1.40732885911759,1.05397405707113,1.1352396813191,0.916761322844891,1.54582459578317,-1.01334695260019,-0.810730819932975,1.00578670647342,-1.20917503665416,0.963972211569844,1.0590361424917,0.919701740395039
"3","CHOLESTEROL_HOMEOSTASIS",1.4185072743063,0.708291050235296,1.55350266570786,0.832722873356894,0.933765768632719,0.806928094994679,-0.579649752140986,1.12575563873065,1.03178194280531,-0.784372264386445,-0.449081831717292,-0.703986204541559,-0.865893841616642,-0.666457199821257,1.22226718388384,0.724684976898242,0.635271280725604,-1.01906984040354,0.675399612777443,-0.941297698718781,-0.636206202951754,-0.831485634546135,-0.721066678980949,-0.803730443065981,1.60714218870843,0.646259563933103
"4","MITOTIC_SPINDLE",2.32477804501953,2.64852106461401,2.25946303086805,2.71599225144551,1.44301921973634,-1.36956012560838,0.64239087262188,0.494522204388122,-0.558682044367147,-0.602571394387455,0.574588355240637,-0.761835990861332,0.706069829848577,0.868572512794081,-2.50831320127569,0.511155722565535,0.504690418942523,-0.591999430007617,-0.927518491101481,-0.744341723421455,-0.457361848458006,-0.509733696396407,0.47302212282073,0.446064432948409,0.40362820960443,0.710443012785392
"5","WNT_BETA_CATENIN_SIGNALING",1.00878850726666,0.458547807953069,1.26746981042813,0.679828581973698,0.933765768632719,1.49385286805037,-1.72768773713767,1.12126905343414,-1.2731249213245,-0.836044266820491,0.891848916244,-1.23234960814921,-1.04447547941757,1.03932952215595,0.718106924734218,1.0047688535125,0.766402598100629,-1.13068581746904,-0.958920797676914,1.22609786074884,-0.838241020021101,0.67099908856773,-0.775168323630893,-0.841708780583021,0.646968420270968,0.866153830704148
"6","TGF_BETA_SIGNALING",-1.26840390290594,-1.16328780863809,-1.28823108756164,-1.18394047500335,-0.814911873941375,-1.11148090213776,0.527978597282135,1.18964501729163,-0.546881430520329,-0.706289864551968,-1.40451400031214,0.424251346973974,0.794331096425322,0.84937761959941,-1.31962007790983,0.661641429146115,0.764812714128146,-0.772238690436343,0.826509844584144,-0.798704766512317,0.501613202646508,-0.538787065007379,-0.68373400004483,0.619100673116411,0.994185314218694,0.666618014062005
"7","IL6_JAK_STAT3_SIGNALING",-1.50613968966586,-1.94615541914029,-1.47436887796572,-1.58951158283763,-0.872984979198116,-1.96603803051164,-0.866568922949056,0.835461026070932,-0.800686312018659,1.02069873508633,0.963577873954932,0.943377540518223,1.15910562244211,-1.00885618111558,1.02069513349597,1.00681392720451,1.17772665425375,1.0480083761431,1.45850564693959,0.732510033635123,-1.20513056125979,0.92583999776446,0.926873397658875,-0.937655108013452,1.0072813832377,1.0108354923782
"8","DNA_REPAIR",0.88485071606436,0.838969892994788,1.1158076547839,1.09767329184218,1.31264206454246,-1.06444326312569,-0.526582576162262,-0.679104349815685,-0.362591843622937,-0.420793861536026,-0.400954624710952,-0.485726773376788,-0.850757367173596,-0.714871514737001,0.989991498088395,NA,NA,-1.18866015650576,0.671922100903173,0.757972575798573,-0.846031439596485,0.707511935822889,-0.387794095673088,-0.385237036875536,-1.05357739910914,-0.521667066783461
"9","G2M_CHECKPOINT",2.64469467571911,2.69019962944876,2.37258786975109,2.95586132676909,1.57544026649558,-0.960100153753007,0.334914786792348,-0.543884827187024,-0.894150453836157,-0.695187318105471,0.43979354247985,-0.319745835562487,-0.427849966794915,-1.00614423531445,-2.57006231698784,NA,NA,-0.596730031357454,-0.99790843627275,0.462865355252273,-0.504767921625761,-0.245846117134496,0.551749823707367,0.397884128320424,-1.23530950312646,-0.37030874160523
"10","APOPTOSIS",1.32044295985831,1.30754809022929,1.52919163938907,1.59878231228106,1.18571283210868,-1.52139271141181,-0.556986043522512,-0.992717862425377,1.11775380135252,1.08843661711955,0.801081085109366,-0.656382739561442,0.637492528467548,0.753880350348142,1.48308295157727,0.88990117579381,0.909275106396206,-0.901232865231297,1.66484885418377,-0.904016525378759,-0.812200751660179,0.884628463788281,-0.618448730551068,0.828039856778854,1.40715679441692,0.835717749702343
