"","p","q","analysis_id","name","duration","DrugBank.ID","valid","unstratified_reversal","InII_reversal","IIInIV_reversal","PE_reversal","ESE_reversal","MSE_reversal"
"175",0,0,"cmap","moxisylyte",6,"DB09205",1,-0.374763196435485,-0.332463320358384,-0.361116708123875,-0.320366019224859,-0.468084396332744,-0.377702581615221
"176",0,0,"cmap","mycophenolic acid",6,"DB01024",1,-0.302837167422892,-0.303503710386922,-0.272529040976296,-0.263773428649354,NA,-0.289139225653455
"177",0,0,"cmap","nalbuphine",6,"DB00844",1,NA,-0.295848632272435,NA,-0.281231967779623,NA,-0.279479254914904
"178",0,0,"cmap","nalidixic acid",6,"DB00779",1,-0.365600650308231,-0.38393043009829,-0.359060536557464,-0.386518739245503,NA,-0.401156332301359
"179",0,0,"cmap","naloxone",6,"DB01183",1,-0.465070071409909,-0.474134189551458,-0.488956573698242,-0.47511440126869,-0.496177142214917,-0.539184048605373
"180",0,0,"cmap","naproxen",6,"DB00788",1,-0.446044559307232,-0.455950655712654,-0.439098080890433,-0.42288790426212,-0.438571028513202,-0.398637740972134
"181",0,0,"cmap","natamycin",6,"DB00826",1,-0.442506636726977,-0.443716554640809,-0.475083611838351,-0.408066094476624,-0.505459072351709,-0.425995304491275
"182",0,0,"cmap","neomycin",6,"DB00994",1,-0.424058763141554,-0.385025614928566,-0.437747917137577,-0.361032228589014,-0.397662542416989,-0.375073862059704
"183",0,0,"cmap","nialamide",6,"DB04820",1,-0.35065862253067,-0.363910315794433,-0.370438669879991,-0.335735684335055,-0.423085894141722,-0.371296382843105
"184",0,0,"cmap","niclosamide",6,"DB06803",1,-0.469745154063626,-0.450078659014839,-0.471346035859414,-0.436127741275701,-0.537792835291394,-0.40462289277816
"185",0,0,"cmap","nicotinic acid",6,"DB00627",1,-0.315898264590158,NA,-0.339518877553525,-0.319638679147827,NA,-0.336452881499775
"186",0,0,"cmap","nifedipine",6,"DB01115",1,-0.389639890243036,-0.401436140602671,-0.420806583971085,-0.382941362839287,-0.513647465573718,-0.403891585190243
"187",0,0,"cmap","nitrendipine",6,"DB01054",1,-0.397251853746615,NA,-0.375739424810573,-0.373192671748862,NA,-0.390676886750317
"188",0,0,"cmap","nocodazole",6,"DB08313",1,-0.565598693197425,-0.573244741277038,-0.593134494733779,-0.54757966810557,-0.600607836289694,-0.546963477003847
"189",0,0,"cmap","nomifensine",6,"DB04821",1,-0.381257981556352,-0.415782599038734,-0.424966607532628,-0.406537934712935,-0.450550629603681,-0.398806828891534
"190",0,0,"cmap","nortriptyline",6,"DB00540",1,-0.420887627761357,-0.468819982202272,-0.452486355526838,-0.419248178245973,-0.413017381043322,-0.358853240105198
"191",0,0,"cmap","omeprazole",6,"DB00338",1,-0.397996907354343,-0.42439599444263,-0.378089228629277,-0.41713369442078,NA,-0.488778429916129
"192",0,0,"cmap","orlistat",6,"DB01083",1,NA,NA,NA,NA,NA,-0.331602948702744
"193",0,0,"cmap","ouabain",6,"DB01092",1,-0.563315887674978,-0.433747276643782,-0.513740048344265,-0.450059907493494,-0.565117765679519,-0.460685491606631
"194",0,0,"cmap","oxaprozin",6,"DB00991",1,-0.430664935923782,-0.459144555764197,-0.415441457302607,-0.439959594859367,-0.502333948102462,-0.450556605415978
"195",0,0,"cmap","oxprenolol",6,"DB01580",1,-0.39452089722171,-0.440730230782592,-0.397615525632641,-0.434919217813878,NA,-0.456197822990034
"196",0,0,"cmap","oxybuprocaine",6,"DB00892",1,-0.466868851267653,-0.396976655475191,-0.457271795864721,-0.363205063868909,-0.472470134607598,-0.442472631396455
"197",0,0,"cmap","oxybutynin",6,"DB01062",1,-0.4037579812142,-0.353756293355323,-0.422309934124843,-0.367783383839759,-0.48208697253548,-0.395970922338629
"198",0,0,"cmap","oxyphenbutazone",6,"DB03585",1,NA,NA,NA,NA,-0.362666239213371,NA
"199",0,0,"cmap","oxytetracycline",6,"DB00595",1,NA,NA,NA,NA,NA,-0.318737245271782
"200",0,0,"cmap","papaverine",6,"DB01113",1,-0.370805812318001,-0.432285020795782,-0.398621337753883,-0.437197626003483,-0.464115597265505,-0.396834224025078
"201",0,0,"cmap","paracetamol",6,"DB00316",1,-0.400169522748265,-0.352434779925811,-0.412493239140186,-0.353218320454951,-0.396182209072316,-0.434613296461281
"202",0,0,"cmap","pargyline",6,"DB01626",1,-0.450403972305377,-0.433527696908891,-0.391710751705875,-0.450115665550209,-0.38237724748498,-0.374314676527768
"203",0,0,"cmap","paroxetine",6,"DB00715",1,-0.368473600012263,NA,-0.410079134199233,-0.271680050761443,-0.500293461471717,-0.43209757681842
"204",0,0,"cmap","pentamidine",6,"DB00738",1,-0.341613451728957,-0.404378090677816,-0.347415416620417,-0.422728086111187,NA,-0.404801677228614
"205",0,0,"cmap","pentolonium",6,"DB01090",1,-0.425174726883818,-0.429491996137145,-0.455549828337448,-0.448990563056959,-0.50634121509556,-0.452249850051742
"206",0,0,"cmap","perhexiline",6,"DB01074",1,-0.362286546615026,-0.2822583583491,-0.376207371170045,-0.289559368715062,-0.446609066689173,-0.268846541866159
"207",0,0,"cmap","phenformin",6,"DB00914",1,-0.323650219682267,-0.335783632930435,-0.341077689484845,-0.310041701839627,-0.43469043295507,-0.324301319514516
"208",0,0,"cmap","phenindione",6,"DB00498",1,NA,NA,NA,NA,-0.365802810541303,-0.344089108879572
"209",0,0,"cmap","phenoxybenzamine",6,"DB00925",1,-0.375697853706378,-0.380016807989459,-0.383031588086429,-0.343260536651845,-0.500118561592388,-0.330846101353254
"210",0,0,"cmap","phentolamine",6,"DB00692",1,-0.471322732498947,-0.455627881266417,-0.476157804684091,-0.438464608978257,-0.4861183178665,-0.478971246031422
"211",0,0,"cmap","pimozide",6,"DB01100",1,-0.443146341660361,-0.414589724397056,-0.436661020908458,-0.3826159994502,-0.535384606772393,-0.355028685704554
"212",0,0,"cmap","pioglitazone",6,"DB01132",1,-0.422304736796653,-0.410686798952243,-0.391071670182248,-0.365191066435508,-0.47825370831523,-0.301849419090059
"213",0,0,"cmap","piracetam",6,"DB09210",1,-0.465826244965401,-0.524442808111745,-0.473642108603363,-0.498206016942669,-0.431400133460737,-0.504501307179727
"214",0,0,"cmap","pivampicillin",6,"DB01604",1,-0.477479933113343,-0.512675521125214,-0.47717238553437,-0.497914043552661,-0.463361166600137,-0.495395168582515
"215",0,0,"cmap","pramocaine",6,"DB09345",1,-0.451581951140934,-0.394958956652796,-0.479810219430643,-0.403560281591153,-0.506589031789578,-0.427359714891768
"216",0,0,"cmap","prazosin",6,"DB00457",1,-0.364455398334321,-0.434111224881903,-0.348611288899426,-0.411595925253083,NA,-0.399802615344351
"217",0,0,"cmap","prenylamine",6,"DB04825",1,-0.402066175253935,-0.312900038397892,-0.414261375673544,-0.309696239616143,-0.51491949079375,-0.315592252473244
"218",0,0,"cmap","prilocaine",6,"DB00750",1,NA,NA,NA,NA,NA,-0.288283187742451
"219",0,0,"cmap","primaquine",6,"DB01087",1,-0.702125459972362,-0.648564711155484,-0.781197790645997,-0.634175171931481,-0.719220779053009,-0.594892077614915
"220",0,0,"cmap","procainamide",6,"DB01035",1,-0.370102347314906,-0.336662243558204,-0.369692922800915,-0.349892719769948,-0.407108212428499,-0.336260784485456
"221",0,0,"cmap","procaine",6,"DB00721",1,-0.45068681245363,-0.486873300135155,-0.448867083057657,-0.451277399790021,-0.454920255846156,-0.436625509682189
"222",0,0,"cmap","prochlorperazine",6,"DB00433",1,-0.396015127371645,-0.393976353460652,-0.420253200110992,-0.381354851620895,-0.464050359682284,-0.362836617342566
"223",0,0,"cmap","procyclidine",6,"DB00387",1,-0.589255543790081,-0.711668301450368,-0.582407761029373,-0.699176531304259,-0.419293394439921,-0.55673582569741
"224",0,0,"cmap","progesterone",6,"DB00396",1,-0.381061021620053,-0.391441236938949,-0.408340023174866,NA,-0.373518464532644,-0.398996655593562
"225",0,0,"cmap","promazine",6,"DB00420",1,-0.715729518527475,-0.652358476579194,-0.756442490404579,-0.61465855538223,-0.717356089408072,-0.71402219506029
"226",0,0,"cmap","promethazine",6,"DB01069",1,-0.44181750790269,-0.431643178059323,-0.408755837842062,-0.422559515242048,-0.459168342102729,-0.430145791399939
"227",0,0,"cmap","propafenone",6,"DB01182",1,-0.375732992741309,-0.36659658399997,-0.389403131445203,NA,-0.365034707973181,-0.415497447213796
"228",0,0,"cmap","propylthiouracil",6,"DB00550",1,-0.436001313317154,-0.485752735571376,-0.442139407642794,-0.483610265015018,-0.430704911823045,-0.447458204365715
"229",0,0,"cmap","protriptyline",6,"DB00344",1,-0.376180168609886,-0.407410112354779,-0.390961061300361,-0.3729602384543,-0.450247874108832,-0.360431165004182
