"","x"
"1","fenoprofen"
"2","flumetasone"
"3","promazine"
"4","irinotecan"
"5","primaquine"
"6","scopolamine"
"7","zuclopenthixol"
"8","levonorgestrel"
"9","flunisolide"
"10","cloperastine"
"11","cycloserine"
"12","bepridil"
"13","trifluoperazine"
"14","medrysone"
"15","metolazone"
"16","iopanoic acid"
"17","procyclidine"
"18","sulfamethoxazole"
"19","sertaconazole"
"20","adipiodone"
"21","camptothecin"
"22","isoconazole"
"23","simvastatin"
"24","fenbufen"
"25","sulfadiazine"
"26","pyrvinium"
"27","nocodazole"
"28","ginkgolide A"
"29","ouabain"
"30","tretinoin"
"31","apomorphine"
"32","remoxipride"
"33","valproic acid"
"34","thiocolchicoside"
"35","hesperetin"
"36","demeclocycline"
"37","methyldopa"
"38","clomipramine"
"39","miconazole"
"40","resveratrol"
"41","mesalazine"
"42","menadione"
"43","daunorubicin"
"44","ethotoin"
"45","zomepirac"
"46","ipratropium bromide"
"47","rimexolone"
"48","galantamine"
"49","terfenadine"
"50","methazolamide"
"51","canrenoic acid"
"52","azacitidine"
"53","fluorometholone"
"54","hexestrol"
"55","diltiazem"
"56","felodipine"
"57","sulfamerazine"
"58","latamoxef"
"59","mefenamic acid"
"60","trimipramine"
"61","saquinavir"
"62","haloperidol"
"63","chlorpropamide"
"64","labetalol"
"65","ifenprodil"
"66","acetylsalicylic acid"
"67","chlorprothixene"
"68","pivampicillin"
"69","thioridazine"
"70","etomidate"
"71","tobramycin"
"72","sotalol"
"73","thalidomide"
"74","trazodone"
"75","cyproheptadine"
"76","phentolamine"
"77","niclosamide"
"78","8-azaguanine"
"79","sirolimus"
"80","gliclazide"
"81","fulvestrant"
"82","oxybuprocaine"
"83","metaraminol"
"84","mitoxantrone"
"85","piracetam"
"86","naloxone"
"87","methotrexate"
"88","disopyramide"
"89","chlorcyclizine"
"90","monobenzone"
"91","cefazolin"
"92","diethylcarbamazine"
"93","alsterpaullone"
"94","sulconazole"
"95","griseofulvin"
"96","dipyridamole"
"97","clioquinol"
"98","dacarbazine"
"99","tetryzoline"
"100","cefuroxime"
"101","pramocaine"
"102","bisacodyl"
"103","procaine"
"104","pargyline"
"105","carbamazepine"
"106","tropicamide"
"107","indometacin"
"108","naproxen"
"109","diclofenac"
"110","flucytosine"
"111","terbutaline"
"112","pimozide"
"113","natamycin"
"114","aminophenazone"
"115","promethazine"
"116","cyanocobalamin"
"117","amoxicillin"
"118","corbadrine"
"119","cetirizine"
"120","tranylcypromine"
"121","xylometazoline"
"122","propylthiouracil"
"123","fluocinonide"
"124","astemizole"
"125","fluspirilene"
"126","acepromazine"
"127","roxithromycin"
"128","terconazole"
"129","azlocillin"
"130","oxaprozin"
"131","mebendazole"
"132","hydralazine"
"133","bromopride"
"134","cinoxacin"
"135","betahistine"
"136","minaprine"
"137","trimetazidine"
"138","berberine"
"139","digoxin"
"140","pentolonium"
"141","neomycin"
"142","ritodrine"
"143","estradiol"
"144","pioglitazone"
"145","nortriptyline"
"146","carbachol"
"147","risperidone"
"148","ganciclovir"
