"SYMBOL","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
TAF3,0.0414597632511848,-0.0136612961592039,0.132,0.119,1
WBP2,0.0415369357431802,0.0434322428760052,0.226,0.203,1
WDR74,0.0416893511413303,-0.115932967145496,0.149,0.169,1
DAAM1,0.0417135123578386,0.0104346066189853,0.177,0.156,1
MLKL,0.0417416718278686,0.115005368864485,0.189,0.156,1
DYNLRB1,0.0418210719758964,-0.27397970506491,0.48,0.553,1
TBC1D4,0.0419138373683137,0.0553200176766898,0.256,0.217,1
MRPS33,0.0420586551028378,-0.243875823989521,0.192,0.231,1
CAPRIN1,0.0421021535222168,-0.162130010752603,0.304,0.355,1
CASD1,0.0421783498649745,-0.161003256308102,0.115,0.148,1
RPN1,0.0422142022915281,-0.139651290886303,0.313,0.306,1
DERL2,0.0422689417801403,-0.0836391177148444,0.196,0.221,1
MRPS9,0.0423348457832902,-0.0896114120440338,0.081,0.117,1
ZC3H15,0.042344966087337,-0.149720000176554,0.431,0.438,1
XBP1,0.0423865163853704,0.217249587044189,0.496,0.433,1
IFNAR2,0.0424468533805587,-0.0278215534872055,0.228,0.212,1
CFAP298,0.04253787081786,-0.00278960477783774,0.233,0.222,1
HOXD3,0.0425916258829394,-0.194328638947288,0.081,0.116,1
NF1,0.042650922114593,0.0847003695568272,0.209,0.177,1
HOTAIRM1,0.0426522114015343,0.117771483879947,0.142,0.102,1
NDUFS4,0.0429049708725953,-0.120290729020288,0.323,0.348,1
ZNF436,0.0430040130010096,-0.201729717029613,0.095,0.126,1
MRPL16,0.0430698775287988,-0.231821476318034,0.158,0.228,1
SLC31A1,0.0430840424163564,-0.0850483781030379,0.119,0.133,1
SNHG9,0.0431312140183418,-0.113394011558208,0.374,0.432,1
RBM33,0.0432296268718999,0.148511678457779,0.25,0.193,1
VEGFA,0.0433389195166865,0.205389220777822,0.187,0.112,1
GRK5,0.0433576532328753,0.0504949697992841,0.103,0.069,1
VPS13B,0.043382273358324,-0.104149020865033,0.108,0.112,1
C2CD2,0.0433972374790356,-0.00377238544327013,0.156,0.145,1
ARMC10,0.0434393853695871,-0.108317815900189,0.139,0.169,1
PSMD2,0.0435327853632299,-0.0496911529704658,0.267,0.268,1
PITHD1,0.0435543902740958,-0.0893579215266727,0.187,0.198,1
PCNA,0.0436131541728049,-0.27689748260625,0.127,0.205,1
NFKB1,0.0436907738002452,0.336579821409385,0.417,0.293,1
NPAT,0.0438072040070555,-0.0487130305599406,0.129,0.138,1
C5orf15,0.0438435329035999,-0.118392162625381,0.128,0.155,1
EMG1,0.0438618812583135,-0.106144348892105,0.123,0.169,1
KPNA4,0.0440624551143472,0.283864674241153,0.433,0.35,1
SIPA1L2,0.0440757089650732,-0.0240162703798373,0.161,0.139,1
MAK16,0.044273814688495,-0.111936255790439,0.093,0.118,1
LGALS8,0.0443650888775089,0.101968447677127,0.218,0.184,1
PAGR1,0.0444331534082017,-0.117081101963598,0.095,0.148,1
SYNPO,0.0444973823127703,0.10013797459376,0.253,0.198,1
CD320,0.0445638008547207,-0.24448781337794,0.327,0.387,1
GPS1,0.0445949423801241,-0.0562726476580644,0.124,0.125,1
ZFAND2B,0.0446289587558718,0.105118824549365,0.157,0.135,1
CBX5,0.0446349612671786,-0.275725112669562,0.215,0.282,1
SDF2L1,0.0446937173505577,0.103625814867504,0.335,0.326,1
ZNHIT6,0.0446950903684436,-0.113444306373216,0.118,0.124,1
CHURC1,0.0448277219140842,-0.227516918492121,0.394,0.433,1
ETHE1,0.0448446558373828,-0.139220008912163,0.218,0.247,1
NOSIP,0.0448641903891681,-0.215559288326925,0.25,0.294,1
ERLIN1,0.044880296357152,-0.116271598718272,0.087,0.121,1
RNF144A,0.0448901386113655,0.0569777453394317,0.141,0.137,1
MAFG,0.0449071946094235,0.281618542229353,0.318,0.218,1
SYMPK,0.0449380359554907,-0.154446733990847,0.276,0.321,1
FOXK2,0.0450578887652583,0.0247073214063004,0.126,0.115,1
