"SYMBOL","log2FC_pub1","padj_pub1","log2FC_pub2","padj_pub2","log2FC_pub3","padj_pub3"
"LOC284600",2.18149365540244,0.000524406225700049,2.51545164438367,1.19560474974438e-05,3.34651596808651,1.57723342850619e-09
"LINC02593",1.30921983776565,0.0195732557043773,1.48342682178282,0.000938954708849362,2.16807404044167,8.55437582888807e-07
"SAMD11",1.02547401199729,0.0345478150992622,1.24129986135308,0.000458003316383094,1.85084630120285,3.94650320180772e-06
"KLHL17",0.600999691694304,0.0153429977317957,0.571131590820603,0.0167739924008155,0.887793603804667,0.000197274711520432
"TNFRSF4",1.16589857875243,6.82384307624548e-05,1.5340972534675,0.000428859119464664,1.51167852159387,0.000856968485324842
"C1QTNF12",1.52880034084459,0.00325103269014084,0.896834190961848,0.0126710088912959,1.18254509229535,0.000288438614472891
"TMEM88B",1.84192411573581,0.00451783846167973,2.42841871731474,1.55031168124248e-07,3.10915405816303,3.70344168098285e-07
"LINC01770",1.00013258786219,0.00503547457506474,0.751078257435177,0.0213297156268128,1.25558448772111,0.000190786842628666
"LOC107985729",1.02543154027897,0.00504235291387583,0.676233408330207,0.0430557316493806,0.899349563917547,0.0367236493607205
"ATAD3B",0.378615410748366,0.0416258352874461,0.490479182394774,0.000117315602047704,0.616181676466301,0.0408235428723822
"FNDC10",1.59663101567675,1.94866223999367e-07,2.12557652853067,1.16872094643975e-05,2.89676383415002,1.11327073252277e-13
"LOC105378586",1.41977036077842,0.0104950363421007,2.33135458646003,0.000120775485602626,1.44131843632101,0.0138301659269511
"NADK",-0.390586611913265,0.00578692984228743,-0.260204467146771,0.0145578835180826,-0.312600325553454,0.021251364905465
"TNFRSF14-AS1",-0.784105855827218,2.19526339347446e-09,-0.468411284329325,0.0269928246863634,-0.605712385300015,0.000461551442383673
"CHD5",2.584914356004,1.45369514873504e-05,2.12527570987924,1.31492693759424e-05,3.08309450857021,2.57471263562263e-19
"RNF207",0.527778332098622,0.0448130222323055,0.619752037852358,0.00802717552353227,0.818037616306708,4.68923522979577e-05
"LOC105376689",1.46146584419607,0.0004332272224134,1.03567478887035,0.0062950679989137,0.839881427408014,0.0128751366037459
"ERRFI1",-1.26639795035926,0.00206784571463701,-1.61085975885052,3.01693803384257e-07,-1.18850776406559,0.0101277962789556
"MIR34AHG",2.591424355852,2.31252703692209e-39,2.29249793730873,3.41074893887548e-43,2.34697912639797,2.38870075294903e-26
"LNCTAM34A",2.19122675154112,3.1026152524815e-13,1.97591931348743,0.000507226502441277,2.23273398771723,2.93768897821423e-22
"SPSB1",0.839474228467467,0.000590849847800391,1.10854233254949,0.00123389455782614,1.4431508727624,1.53020627520995e-06
