"exp_id","cmap_score","p","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","valid"
4828,-0.505648312756881,0,0,"pe_endo","cmap","acetylsalicylic acid",1e-04,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945",1
1904,-0.502540881677513,0,0,"pe_endo","cmap","methazolamide",1.7e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","802","Methazolamide [554-57-4]","C0025631","554-57-4","DB00703",1
1292,-0.501323821613984,0,0,"pe_endo","cmap","canrenoic acid",1e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","148","Canrenoic acid potassium salt [2181-04-6]","C0282085","2181-04-6","DB09015",1
4837,-0.49997449825313,0,0,"pe_endo","cmap","valproic acid",2e-04,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","P4543","2-propylpentanoic acid","NULL","NULL","DB00313",1
1175,-0.499949428739258,0,0,"pe_endo","cmap","diltiazem",8.8e-06,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","134","Diltiazem hydrochloride [33286-22-5]","C0700579","33286-22-5","DB00343",1
2032,-0.498206016942669,0,0,"pe_endo","cmap","piracetam",2.82e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","537","Piracetam [7491-74-9]","C0031977","7491-74-9","DB09210",1
2116,-0.497914043552661,0,0,"pe_endo","cmap","pivampicillin",8.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1009","Pivampicillin [33817-20-8]","C0085884","33817-20-8","DB01604",1
3977,-0.496064086322116,0,0,"pe_endo","cmap","mefenamic acid",1.66e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","54","Mefenamic acid [61-68-7]","C0025152","61-68-7","DB00784",1
2385,-0.494232174819229,0,0,"pe_endo","cmap","methyldopa",1.9e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","326","Methyldopa (L,-) [555-30-6]","C0304527","555-30-6","DB00968",1
4140,-0.493666705999869,0,0,"pe_endo","cmap","mitoxantrone",7.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","385","Mitoxantrone dihydrochloride [70476-82-3]","C0700458","70476-82-3","DB01204",1
1150,-0.490840334427315,0,0,"pe_endo","cmap","apomorphine",6.4e-06,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","101","Apomorphine hydrochloride hemihydrate [41372-20-7]","C0237406","41372-20-7","DB00714",1
3168,-0.49032489657745,0,0,"pe_endo","cmap","tobramycin",8.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","544","Tobramycin [32986-56-4]","C0027519","32986-56-4","DB00684",1
4253,-0.488225000615932,0,0,"pe_endo","cmap","diethylcarbamazine",1.02e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","284","Diethylcarbamazine citrate [1642-54-2]","C0012191","1642-54-2","DB00711",1
4907,-0.487943292759622,0,0,"pe_endo","cmap","tretinoin",1.34e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","257","Retinoic acid [302-79-4]","C0040845","302-79-4","DB00755",1
998,-0.487528241023493,0,0,"pe_endo","cmap","dacarbazine",2.2e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","574","Dacarbazine [4342-03-4]","C0010927","4342-03-4","DB00851",1
5616,-0.484747470032206,0,0,"pe_endo","cmap","alsterpaullone",1e-05,6,"MCF7","HT_HG-U133A","DMSO","Calbiochem","126870","Alsterpaullone","EXPT00590","NULL","DB04014",1
1573,-0.484091340341559,0,0,"pe_endo","cmap","tropicamide",1.4e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","228","Tropicamide [1508-75-4]","C0041190","1508-75-4","DB00809",1
343,-0.48378780471886,0,0,"pe_endo","cmap","resveratrol",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Sigma-Aldrich","R 5010","resveratrol","EXPT02968","NULL","DB02709",1
1691,-0.483610265015018,0,0,"pe_endo","cmap","propylthiouracil",2.34e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","494","Propylthiouracil [51-52-5]","C0033511","51-52-5","DB00550",1
4732,-0.483387124729909,0,0,"pe_endo","cmap","ethotoin",1.96e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","696","Ethotoin [86-35-1]","C0015046","86-35-1","DB00754",1
4819,-0.476570810354747,0,0,"pe_endo","cmap","benzylpenicillin",1.12e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1078","Benzylpenicillin sodium [69-57-8]","NULL","69-57-8","DB01053",1
2499,-0.475896526878193,0,0,"pe_endo","cmap","azacitidine",1.64e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","866","Azacytidine-5 [320-67-2]","C0004475","320-67-2","DB00928",1
1151,-0.47511440126869,0,0,"pe_endo","cmap","naloxone",1.1e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","111","Naloxone hydrochloride [357-08-4]","C0700549","357-08-4","DB01183",1
1115,-0.474892557682574,0,0,"pe_endo","cmap","minaprine",1.08e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","66","Minaprine dihydrochloride [25953-17-7]","C0771667","25953-17-7","DB00805",1
2361,-0.473252233455958,0,0,"pe_endo","cmap","chlorpropamide",1.44e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","323","Chlorpropamide [94-20-2]","C0008287","94-20-2","DB00672",1
356,-0.471632332238487,0,0,"pe_endo","cmap","pyrvinium",1.25e-06,6,"MCF7","HT_HG-U133A_EA","DMSO","MP Biomedicals","2156475","pyrvinium pamoate","C0072804","NULL","DB06816",1
4487,-0.471431451952764,0,0,"pe_endo","cmap","fluorometholone",1.06e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","718","Fluorometholone [426-13-1]","C0016351","426-13-1","DB00324",1
957,-0.470902939054715,0,0,"pe_endo","cmap","gliclazide",1.24e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","558","Gliclazide [21187-98-4]","C0017631","21187-98-4","DB01120",1
1322,-0.470840157211786,0,0,"pe_endo","cmap","thalidomide",1.54e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","192","Thalidomide [50-35-1]","C0039736","50-35-1","DB01041",1
2196,-0.469642115400159,0,0,"pe_endo","cmap","latamoxef",7e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","819","Moxalactam disodium salt [64953-12-4]","NULL","64953-12-4","DB04570",1
3960,-0.469611751032064,0,0,"pe_endo","cmap","rimexolone",1.08e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","1020","Rimexolone [49697-38-3]","C0140594","49697-38-3","DB00896",1
4080,-0.4691253808513,0,0,"pe_endo","cmap","felodipine",1.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","478","Felodipine [72509-76-3]","C0015772","72509-76-3","DB01023",1
1525,-0.468713678920904,0,0,"pe_endo","cmap","metaraminol",8.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","197","Metaraminol bitartrate [33402-03-8]","C0025575","33402-03-8","DB00610",1
364,-0.46792398923394,0,0,"pe_endo","cmap","sirolimus",1e-07,6,"MCF7","HT_HG-U133A_EA","DMSO","Sigma-Aldrich","R0395","Rapamycin","C0072980","NULL","DB00877",1
756,-0.46491683621006,0,0,"pe_endo","cmap","dipyridamole",8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","142","Dipyridamole [58-32-2]","C0012582","58-32-2","DB00975",1
4716,-0.462697103649905,0,0,"pe_endo","cmap","sulfamerazine",1.52e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","694","Sulfamerazine [127-79-7]","C0038684","127-79-7","DB01581",1
3728,-0.46180000406299,0,0,"pe_endo","cmap","hydralazine",2.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","169","Hydralazine hydrochloride [304-20-1]","C0020223","304-20-1","DB01275",1
3912,-0.457839453104233,0,0,"pe_endo","cmap","ifenprodil",8.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","311","Ifenprodil tartrate [23210-58-4]","C0063340","23210-58-4","DB08954",1
4926,-0.457196506520019,0,0,"pe_endo","cmap","azlocillin",8.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","821","Azlocillin sodium salt [37091-65-9]","C0701436","37091-65-9","DB01061",1
3478,-0.45510276987872,0,0,"pe_endo","cmap","zomepirac",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","779","Zomepirac sodium salt [64092-48-4]","C0149477","64092-48-4","DB04828",1
789,-0.455037826870802,0,0,"pe_endo","cmap","labetalol",1.1e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","277","Labetalol hydrochloride [32780-64-6]","C0699440","32780-64-6","DB00598",1
5980,-0.454253972329308,0,0,"pe_endo","cmap","disopyramide",1.18e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","266","Disopyramide [3737-09-5]","C0012702","3737-09-5","DB00280",1
1795,-0.45351193633035,0,0,"pe_endo","cmap","amoxicillin",1.1e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","357","Amoxicillin [26787-78-0]","MMS_106","26787-78-0","DB01060",1
2124,-0.453051067896456,0,0,"pe_endo","cmap","lymecycline",6.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1000","Lymecycline [992-21-2]","C0024200","992-21-2","DB00256",1
1069,-0.453020487411862,0,0,"pe_endo","cmap","8-azaguanine",2.62e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1","Azaguanine-8 [134-58-7]","EXPT00603","134-58-7","DB01667",1
1074,-0.451277399790021,0,0,"pe_endo","cmap","procaine",1.46e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","41","Procaine hydrochloride [51-05-8]","C0033218","51-05-8","DB00721",1
3990,-0.451022706496073,0,0,"pe_endo","cmap","fulvestrant",1e-06,6,"MCF7","HT_HG-U133A","DMSO","Tocris","1047","ICI 182,780","C0935916","NULL","DB00947",1
676,-0.450115665550209,0,0,"pe_endo","cmap","pargyline",2.04e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","183","Pargyline hydrochloride [306-07-0]","C0282289","306-07-0","DB01626",1
3908,-0.450059907493494,0,0,"pe_endo","cmap","ouabain",5.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","471","Strophantine octahydrate [11018-89-6]","C0029904","11018-89-6","DB01092",1
591,-0.449035947521727,0,0,"pe_endo","cmap","cyanocobalamin",3e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","433","Cyanocobalamin [68-19-9]","MMS_635","68-19-9","DB00115",1
5917,-0.448990563056959,0,0,"pe_endo","cmap","pentolonium",7.4e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","188","Pentolinium bitartrate [52-62-0]","NULL","52-62-0","DB01090",1
1003,-0.448699994424194,0,0,"pe_endo","cmap","riboflavin",1.06e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","634","Riboflavine [83-88-5]","EXPT02760","83-88-5","DB00140",1
3594,-0.448077038616128,0,0,"pe_endo","cmap","doxorubicin",6.8e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","438","Doxorubicin hydrochloride [25316-40-9]","C1445757","25316-40-9","DB00997",1
2242,-0.447670091248708,0,0,"pe_endo","cmap","tyloxapol",4e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","954","Tyloxapol [25301-02-4]","C0077539","25301-02-4","DB06439",1
3963,-0.446970846316532,0,0,"pe_endo","cmap","thiocolchicoside",7e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","539","Thiocolchicoside [602-41-5]","C0076456","602-41-5","DB11582",1
1585,-0.446416723613364,0,0,"pe_endo","cmap","tolbutamide",1.48e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","190","Tolbutamide [64-77-7]","C0040374","64-77-7","DB01124",1
401,-0.445110083261042,0,0,"pe_endo","cmap","haloperidol",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Sigma-Aldrich","H1512","haloperidol","C0720809","NULL","DB00502",1
2651,-0.443014617687752,0,0,"pe_endo","cmap","etomidate",1.64e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1041","Etomidate [33125-97-2]","C0015131","33125-97-2","DB00292",1
3351,-0.439959594859367,0,0,"pe_endo","cmap","oxaprozin",1.36e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","1060","Oxaprozin [21256-18-8]","C0069739","21256-18-8","DB00991",1
2169,-0.439214209054676,0,0,"pe_endo","cmap","beclometasone",7.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","855","Beclomethasone dipropionate [5534-09-8]","NULL","5534-09-8","DB00394",1
4503,-0.43894935828528,0,0,"pe_endo","cmap","cefuroxime",9e-06,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","720","Cefuroxime sodium salt [56238-63-2]","C0007562","56238-63-2","DB01112",1
2862,-0.438671000234702,0,0,"pe_endo","cmap","indapamide",1.06e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","220","Indapamide [26807-65-8]","C0021186","26807-65-8","DB00808",1
2084,-0.438524365190202,0,0,"pe_endo","cmap","fluvoxamine",9.2e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","995","Fluvoxamine maleate [61718-82-9]","C0085228","61718-82-9","DB00176",1
2863,-0.438464608978257,0,0,"pe_endo","cmap","phentolamine",1.26e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","230","Phentolamine hydrochloride [73-05-2]","C0733398","73-05-2","DB00692",1
2202,-0.438217803936519,0,0,"pe_endo","cmap","capsaicin",1.3e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","879","Capsaicin [404-86-4]","C0006931","404-86-4","DB06774",1
1497,-0.437611597157117,0,0,"pe_endo","cmap","xylometazoline",1.42e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","223","Xylometazoline hydrochloride [1218-35-5]","C0078643","1218-35-5","DB06694",1
5128,-0.437204865906196,0,0,"pe_endo","cmap","aminocaproic acid",3.04e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","960","Aminocaproic acid [60-32-2]","APRD00791","60-32-2","DB00513",1
992,-0.437197626003483,0,0,"pe_endo","cmap","papaverine",1.06e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","583","Papaverine hydrochloride [61-25-6]","C0700461","61-25-6","DB01113",1
3142,-0.436127741275701,0,0,"pe_endo","cmap","niclosamide",1.22e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","40","Niclosamide [50-65-7]","C0028017","50-65-7","DB06803",1
4809,-0.434919217813878,0,0,"pe_endo","cmap","oxprenolol",1.32e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1057","Oxprenolol hydrochloride [6452-73-9]","C0030040","6452-73-9","DB01580",1
1731,-0.434125962204682,0,0,"pe_endo","cmap","cefalotin",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","719","Cephalothin sodium salt [58-71-9]","NULL","58-71-9","DB00456",1
2192,-0.433644130470395,0,0,"pe_endo","cmap","doxazosin",7.4e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","858","Doxazosin mesylate [77883-43-3]","C0077770","77883-43-3","DB00590",1
3882,-0.433614198335298,0,0,"pe_endo","cmap","methotrexate",8.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","373","Amethopterin (R,S) [59-05-2]","C0025677","59-05-2","DB00563",1
5951,-0.433307637081615,0,0,"pe_endo","cmap","trazodone",9.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","292","Trazodone hydrochloride [25332-39-2]","C0040805","25332-39-2","DB00656",1
558,-0.432649670400727,0,0,"pe_endo","cmap","dextromethorphan",1.08e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","359","Dextromethorphan hydrobromide monohydrate [6700-34-1]","C0872890","6700-34-1","DB00514",1
1248,-0.432644483604754,0,0,"pe_endo","cmap","cyproheptadine",1.24e-05,6,"HL60","HG-U133A","DMSO","Prestwick Chemical","103","Cyproheptadine hydrochloride [969-33-5]","C0771807","969-33-5","DB00434",1
3842,-0.431446225676628,0,0,"pe_endo","cmap","miconazole",9.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","67","Miconazole [22916-47-8]","MMS_579","22916-47-8","DB01110",1
5947,-0.43060650502017,0,0,"pe_endo","cmap","difenidol",1.16e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","252","Diphenidol hydrochloride [3254-89-5]","NULL","3254-89-5","DB01231",1
3486,-0.430585433661528,0,0,"pe_endo","cmap","clomipramine",1.14e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","269","Clomipramine hydrochloride [17321-77-6]","C0282107","17321-77-6","DB01242",1
2119,-0.42967709601667,0,0,"pe_endo","cmap","levocabastine",8.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1039","Levocabastine hydrochloride [79547-78-7]","C0064870","79547-78-7","DB01106",1
2238,-0.429637222522624,0,0,"pe_endo","cmap","metyrapone",1.76e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","904","Metyrapone [54-36-4]","C0025876","54-36-4","DB01011",1
4117,-0.429330120977694,0,0,"pe_endo","cmap","rolitetracycline",7.6e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","849","Rolitetracycline [751-97-3]","C0035823","751-97-3","DB01301",1
392,-0.429108493508076,0,0,"pe_endo","cmap","genistein",1e-05,6,"MCF7","HT_HG-U133A_EA","DMSO","Calbiochem","345834","genistein","NULL","NULL","DB01645",1
1956,-0.427497236950562,0,0,"pe_endo","cmap","rescinnamine",6.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","568","Rescinnamin [24815-24-5]","C0035167","24815-24-5","DB01180",1
3723,-0.427047930749358,0,0,"pe_endo","cmap","bromopride",1.16e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","704","Bromopride [4093-35-0]","C0054129","4093-35-0","DB09018",1
3758,-0.426902376287352,0,0,"pe_endo","cmap","roxithromycin",4.8e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","854","Roxithromycin [80214-83-1]","C0035891","80214-83-1","DB00778",1
2127,-0.426788158717686,0,0,"pe_endo","cmap","torasemide",1.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","1030","Torsemide [56211-40-6]","APRD00217","56211-40-6","DB00214",1
