"","unstratified","InII","IIInIV","PE","ESE","MSE"
"fenoprofen",100,100,98.6523820813983,100,82.2200867162797,100
"flumetasone",83.8217333338059,41.2479055417621,100,63.5623222887249,100,66.5605993172217
"irinotecan",69.5568852975771,73.07872709908,53.2377040754519,65.8025917452642,70.9662187150582,55.2475225414424
"primaquine",66.6496883285381,31.5743911847165,84.6588861094021,43.4415750558063,92.2939154661654,36.5466943479039
"promazine",64.7415353231557,43.2746958293109,86.1604152378306,46.6180067845819,76.2456123403087,70.2456635018298
"scopolamine",57.4623525795964,64.3734397610446,69.702328384046,71.1351453961011,86.9970276737058,36.861396413718
"zuclopenthixol",52.6910503772009,49.4481579113956,59.9282714008093,61.7171890762415,72.8496532526294,24.7406021451743
"flunisolide",37.3909383859605,32.1717214441195,54.6554739129668,19.4765911446008,67.7472198572254,49.8293095882721
"levonorgestrel",30.9057228721471,24.4259273107074,32.733391204106,38.5277829861008,57.41287700471,62.3918383830375
"cloperastine",24.356316776917,8.49290950337863,41.3322741276084,29.9608991977279,48.7986577552147,45.3089997239877
"bepridil",13.4672900814048,4.56301617647423,20.1966531485313,4.23650892631835,64.6876149706816,12.5101688892878
"medrysone",10.7647760248166,5.84735998267024,30.6621125356286,26.5401525136398,71.3062015140625,47.5976877575226
"procyclidine",10.5320460746091,60.6258435079558,0,61.1243235372766,0.212549325501289,26.7366440552212
"cycloserine",9.55814876948532,20.3138209530837,13.2446320026754,30.2871174866588,23.3259247457639,32.0423504146185
"trifluoperazine",5.56883004146083,0,11.7624637981045,8.24713907534308,82.0828728498454,6.68041475940744
"camptothecin",3.72523827298744,8.79629407160096,5.3518977329084,0,83.289609930535,23.9498836730618
"isoconazole",0.296864933300957,13.6870446753018,14.1576866639321,17.0786664469974,68.1754905275572,0
"simvastatin",0.231680531845829,14.610383222176,26.749223973054,42.6619376907628,17.2601827227316,13.559984159292
"metolazone",0.217475160117016,15.5029939383917,17.3673699064982,43.6723433210311,39.5244422112147,30.094129076726
"iopanoic acid",0,20.7535345878626,7.46661645743639,40.1620494025518,0,24.4631205255609
