"","unstratified","InII","IIInIV","PE","ESE","MSE"
"fenoprofen",100,100,89.0331499851903,100,76.5251405013852,100
"flumetasone",92.1206506131867,41.3928294477614,100,54.1107245057366,100,67.1852442576977
"promazine",72.6290610361791,43.294456193872,86.3836478475072,40.0247639814009,81.4031302413001,70.5525747516122
"irinotecan",70.2269707883156,71.8757191108921,49.2268053227303,71.6239479604295,63.1430169150478,53.6049679966519
"primaquine",65.1417837723323,31.4708403284463,74.6622894688283,47.5952992027994,81.912390798186,31.5869166394226
"scopolamine",61.4500765011886,64.348000562918,64.1375529768614,70.3257670735454,84.9637988305157,34.2232540230463
"zuclopenthixol",58.0298660640728,49.3893363036948,54.9768398265044,58.2313202329019,79.7004825842571,22.0943443469106
"levonorgestrel",38.1705905891767,24.5245273530356,40.6705672730542,37.835239044935,64.8381967762252,62.8712044137099
"flunisolide",38.1443965821623,32.3491012819133,52.9163054754777,34.9814291097498,61.3619084001335,46.6607305131687
"cloperastine",29.7462137796296,8.50174593389346,46.2628923931975,22.4173971580103,54.8533126926853,44.014193460961
"cycloserine",17.0926441164703,20.0785648787393,23.1699431036652,21.5833523003297,30.3325893631538,31.1035972990482
"bepridil",16.3622248899562,4.55410556763617,25.4953423782328,0.547884226291091,61.5744171738137,8.05571859101648
"trifluoperazine",13.5474707530069,0,23.5489418584279,4.36266071123908,79.784745194297,4.24348209807298
"medrysone",12.7487041875574,5.94010223350253,33.5385209434029,16.6173943915534,69.5774932784937,44.9125512797461
"metolazone",3.86156344890882,16.1024149845852,15.6746379429858,30.1293570125281,45.1619365072707,28.3677348123142
"iopanoic acid",3.47683544005815,20.5929307462845,13.8893584158968,27.2493076522296,11.9082041283779,21.092604387605
"procyclidine",3.02147211825944,59.4335472697736,0,72.8094586001812,0,19.1065842185147
"sulfamethoxazole",1.23482804886648,5.70284167215066,21.0147366005178,13.3432506623777,59.7739531512434,22.6802832272591
"sertaconazole",0.269227691076733,1.80796942328042,26.7973364637429,0,48.8887390538479,23.6775398377539
"adipiodone",0,15.9427039405394,0.806923085273104,20.0177891565784,18.9158583251321,0
