gene_symbol,logfc_dz:867,logfc_dz:868,logfc_dz:869,logfc_dz:873,logfc_dz:872,logfc_dz:871,logfc_dz:851,logfc_dz:850,mean_logfc,median_logfc,common_experiment,organism
COX1,0.21934372186660767,0.22272750735282898,0.1662748157978058,0.18199855089187622,0.28013691306114197,0.23687106370925903,,,0.2178920954465866,0.22103561460971832,,human
HBA2,0.1919085532426834,0.18594537675380707,0.22266900539398193,0.023659054189920425,0.4208361506462097,0.39324694871902466,,,0.23971084815760454,0.20728877931833267,,human
IGHV4-31,0.17071926593780518,0.3073671758174896,0.3087247610092163,0.1850520521402359,0.10327436029911041,0.11117991805076599,,,0.19771958887577057,0.17788565903902054,,human
HLA-DRB5,0.1557631492614746,0.1230749562382698,0.1025550365447998,0.11616665869951248,0.1296573132276535,0.0977906808257103,,,0.12083463246623675,0.11962080746889114,,human
HLA-DRB4,0.1549077183008194,0.08061332255601883,0.08578090369701385,0.12615928053855896,0.13051575422286987,0.09102591127157211,,,0.11150048176447551,0.10859259590506554,,human
BPIFB1,0.1338489055633545,,,0.12121357023715973,,-0.010376160964369774,,,0.08156210494538148,0.12121357023715973,,human
HLA-DRA,0.1313488483428955,0.08483628928661346,0.0835600197315216,0.11698567867279053,0.11482122540473938,0.1321507692337036,,,0.11061713844537735,0.11590345203876495,,human
SCGB3A1,0.1210746020078659,-0.014734651893377304,,0.18614625930786133,0.04606826975941658,-0.07550904899835587,,,0.05260908603668213,0.04606826975941658,,human
HLA-DRB1,0.10897968709468842,0.08170904219150543,0.05766711384057999,0.07519084960222244,0.06933917850255966,0.07011846452951431,,,0.0771673892935117,0.07265465706586838,,human
LTA4H,0.10330302268266678,0.047547437250614166,0.04930367320775986,0.04396272078156471,0.017432980239391327,0.11375883966684341,-0.011162900365889072,,0.052020824780421596,0.047547437250614166,-0.011162900365889072,human
CYAT1,0.10005687922239304,0.23228076100349426,0.1884564310312271,0.1602388322353363,,0.032178156077861786,,,0.1426422119140625,0.1602388322353363,,human
