gene_symbol,logfc_dz:397,logfc_dz:306,logfc_dz:652,logfc_dz:653,mean_logfc,median_logfc,common_experiment,organism
FUS,,,0.020256562158465385,0.016924012452363968,0.018590287305414677,0.018590287305414677,,human
IGHV3-48,,,0.0201699398458004,,0.0201699398458004,0.0201699398458004,,human
HIST1H2BK,,,0.020160768181085587,,0.020160768181085587,0.020160768181085587,,human
LONP2,,,0.020123494789004326,,0.020123494789004326,0.020123494789004326,,human
EIF3CL,,,0.02012292668223381,0.036774393171072006,0.02844865992665291,0.02844865992665291,,human
DDX24,,,0.02006925828754902,0.017140669748187065,0.018604964017868042,0.018604964017868042,,human
CST3,,,0.020050784572958946,0.026491068303585052,0.023270926438272,0.023270926438272,,human
ERMP1,,,0.02002747356891632,,0.02002747356891632,0.02002747356891632,,human
CERS6,,,0.019993044435977936,,0.019993044435977936,0.019993044435977936,,human
LAMB1,,,0.019963135942816734,0.01827152632176876,0.019117331132292747,0.019117331132292747,,human
TBL1XR1,,,0.019946474581956863,,0.019946474581956863,0.019946474581956863,,human
MAOA,,,0.01994222402572632,,0.01994222402572632,0.01994222402572632,,human
DTX2P1-UPK3BP1-PMS2P11,,,0.01991676539182663,,0.01991676539182663,0.01991676539182663,,human
EIF1,,,0.019862407818436623,,0.019862407818436623,0.019862407818436623,,human
ADAMTS9,,,0.01986054517328739,,0.01986054517328739,0.01986054517328739,,human
M6PR,,,0.019854648038744926,,0.019854648038744926,0.019854648038744926,,human
PGD,,,0.01982300914824009,0.01652577891945839,0.01817439403384924,0.01817439403384924,,human
EZR,,,0.01981736719608307,,0.01981736719608307,0.01981736719608307,,human
CTSC,,,0.019815439358353615,0.03750072792172432,0.028658083640038967,0.028658083640038967,,human
DLG1,,,0.01979270577430725,,0.01979270577430725,0.01979270577430725,,human
NID2,,,0.019725609570741653,,0.019725609570741653,0.019725609570741653,,human
WSB1,,,0.019705407321453094,,0.019705407321453094,0.019705407321453094,,human
ATP8A1,,,0.019694965332746506,,0.019694965332746506,0.019694965332746506,,human
SCARNA7,,,0.019629277288913727,,0.019629277288913727,0.019629277288913727,,human
GNG12,,,0.019595401361584663,0.01866043545305729,0.019127918407320976,0.019127918407320976,,human
LOC100289511,,,0.019490525126457214,,0.019490525126457214,0.019490525126457214,,human
HGSNAT,,,0.019465666264295578,0.01714697666466236,0.01830632146447897,0.01830632146447897,,human
CAT,,,0.01942448504269123,0.0182624664157629,0.018843475729227066,0.018843475729227066,,human
CNOT7,,,0.019418196752667427,,0.019418196752667427,0.019418196752667427,,human
CD47,,,0.01939670369029045,0.017638269811868668,0.01851748675107956,0.01851748675107956,,human
PAPOLA,,,0.019391914829611778,,0.019391914829611778,0.019391914829611778,,human
ECE1,,,0.019389765337109566,0.04254612699151039,0.03096794616430998,0.03096794616430998,,human
SLC44A1,,,0.019367773085832596,,0.019367773085832596,0.019367773085832596,,human
PABPN1,,,0.019363421946763992,,0.019363421946763992,0.019363421946763992,,human
SSR2,,,0.01935589872300625,0.01574067957699299,0.01754828914999962,0.01754828914999962,,human
TMEM254,,,0.0193334873765707,,0.0193334873765707,0.0193334873765707,,human
DDX6,,,0.019308777526021004,,0.019308777526021004,0.019308777526021004,,human
TMEM9B,,,0.01929292269051075,,0.01929292269051075,0.01929292269051075,,human
GUSBP9,,,0.019288361072540283,-0.025459179654717445,-0.003085409291088581,-0.003085409291088581,,human
ILF2,,,0.019281694665551186,0.015193152241408825,0.017237423453480005,0.017237423453480005,,human
COX16,,,0.019250886514782906,,0.019250886514782906,0.019250886514782906,,human
NFIB,,,0.01923033595085144,,0.01923033595085144,0.01923033595085144,,human
UBE2K,,,0.01920451782643795,,0.01920451782643795,0.01920451782643795,,human
TSPAN31,,,0.01914697326719761,,0.01914697326719761,0.01914697326719761,,human
RBBP7,,,0.019131990149617195,,0.019131990149617195,0.019131990149617195,,human
RYK,,,0.019125135615468025,,0.019125135615468025,0.019125135615468025,,human
CNOT1,,,0.019107891246676445,,0.019107891246676445,0.019107891246676445,,human
WDR6,,,0.019038138911128044,,0.019038138911128044,0.019038138911128044,,human
GABARAP,,,0.019033391028642654,,0.019033391028642654,0.019033391028642654,,human
SOS2,,,0.019011957570910454,,0.019011957570910454,0.019011957570910454,,human
FTL,,,0.0189871434122324,,0.0189871434122324,0.0189871434122324,,human
YWHAZ,,,0.018984900787472725,,0.018984900787472725,0.018984900787472725,,human
LOC728323,,,0.018984215334057808,,0.018984215334057808,0.018984215334057808,,human
HNRNPD,,,0.018916331231594086,,0.018916331231594086,0.018916331231594086,,human
CAPRIN1,,,0.01884707435965538,,0.01884707435965538,0.01884707435965538,,human
MBIP,,,0.01877664402127266,,0.01877664402127266,0.01877664402127266,,human
PICALM,,,0.01872723177075386,,0.01872723177075386,0.01872723177075386,,human
ARF3,,,0.0187066737562418,0.018525367602705956,0.018616020679473877,0.018616020679473877,,human
XRCC5,,,0.01869727484881878,,0.01869727484881878,0.01869727484881878,,human
ERBB2IP,,,0.01868222840130329,,0.01868222840130329,0.01868222840130329,,human
PUM2,,,0.01867399737238884,,0.01867399737238884,0.01867399737238884,,human
UBE2Z,,,0.018663765862584114,,0.018663765862584114,0.018663765862584114,,human
JAK1,,,0.018650269135832787,,0.018650269135832787,0.018650269135832787,,human
TRIP12,,,0.018586067482829094,,0.018586067482829094,0.018586067482829094,,human
APBB2,,,0.018563179299235344,,0.018563179299235344,0.018563179299235344,,human
ACTR2,,,0.018545405939221382,,0.018545405939221382,0.018545405939221382,,human
ARF4,,,0.018542049452662468,,0.018542049452662468,0.018542049452662468,,human
