gene_symbol,logfc_dz:769,logfc_dz:768,logfc_dz:548,logfc_dz:853,logfc_dz:855,logfc_dz:891,logfc_dz:892,logfc_dz:854,logfc_dz:543,logfc_dz:767,logfc_dz:542,logfc_dz:465,logfc_dz:852,logfc_dz:547,logfc_dz:549,logfc_dz:545,mean_logfc,median_logfc,common_experiment,organism
MALAT1,0.08347686380147934,-0.04069574549794197,0.05574667081236839,0.02418983168900013,0.038298603147268295,0.036645323038101196,-0.016700027510523796,,,,,,,,,,0.02585164563996451,0.036645323038101196,0.08347686380147934,human
FOLR1,0.06929992884397507,-0.028837118297815323,,,,,,-0.021984539926052094,,,,,,,,,0.006159423540035884,-0.021984539926052094,0.06929992884397507,human
XIST,0.0651693046092987,,,,,,,,0.11884645372629166,,,,,,,,0.09200787916779518,0.09200787916779518,0.0651693046092987,human
CDR1,0.057676393538713455,,,,,0.0202783290296793,,,0.032168127596378326,,,,,,,,0.03670761672159036,0.032168127596378326,0.057676393538713455,human
ZNF879,0.05682573840022087,,,,,,,,0.047502610832452774,-0.03189278766512871,-0.02918359264731407,,,,,,0.010812992230057716,0.009159509092569351,0.05682573840022087,human
SLC25A46,0.05569939687848091,-0.02600851096212864,0.014754774048924446,,,,,,,,,-0.02270488813519478,,,,,0.005435192957520485,-0.003975057043135166,0.05569939687848091,human
ZNF285,0.052673518657684326,0.018999040126800537,,,,,,,0.052935875952243805,,,,,,,,0.04153614491224289,0.052673518657684326,0.052673518657684326,human
TUFT1,0.051574062556028366,,,,,,,,0.03372929245233536,-0.02443363517522812,-0.019421670585870743,,,,,,0.010362012311816216,0.0071538109332323074,0.051574062556028366,human
LOC101928307,0.051156897097826004,-0.020774824544787407,,,,,,,0.0644027441740036,0.027575241401791573,0.027661992236971855,,,,,,0.030004410073161125,0.027661992236971855,0.051156897097826004,human
LOC100190986,0.04598795995116234,,,0.018716497346758842,,,,,0.04246062785387039,0.012903985567390919,,,,,,,0.030017267679795623,0.030588562600314617,0.04598795995116234,human
UTP14A,0.04438420385122299,,,,,,,,0.04141802340745926,,,,,,,,0.042901113629341125,0.042901113629341125,0.04438420385122299,human
GOLGA8A,0.043444983661174774,-0.02088846080005169,,,,,,,,,,,,,,,0.011278261430561543,0.011278261430561543,0.043444983661174774,human
LOC100287689,0.04297474026679993,-0.01955900527536869,,,,,,,,,,,,,,,0.011707867495715618,0.011707867495715618,0.04297474026679993,human
BTN3A2,0.04094609618186951,-0.05008566752076149,0.01710561290383339,,,,,,0.029536982998251915,0.02439103275537491,0.04471151903271675,,,,,,0.017767596058547497,0.02696400787681341,0.04094609618186951,human
CHRDL1,0.03867817297577858,0.041074346750974655,,,,,-0.026808498427271843,,0.0930461511015892,0.03067144751548767,0.03538397699594498,,,,,,0.03534093281875054,0.03703107498586178,0.03867817297577858,human
NAP1L2,0.0385955348610878,-0.018290774896740913,,0.018425459042191505,,,,-0.017626827582716942,0.01848783902823925,,,,,,,,0.00791824609041214,0.018425459042191505,0.0385955348610878,human
PWAR5,0.0382096990942955,,,,,,,,,,,,,,,,0.0382096990942955,0.0382096990942955,0.0382096990942955,human
SLC17A7,0.03808121383190155,0.019209397956728935,,-0.04733888804912567,0.03621247038245201,,,,0.05181608721613884,,,0.04636867716908455,0.01707274466753006,,,,0.023060243310672895,0.03621247038245201,0.03808121383190155,human
SNAP25,0.03626478835940361,-0.026781423017382622,,,0.04403882473707199,,,,,,,0.01565815880894661,,,,,0.017295087222009897,0.02596147358417511,0.03626478835940361,human
MAN2B2,0.03557644784450531,,,,,,,,0.04002608358860016,,,,,,,,0.037801265716552734,0.037801265716552734,0.03557644784450531,human
LOC101927151,0.03546698018908501,0.03167138993740082,,,,,,,0.08234391361474991,0.01696508377790451,0.019095662981271744,,,,,,0.037108606100082396,0.03167138993740082,0.03546698018908501,human
FTSJ2,0.03329727426171303,0.017672009766101837,,,,,,,0.0324818454682827,,,,,,,,0.027817043165365856,0.0324818454682827,0.03329727426171303,human
MAP1B,0.033259712159633636,-0.03366381302475929,,0.0692276656627655,-0.031676966696977615,0.017145156860351562,0.07056424766778946,0.06468979269266129,,,,,-0.047256339341402054,,,,0.01778618199750781,0.0252024345099926,0.033259712159633636,human
LOC100507557,0.03270021826028824,,,,,,,,0.0211052056401968,0.013118053786456585,0.013996301218867302,,,,,,0.02022994472645223,0.01755075342953205,0.03270021826028824,human
CPE,0.03213530033826828,,,0.06287532299757004,0.06444388628005981,,0.04465297982096672,,,,,-0.03705088794231415,,0.03624390810728073,,,0.03388341826697191,0.040448443964123726,0.03213530033826828,human
MGC24103,0.03190601244568825,,,,,,,,0.03447343409061432,0.02045583911240101,0.016329322010278702,,,,,,0.02579115191474557,0.026180925779044628,0.03190601244568825,human
MED29,0.031252171844244,,,,,,,,0.020930875092744827,-0.055847592651844025,-0.044637102633714676,,,,,,-0.012075412087142467,-0.011853113770484924,0.031252171844244,human
LOC285074,0.031244458630681038,,,,,,,,0.027489904314279556,-0.0181893277913332,-0.019293727353215218,,,,,,0.0053128269501030445,0.004650288261473179,0.031244458630681038,human
P4HA1,0.029878025874495506,,,,,0.01532661635428667,,,0.021728618070483208,,,,,,,,0.022311086766421795,0.021728618070483208,0.029878025874495506,human
G3BP2,0.0291354488581419,-0.01890277862548828,,,,,,,,,,,,,,,0.005116335116326809,0.005116335116326809,0.0291354488581419,human
RASD1,0.029121901839971542,0.03099769912660122,,,,,,,0.05304228514432907,0.0178937129676342,0.022086450830101967,,,,,,0.0306284099817276,0.029121901839971542,0.029121901839971542,human
PJA2,0.029065357521176338,-0.04881904274225235,,,-0.019701868295669556,0.03641995042562485,0.025962769985198975,,,,,,-0.020152974873781204,,,,0.0004623653367161751,0.0031304508447647095,0.029065357521176338,human
LOC100132147,0.028876908123493195,,,,,,,,0.024912120774388313,-0.02241714484989643,-0.01740475371479988,,,,,,0.003491782583296299,0.003753683529794216,0.028876908123493195,human
NEFH,0.027837704867124557,,,0.04798189923167229,-0.06334879994392395,,,,0.028081728145480156,0.015568756498396397,,0.05669952183961868,,,,,0.01880346843972802,0.027959716506302357,0.027837704867124557,human
GJA1,0.02780267409980297,0.056409019976854324,,0.030805109068751335,,-0.02254658006131649,-0.04229413717985153,0.016444120556116104,0.06237669661641121,-0.014594540931284428,,,,,,,0.014300295268185437,0.022123397327959538,0.02780267409980297,human
FUNDC1,0.027583874762058258,,,,,,,,,,,,,,,,0.027583874762058258,0.027583874762058258,0.027583874762058258,human
GAPDH,0.02748526819050312,,0.018919985741376877,,,,-0.01477764081209898,-0.05465254932641983,,,,,-0.02795349434018135,,-0.05560140311717987,,-0.017763305610666674,-0.021365567576140165,0.02748526819050312,human
RNMTL1,0.027196083217859268,-0.01770828105509281,,,,,,,,,,,,,,,0.004743901081383228,0.004743901081383228,0.027196083217859268,human
SLC13A5,0.026751156896352768,,,,,,,,0.031007735058665276,0.01954127661883831,0.019512059167027473,,,-0.019574729725718498,,,0.015447499603033066,0.01954127661883831,0.026751156896352768,human
SHISA6,0.0265535656362772,,,,,,,,0.02323898673057556,-0.047512855380773544,-0.03819570690393448,,,-0.03579370677471161,,,-0.014341943338513375,-0.03579370677471161,0.0265535656362772,human
KCNS1,0.02597203478217125,,,0.029719820246100426,-0.016772106289863586,,,,,,,,,,,,0.012973249579469362,0.02597203478217125,0.02597203478217125,human
NFXL1,0.025906242430210114,,,,,,,,0.019642116501927376,,,,,,,,0.022774179466068745,0.022774179466068745,0.025906242430210114,human
ANKRD33B,0.02588488720357418,,,,,,,,0.01989290677011013,0.014778158627450466,,,,,,-0.024549361318349838,0.009001647820696235,0.017335532698780298,0.02588488720357418,human
RGPD6,0.02584858052432537,,,,,,,,0.017422795295715332,,,,,,,,0.02163568791002035,0.02163568791002035,0.02584858052432537,human
XRCC1,0.025822851806879044,,,,,,,,0.02083747647702694,,,,,,,,0.02333016414195299,0.02333016414195299,0.025822851806879044,human
HSPH1,0.02564951404929161,-0.031007107347249985,,0.045370329171419144,0.02229068987071514,0.0144345136359334,,,,,,,0.018966803327202797,,,,0.015950790451218683,0.02062874659895897,0.02564951404929161,human
SECISBP2L,0.025617443025112152,,,0.01801609992980957,-0.018609272316098213,,,,0.026210589334368706,,,,-0.03397585079073906,,,,0.003451801836490631,0.01801609992980957,0.025617443025112152,human
C2orf80,0.025501590222120285,,,,,,,,0.050907764583826065,,0.04043851047754288,,,,,,0.03894928842782974,0.04043851047754288,0.025501590222120285,human
MLH1,0.02529703453183174,,,,,,,,0.02399604208767414,,,,,,,,0.02464653830975294,0.02464653830975294,0.02529703453183174,human
PLOD2,0.02501796744763851,,,,,,,,,,,,,,,,0.02501796744763851,0.02501796744763851,0.02501796744763851,human
LOC100508591,0.02475561574101448,,,,,,,,,,,,,,,,0.02475561574101448,0.02475561574101448,0.02475561574101448,human
LINC00537,0.024497566744685173,,,0.0421459898352623,,,,,,-0.043334152549505234,-0.035915032029151917,,-0.028430482372641563,,,,-0.008207222074270248,-0.028430482372641563,0.024497566744685173,human
MAP7D2,0.024109693244099617,,,,,,,,0.022765763103961945,,,,,,,,0.02343772817403078,0.02343772817403078,0.024109693244099617,human
MIR770,0.02406110055744648,,,,,,,,,,,,,,,,0.02406110055744648,0.02406110055744648,0.02406110055744648,human
ARID3B,0.02392650954425335,,,,,,,,0.019146529957652092,,,,,,,,0.02153651975095272,0.02153651975095272,0.02392650954425335,human
VRTN,0.02387472428381443,,,,,,,,0.025800634175539017,,,,,-0.04054386913776398,,,0.0030438297738631568,0.02387472428381443,0.02387472428381443,human
MRPS30,0.02377924695611,-0.027370091527700424,,,,,,,,,,,,,,,-0.0017954222857952118,-0.0017954222857952118,0.02377924695611,human
PDP1,0.02374381385743618,,,0.018754709511995316,,,,,,,,,,,,,0.021249261684715748,0.021249261684715748,0.02374381385743618,human
SLITRK2,0.023625757545232773,-0.018503453582525253,,,,,,,,,,,,,,,0.0025611519813537598,0.0025611519813537598,0.023625757545232773,human
UBAP2,0.02358727529644966,,,,,,,,0.03154091164469719,,0.014452680945396423,,,,,,0.02319362262884776,0.02358727529644966,0.02358727529644966,human
HEATR6,0.023216264322400093,,,,,,,,,,,,,,,,0.023216264322400093,0.023216264322400093,0.023216264322400093,human
ZRSR1,0.023147162050008774,,,,,,,,,,,,,,,,0.023147162050008774,0.023147162050008774,0.023147162050008774,human
PIGZ,0.02313445508480072,-0.017634399235248566,,,,,,,,,,,,,,0.031408246606588364,0.012302767485380173,0.02313445508480072,0.02313445508480072,human
FRMPD2B,0.02275068685412407,,,-0.021075455471873283,,,,,0.021533040329813957,,,,,,,,0.007736090570688248,0.021533040329813957,0.02275068685412407,human
LOC100133130,0.022547218948602676,,,,,,,,0.02884906344115734,-0.022883793339133263,-0.019866157323122025,,,,,,0.0021615829318761826,0.001340530812740326,0.022547218948602676,human
NRCAM,0.02247319184243679,-0.05535048618912697,,-0.022614164277911186,,,0.02662796899676323,,-0.031119326129555702,,,,,,,,-0.011996563151478767,-0.022614164277911186,0.02247319184243679,human
NECAB1,0.022246073931455612,,,,,,,,0.018419627100229263,,,,,,,,0.020332850515842438,0.020332850515842438,0.022246073931455612,human
GPAT2,0.022198952734470367,,,,,,,,0.02357509173452854,,,,,,,,0.022887022234499454,0.022887022234499454,0.022198952734470367,human
H1F0,0.022096099331974983,-0.024422716349363327,0.01985367201268673,,0.014769749715924263,,0.013208625838160515,,,,,,-0.015918977558612823,,,,0.004931075498461723,0.013989187777042389,0.022096099331974983,human
ZBBX,0.02195783518254757,,,,,,,,,,0.01453033834695816,,,,,,0.018244086764752865,0.018244086764752865,0.02195783518254757,human
LRRC16B,0.021940922364592552,,,,,,,,,,,,,,,,0.021940922364592552,0.021940922364592552,0.021940922364592552,human
SLC17A6,0.02182506024837494,,,,,,,,0.025167303159832954,,,,,,,,0.023496181704103947,0.023496181704103947,0.02182506024837494,human
ABCA17P,0.021731838583946228,,,,,,,,,0.013154846616089344,,,,,,,0.017443342600017786,0.017443342600017786,0.021731838583946228,human
GOLGB1,0.02161465771496296,,,,,,,,0.024459833279252052,,,,,,,,0.023037245497107506,0.023037245497107506,0.02161465771496296,human
NPIPA1,0.021603967994451523,,,0.02001838944852352,0.06691598892211914,,,-0.014887084253132343,0.0218326598405838,,,,,,-0.021456660702824593,,0.01567121020828684,0.020811178721487522,0.021603967994451523,human
GADD45A,0.021566810086369514,,,,,,,0.020835598930716515,,0.013973930850625038,,,,,,,0.018792113289237022,0.020835598930716515,0.021566810086369514,human
ORC3,0.021342376247048378,,,,,,,,0.031097451224923134,,,,,,,,0.026219913735985756,0.026219913735985756,0.021342376247048378,human
GABRG2,0.021172000095248222,,,0.01598055474460125,0.01442398689687252,,,0.02605125680565834,,,,-0.017517264932394028,,,,0.01906798966228962,0.01319642054537932,0.017524272203445435,0.021172000095248222,human
ALG9,0.021153969690203667,,,,,,,,,,,,,,,,0.021153969690203667,0.021153969690203667,0.021153969690203667,human
NOP58,0.021001510322093964,0.023872194811701775,,,,,,,0.037327058613300323,0.0291750431060791,-0.015993017703294754,,,,,,0.019076557829976082,0.023872194811701775,0.021001510322093964,human
RORB,0.020967578515410423,,,,,,,,,,,,,,,,0.020967578515410423,0.020967578515410423,0.020967578515410423,human
ATRNL1,0.02094735950231552,-0.018111297860741615,,,,,,,,,,,,,,,0.001418030820786953,0.001418030820786953,0.02094735950231552,human
ANKRD49,0.02093304879963398,,,,,,,,0.02478872239589691,-0.019512303173542023,-0.01484916266053915,,,,,,0.0028400763403624296,0.0030419430695474148,0.02093304879963398,human
SLMO2-ATP5E,0.020902931690216064,,,,,,,,0.020733285695314407,,0.018292192369699478,,,,,,0.01997613658507665,0.020733285695314407,0.020902931690216064,human
LOC283070,0.020882820710539818,,,,,,,,,,,,-0.017855379730463028,,,,0.001513720490038395,0.001513720490038395,0.020882820710539818,human
LOC100506497,0.020838290452957153,,,,,,,,,,,,,,,,0.020838290452957153,0.020838290452957153,0.020838290452957153,human
HMX1,0.020767079666256905,,,,,,,,,,,,,-0.02149503491818905,,,-0.0003639776259660721,-0.0003639776259660721,0.020767079666256905,human
GP1BB,0.020697100088000298,,,,,,,,,,,,,,,,0.020697100088000298,0.020697100088000298,0.020697100088000298,human
PPL,0.02044186182320118,-0.025899376720190048,,,,,,,,,,,,,,,-0.0027287574484944344,-0.0027287574484944344,0.02044186182320118,human
TESK1,0.020383736118674278,,,,,,,,0.03268253058195114,,,,,,,,0.02653313335031271,0.02653313335031271,0.020383736118674278,human
SNORD50B,0.020353466272354126,,,,,,,,,,,,,,,,0.020353466272354126,0.020353466272354126,0.020353466272354126,human
C9orf91,0.02022864855825901,,,,,,,,,,0.021999455988407135,,,,,,0.021114052273333073,0.021114052273333073,0.02022864855825901,human
ATP6V1D,0.020178863778710365,,,,,,,,,,,,-0.014987288042902946,,,0.026098476722836494,0.010430017486214638,0.020178863778710365,0.020178863778710365,human
METTL1,0.02014557644724846,,,,,,,,0.028541281819343567,,,,,,,,0.024343429133296013,0.024343429133296013,0.02014557644724846,human
CTNNAL1,0.019870558753609657,,,,,,,,0.02055402472615242,,,,,,,,0.02021229173988104,0.02021229173988104,0.019870558753609657,human
NKD2,0.019796302542090416,,,,,,,,,,,,,,,,0.019796302542090416,0.019796302542090416,0.019796302542090416,human
GNAO1,0.019745588302612305,,,,-0.02432524412870407,,,,,,,,,,,,-0.002289827913045883,-0.002289827913045883,0.019745588302612305,human
TCTEX1D1,0.01949213445186615,,,,,,,,,,,,,,,,0.01949213445186615,0.01949213445186615,0.01949213445186615,human
LOC284219,0.01945459470152855,,,,,,,,0.02443941868841648,,,,,,,,0.021947006694972515,0.021947006694972515,0.01945459470152855,human
VCY1B,0.019381187856197357,,,,,,,,0.028234492987394333,,,,,,,,0.023807840421795845,0.023807840421795845,0.019381187856197357,human
ANKRD36B,0.01930452696979046,,,,0.02493320032954216,,,,,,,,-0.04363149777054787,,,,0.0002020765095949173,0.01930452696979046,0.01930452696979046,human
CCDC184,0.019219407811760902,,,,,,,,0.018020911142230034,,,,,,,,0.018620159476995468,0.018620159476995468,0.019219407811760902,human
SCN1A,0.01919579692184925,-0.017530500888824463,,,,,,,,,,,,,,,0.000832648016512394,0.000832648016512394,0.01919579692184925,human
PKD1P1,0.01918189972639084,-0.021214254200458527,,0.015106845647096634,0.07387179881334305,,,-0.04837559908628464,,,,,0.02638038620352745,,-0.015386135317385197,,0.007080705969461373,0.015106845647096634,0.01918189972639084,human
FAM136A,0.019178783521056175,,,,,,,,,,,,,,,,0.019178783521056175,0.019178783521056175,0.019178783521056175,human
CSMD3,0.019174622371792793,,,,,,,,0.028322698548436165,,,,,,,,0.02374866046011448,0.02374866046011448,0.019174622371792793,human
KCTD6,0.018861766904592514,,,,,,,,,,,,,,,,0.018861766904592514,0.018861766904592514,0.018861766904592514,human
NDUFB5,0.01885303482413292,,,,,,,,0.04343288764357567,,,0.021936535835266113,,,,,0.028074152767658234,0.021936535835266113,0.01885303482413292,human
ATG9A,0.018704932183027267,,,,,,,,0.016562165692448616,,,,,,,,0.017633548937737942,0.017633548937737942,0.018704932183027267,human
ZNF37A,0.01864871196448803,,,,,,,,0.017170239239931107,0.023552216589450836,0.026266377419233322,,,,,,0.021409386303275824,0.021100464276969433,0.01864871196448803,human
EEF1A2,0.01858571358025074,-0.024918396025896072,,0.06487301737070084,0.026715748012065887,,,0.07803616672754288,,,,,0.05349615961313248,,,,0.03613140154629946,0.04010595381259918,0.01858571358025074,human
EPN3,0.018515873700380325,-0.017737966030836105,,,,,,,,,,,,,,,0.00038895383477211,0.00038895383477211,0.018515873700380325,human
NECAB2,0.018395787104964256,-0.019296295940876007,,,0.023288313299417496,,,,,,,,,,,,0.007462601487835248,0.018395787104964256,0.018395787104964256,human
RAB10,0.018338505178689957,,,,,,,,0.026915285736322403,,,,,,-0.01419492345303297,,0.010352955820659796,0.018338505178689957,0.018338505178689957,human
DUSP22,0.018323911353945732,,,,,,,,,,,,,,,,0.018323911353945732,0.018323911353945732,0.018323911353945732,human
FAM216A,0.018295878544449806,,,,,,,,,,,,,,,,0.018295878544449806,0.018295878544449806,0.018295878544449806,human
MPLKIP,0.018175914883613586,,,,,,,,,,,,,,,,0.018175914883613586,0.018175914883613586,0.018175914883613586,human
CNTNAP2,0.018084930256009102,,,,,,,,,,,0.038426682353019714,,,,,0.028255806304514408,0.028255806304514408,0.018084930256009102,human
GTF2H3,0.01804892159998417,,,,,,,,,,,,-0.014535266906023026,,,,0.0017568273469805717,0.0017568273469805717,0.01804892159998417,human
MFSD1,0.018040964379906654,,,,,,,,,-0.017948050051927567,,,,,-0.038732949644327164,,-0.012880011772116026,-0.017948050051927567,0.018040964379906654,human
TRIM73,0.017946826294064522,0.023922152817249298,,,,,,,0.03304104506969452,0.09911955893039703,0.08615851402282715,,,,,,0.0520376194268465,0.03304104506969452,0.017946826294064522,human
LOC283683,0.01793612167239189,-0.021096955984830856,,,,,,,,,,,,,,,-0.0015804171562194824,-0.0015804171562194824,0.01793612167239189,human
