gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
TM4SF1,2.033676798892954,2.033676798892954,2.033676798892954,human,UP
CRYAB,1.998147942642927,1.998147942642927,1.998147942642927,human,UP
PAEP,1.680800538603236,1.680800538603236,1.680800538603236,human,UP
G0S2,1.676904524683193,1.676904524683193,1.676904524683193,human,UP
SFN,1.639321263352967,1.639321263352967,1.639321263352967,human,UP
CCL20,1.546052756876433,1.546052756876433,1.546052756876433,human,UP
SOD2,1.383071416999373,1.383071416999373,1.383071416999373,human,UP
AQP3,1.370689381467526,1.370689381467526,1.370689381467526,human,UP
SPP1,1.360962835721324,1.360962835721324,1.360962835721324,human,UP
HSPA6,1.324329777867766,1.324329777867766,1.324329777867766,human,UP
SERPINB1,1.29436120721278,1.29436120721278,1.29436120721278,human,UP
PHLDA2,1.222713202560385,1.222713202560385,1.222713202560385,human,UP
ISG20,1.213695549254475,1.213695549254475,1.213695549254475,human,UP
CEBPD,1.190213732100228,1.190213732100228,1.190213732100228,human,UP
CD55,1.137919984398817,1.137919984398817,1.137919984398817,human,UP
TMEM265,1.083189472521105,1.083189472521105,1.083189472521105,human,UP
S100A10,1.080083551830135,1.080083551830135,1.080083551830135,human,UP
KRT7,1.05616062223817,1.05616062223817,1.05616062223817,human,UP
SQSTM1,1.047737086595568,1.047737086595568,1.047737086595568,human,UP
ANXA2,1.026996192976475,1.026996192976475,1.026996192976475,human,UP
TNFRSF12A,1.025218729715965,1.025218729715965,1.025218729715965,human,UP
BIRC3,1.000343666860517,1.000343666860517,1.000343666860517,human,UP
GADD45A,0.9853167804539792,0.9853167804539792,0.9853167804539792,human,UP
NUPR1,0.97971209812717,0.97971209812717,0.97971209812717,human,UP
PNRC1,0.9751882537853304,0.9751882537853304,0.9751882537853304,human,UP
CLDN4,0.9628862614331736,0.9628862614331736,0.9628862614331736,human,UP
LGALS3,0.95933015411515,0.95933015411515,0.95933015411515,human,UP
LAMB3,0.957657074849056,0.957657074849056,0.957657074849056,human,UP
TSC22D1,0.9292840327672124,0.9292840327672124,0.9292840327672124,human,UP
KRT18,0.9262972484633596,0.9262972484633596,0.9262972484633596,human,UP
DENND2C,0.8975293427941722,0.8975293427941722,0.8975293427941722,human,UP
SCGB1D4,0.8827584746108066,0.8827584746108066,0.8827584746108066,human,UP
CXCL14,0.8808296304415508,0.8808296304415508,0.8808296304415508,human,UP
ZFAND2A,0.880139186254787,0.880139186254787,0.880139186254787,human,UP
TMC5,0.8748331718933817,0.8748331718933817,0.8748331718933817,human,UP
FTL,0.8607803114388939,0.8607803114388939,0.8607803114388939,human,UP
CD24,0.8536184397087769,0.8536184397087769,0.8536184397087769,human,UP
SLPI,0.8406356710897382,0.8406356710897382,0.8406356710897382,human,UP
FTH1,0.8287340401558305,0.8287340401558305,0.8287340401558305,human,UP
HSPA1A,0.8254673686340976,0.8254673686340976,0.8254673686340976,human,UP
LMO7,0.8216221840536682,0.8216221840536682,0.8216221840536682,human,UP
PDK4,0.821261904283271,0.821261904283271,0.821261904283271,human,UP
SH3BGRL3,0.7970547932551808,0.7970547932551808,0.7970547932551808,human,UP
PNPLA8,0.7948813676314681,0.7948813676314681,0.7948813676314681,human,UP
RGCC,0.785937105577331,0.785937105577331,0.785937105577331,human,UP
UBC,0.7815738016973022,0.7815738016973022,0.7815738016973022,human,UP
FRMD4B,0.7728534484529814,0.7728534484529814,0.7728534484529814,human,UP
SGK1,0.7625996214173298,0.7625996214173298,0.7625996214173298,human,UP
SGMS2,0.7578105372665025,0.7578105372665025,0.7578105372665025,human,UP
LMNA,0.7565510916613292,0.7565510916613292,0.7565510916613292,human,UP
CKB,0.7334007210391436,0.7334007210391436,0.7334007210391436,human,UP
HLA-E,0.7316206358937136,0.7316206358937136,0.7316206358937136,human,UP
JUP,0.7280557645639343,0.7280557645639343,0.7280557645639343,human,UP
ELF3,0.72320964409887,0.72320964409887,0.72320964409887,human,UP
LDHA,0.7119476115399896,0.7119476115399896,0.7119476115399896,human,UP
ETS2,0.7118163259789969,0.7118163259789969,0.7118163259789969,human,UP
PPP1R15A,0.7076484856765561,0.7076484856765561,0.7076484856765561,human,UP
FAM107B,0.7062636243569664,0.7062636243569664,0.7062636243569664,human,UP
RAB9A,0.6946635848163003,0.6946635848163003,0.6946635848163003,human,UP
HSPA5,0.6870150395960342,0.6870150395960342,0.6870150395960342,human,UP
NFKBIZ,0.6838978061240768,0.6838978061240768,0.6838978061240768,human,UP
DUSP14,0.679250525736798,0.679250525736798,0.679250525736798,human,UP
HES4,0.6789620042770425,0.6789620042770425,0.6789620042770425,human,UP
MT2A,0.6721795044355989,0.6721795044355989,0.6721795044355989,human,UP
HMOX1,0.670582382871687,0.670582382871687,0.670582382871687,human,UP
S100A14,0.6663374986381213,0.6663374986381213,0.6663374986381213,human,UP
S100A13,0.6649935332099144,0.6649935332099144,0.6649935332099144,human,UP
BTG1,0.6606766619342559,0.6606766619342559,0.6606766619342559,human,UP
MAFF,0.6586648451364534,0.6586648451364534,0.6586648451364534,human,UP
ARID5B,0.6444094806030669,0.6444094806030669,0.6444094806030669,human,UP
TPT1,0.6432469633354927,0.6432469633354927,0.6432469633354927,human,UP
DDIT4,0.6414496258394063,0.6414496258394063,0.6414496258394063,human,UP
BAG3,0.6347926253646581,0.6347926253646581,0.6347926253646581,human,UP
OCLN,0.6322357047918719,0.6322357047918719,0.6322357047918719,human,UP
CFLAR,0.6306766814127112,0.6306766814127112,0.6306766814127112,human,UP
DNAJB1,0.6298231575873459,0.6298231575873459,0.6298231575873459,human,UP
SAA2,0.6174767602756523,0.6174767602756523,0.6174767602756523,human,UP
GADD45B,0.6143070786663603,0.6143070786663603,0.6143070786663603,human,UP
NCOA7,0.6067096132289009,0.6067096132289009,0.6067096132289009,human,UP
LITAF,0.6028576415274176,0.6028576415274176,0.6028576415274176,human,UP
RRAD,0.6003799664197955,0.6003799664197955,0.6003799664197955,human,UP
HERPUD1,0.6002535326520619,0.6002535326520619,0.6002535326520619,human,UP
EIF1,0.5930627868885816,0.5930627868885816,0.5930627868885816,human,UP
GPX3,0.5907173834448565,0.5907173834448565,0.5907173834448565,human,UP
YWHAG,0.5786310155980472,0.5786310155980472,0.5786310155980472,human,UP
RHOB,0.5725412599906745,0.5725412599906745,0.5725412599906745,human,UP
NDRG1,0.5713609774415873,0.5713609774415873,0.5713609774415873,human,UP
HSPB8,0.5620822611354692,0.5620822611354692,0.5620822611354692,human,UP
PERP,0.5595202208268235,0.5595202208268235,0.5595202208268235,human,UP
CD59,0.5570234158267011,0.5570234158267011,0.5570234158267011,human,UP
DNAJB4,0.5552772606800428,0.5552772606800428,0.5552772606800428,human,UP
UBE2D1,0.5519164787873281,0.5519164787873281,0.5519164787873281,human,UP
PEA15,0.5516416759627125,0.5516416759627125,0.5516416759627125,human,UP
UBE2H,0.5489798558871559,0.5489798558871559,0.5489798558871559,human,UP
IRF6,0.5465644359868044,0.5465644359868044,0.5465644359868044,human,UP
LRRFIP2,0.5412499688190997,0.5412499688190997,0.5412499688190997,human,UP
IL18,0.538192572475098,0.538192572475098,0.538192572475098,human,UP
CD44,0.5298023638424045,0.5298023638424045,0.5298023638424045,human,UP
HLA-C,0.5294070649638916,0.5294070649638916,0.5294070649638916,human,UP
NAMPT,0.5256934163930493,0.5256934163930493,0.5256934163930493,human,UP
ZFP36L1,0.5242759757673305,0.5242759757673305,0.5242759757673305,human,UP
IL6ST,0.5240659055913021,0.5240659055913021,0.5240659055913021,human,UP
TDRD9,0.5228648433663505,0.5228648433663505,0.5228648433663505,human,UP
MAP1LC3B,0.5164906771009254,0.5164906771009254,0.5164906771009254,human,UP
DUSP2,0.5117488623880495,0.5117488623880495,0.5117488623880495,human,UP
RIMKLB,0.5108475585147858,0.5108475585147858,0.5108475585147858,human,UP
MGST1,0.5074921827902912,0.5074921827902912,0.5074921827902912,human,UP
MAP3K8,0.5029221012087575,0.5029221012087575,0.5029221012087575,human,UP
CP,0.4983988583772234,0.4983988583772234,0.4983988583772234,human,UP
JPT1,0.498307105287054,0.498307105287054,0.498307105287054,human,UP
ANKRD12,0.4978823900155739,0.4978823900155739,0.4978823900155739,human,UP
HLA-B,0.4973481571619969,0.4973481571619969,0.4973481571619969,human,UP
TUBB2A,0.4953564591060271,0.4953564591060271,0.4953564591060271,human,UP
PARD6B,0.4938633543357648,0.4938633543357648,0.4938633543357648,human,UP
ANKLE2,0.4929384107297889,0.4929384107297889,0.4929384107297889,human,UP
RASD1,0.4923774992629728,0.4923774992629728,0.4923774992629728,human,UP
PLIN2,0.4923194981180155,0.4923194981180155,0.4923194981180155,human,UP
MUC13,0.4887161328300873,0.4887161328300873,0.4887161328300873,human,UP
CLDN3,0.484977887049757,0.484977887049757,0.484977887049757,human,UP
TOB1,0.4836974268682586,0.4836974268682586,0.4836974268682586,human,UP
C11orf96,0.4832798740055131,0.4832798740055131,0.4832798740055131,human,UP
DAAM1,0.4832349067286871,0.4832349067286871,0.4832349067286871,human,UP
ADAM9,0.4827081384562869,0.4827081384562869,0.4827081384562869,human,UP
SDC4,0.4821102085096913,0.4821102085096913,0.4821102085096913,human,UP
PLAAT3,0.4817635089586996,0.4817635089586996,0.4817635089586996,human,UP
CD81,0.4793823665483345,0.4793823665483345,0.4793823665483345,human,UP
CYP4B1,0.4719258299606888,0.4719258299606888,0.4719258299606888,human,UP
ANXA5,0.4668203751759634,0.4668203751759634,0.4668203751759634,human,UP
SERPINH1,0.4662224173852223,0.4662224173852223,0.4662224173852223,human,UP
CEBPB,0.4659912016935874,0.4659912016935874,0.4659912016935874,human,UP
H3F3B,0.4610276420879522,0.4610276420879522,0.4610276420879522,human,UP
IDO1,0.451337511635463,0.451337511635463,0.451337511635463,human,UP
SLC6A6,0.4474098165108027,0.4474098165108027,0.4474098165108027,human,UP
GABARAPL1,0.4467233592316522,0.4467233592316522,0.4467233592316522,human,UP
CAPN2,0.4450180187545691,0.4450180187545691,0.4450180187545691,human,UP
AKAP13,0.441071171838203,0.441071171838203,0.441071171838203,human,UP
YWHAZ,0.4335715798072663,0.4335715798072663,0.4335715798072663,human,UP
NNMT,0.4309394254999049,0.4309394254999049,0.4309394254999049,human,UP
IER5,0.4298579817267976,0.4298579817267976,0.4298579817267976,human,UP
SLC3A2,0.4239995545660564,0.4239995545660564,0.4239995545660564,human,UP
TP53BP2,0.4218051143698509,0.4218051143698509,0.4218051143698509,human,UP
PHACTR4,0.4171903943822937,0.4171903943822937,0.4171903943822937,human,UP
WASHC2A,0.4171831557911935,0.4171831557911935,0.4171831557911935,human,UP
MISP,0.4169285759344186,0.4169285759344186,0.4169285759344186,human,UP
S100A6,0.4148335487241264,0.4148335487241264,0.4148335487241264,human,UP
AKR1C3,0.4081555212426519,0.4081555212426519,0.4081555212426519,human,UP
MACC1,0.4071518891445531,0.4071518891445531,0.4071518891445531,human,UP
BHLHE40,0.4064531359878976,0.4064531359878976,0.4064531359878976,human,UP
SLC20A1,0.4064411793682718,0.4064411793682718,0.4064411793682718,human,UP
POLD4,0.4063376267499582,0.4063376267499582,0.4063376267499582,human,UP
RPL10,0.4050943030348693,0.4050943030348693,0.4050943030348693,human,UP
RNF144B,0.4024948424509422,0.4024948424509422,0.4024948424509422,human,UP
FAM177A1,0.3935037493776057,0.3935037493776057,0.3935037493776057,human,UP
ZNF749,0.3932062779171043,0.3932062779171043,0.3932062779171043,human,UP
SERP1,0.3931844422261128,0.3931844422261128,0.3931844422261128,human,UP
CLIC1,0.3929946593473232,0.3929946593473232,0.3929946593473232,human,UP
GBP2,0.3926410230962327,0.3926410230962327,0.3926410230962327,human,UP
MT1E,0.3902052100425595,0.3902052100425595,0.3902052100425595,human,UP
SLC7A2,0.3884101726465448,0.3884101726465448,0.3884101726465448,human,UP
SELENOK,0.3881508190373155,0.3881508190373155,0.3881508190373155,human,UP
HSP90AA1,0.3870644351949828,0.3870644351949828,0.3870644351949828,human,UP
DNAJB9,0.386901482786129,0.386901482786129,0.386901482786129,human,UP
LDHB,0.3847693603638751,0.3847693603638751,0.3847693603638751,human,UP
HSPD1,0.3843811396608499,0.3843811396608499,0.3843811396608499,human,UP
ANXA3,0.3782151753613898,0.3782151753613898,0.3782151753613898,human,UP
CALD1,0.3775919303764863,0.3775919303764863,0.3775919303764863,human,UP
FEM1C,0.3765038705863143,0.3765038705863143,0.3765038705863143,human,UP
C2CD4B,0.3764519207070847,0.3764519207070847,0.3764519207070847,human,UP
PAX8,0.3762209693402859,0.3762209693402859,0.3762209693402859,human,UP
DUSP1,0.3716008313447352,0.3716008313447352,0.3716008313447352,human,UP
HIF1A,0.3697206245000715,0.3697206245000715,0.3697206245000715,human,UP
ADM,0.3673694289607946,0.3673694289607946,0.3673694289607946,human,UP
