"exp_id","cmap_score","p.x","q","subset_comparison_id","analysis_id","name","concentration","duration","cell_line","array_platform","vehicle","vendor","vendor_catalog_id","vendor_catalog_name","drug_concept_id","cas_number","DrugBank.ID","drug_name","r","p.y","num_peers","valid"
4828,-0.495582270127979,0.00042,0.0126714975845411,"file16e92d1b5d13_logFC_0","CMAP","acetylsalicylic acid",1e-04,6,"HL60","HT_HG-U133A","DMSO","Sigma-Aldrich","A2093","aspirin, USP","EXPT00475","NULL","DB00945","acetylsalicylic acid",0.285605182686861,8.15020658420263e-244,12,1
5962,-0.409593705998292,0.00929,0.0759638069705094,"file16e92d1b5d13_logFC_0","CMAP","aminoglutethimide",1.72e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","244","Glutethimide, para-amino [125-84-8]","C0002555","125-84-8","DB00357","aminoglutethimide",0.241393055728099,1.20453070882504e-172,2,1
1649,-0.400353843134576,0.01221,0.0900616686819831,"file16e92d1b5d13_logFC_0","CMAP","amiodarone",5.8e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","409","Amiodarone hydrochloride [19774-82-4]","C0700442","19774-82-4","DB01118","amiodarone",0.31709465055229,4.05790988226711e-303,4,1
5244,-0.371185388573699,0.02658,0.148206581352834,"file16e92d1b5d13_logFC_0","CMAP","amoxapine",1.28e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","102","Amoxapine [14028-44-5]","C0002644","14028-44-5","DB00543","amoxapine",0.179759757128063,2.35073865713597e-95,4,1
1895,-0.425028446388377,0.00594,0.0586500802568218,"file16e92d1b5d13_logFC_0","CMAP","amrinone",2.14e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","800","Amrinone [60719-84-8]","NULL","60719-84-8","DB01427","amrinone",0.177067576722764,1.56160831682166e-92,3,1
1179,-0.32622896457705,0.07628,0.319799312714777,"file16e92d1b5d13_logFC_0","CMAP","baclofen",1.88e-05,6,"PC3","HG-U133A","DMSO","Prestwick Chemical","85","Baclofen (R,S) [1134-47-0]","C0004609","1134-47-0","DB00181","baclofen",0.333325044152497,0,4,1
2565,-0.462385008657374,0.00173,0.0293054830287206,"file16e92d1b5d13_logFC_0","CMAP","bendroflumethiazide",9.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","784","Bendroflumethiazide [73-48-3]","C0004975","73-48-3","DB00436","bendroflumethiazide",0.259289781144041,8.27692562874867e-200,5,1
1079,-0.485662943496914,0.00067,0.01675,"file16e92d1b5d13_logFC_0","CMAP","benzonatate",6.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","12","Benzonatate [104-31-4]","C0053229","104-31-4","DB00868","benzonatate",0.181668671579959,2.20073321849048e-97,4,1
2480,-0.42397873819574,0.00611,0.0596336,"file16e92d1b5d13_logFC_0","CMAP","benzthiazide",9.2e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","824","Benzthiazide [91-33-8]","C0053245","91-33-8","DB00562","benzthiazide",0.393395904054622,0,3,1
552,-0.388830209284052,0.01695,0.110701284796574,"file16e92d1b5d13_logFC_0","CMAP","bezafibrate",1.1e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","378","Bezafibrate [41859-67-0]","C0005330","41859-67-0","DB01393","bezafibrate",0.218733624689008,2.34521718838526e-141,3,1
1650,-0.436176334600659,0.00413,0.0473552631578947,"file16e92d1b5d13_logFC_0","CMAP","bisacodyl",1.1e-05,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","419","Bisacodyl [603-50-9]","C0005632","603-50-9","DB09020","bisacodyl",0.179464001215756,4.82472447872698e-95,3,1
2331,-0.347497677336717,0.0469,0.221603408210689,"file16e92d1b5d13_logFC_0","CMAP","bupropion",1.44e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","249","Bupropion hydrochloride [31677-93-7]","C0700563","31677-93-7","DB01156","bupropion",0.22033924681864,1.84090845929467e-143,3,1
4129,-0.377292374627996,0.02301,0.136140640155189,"file16e92d1b5d13_logFC_0","CMAP","buspirone",9.4e-06,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","369","Buspirone hydrochloride [33386-08-2]","C0006462","33386-08-2","DB00490","buspirone",0.401716791380965,0,3,1
2523,-0.373197169357272,0.02546,0.144875,"file16e92d1b5d13_logFC_0","CMAP","capsaicin",1.3e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","879","Capsaicin [404-86-4]","C0006931","404-86-4","DB06774","capsaicin",0.3701013331232,0,3,1
4286,-0.34622945584816,0.04838,0.226665130568356,"file16e92d1b5d13_logFC_0","CMAP","carbamazepine",1.7e-05,6,"MCF7","HT_HG-U133A","DMSO","Prestwick Chemical","52","Carbamazepine [298-46-4]","C0006949","298-46-4","DB00564","carbamazepine",0.150608392970732,3.56070081260675e-67,7,1
5204,-0.350554304775897,0.04367,0.210916072842439,"file16e92d1b5d13_logFC_0","CMAP","carisoprodol",1.54e-05,6,"PC3","HT_HG-U133A","DMSO","Prestwick Chemical","423","Carisoprodol [78-44-4]","C0007248","78-44-4","DB00395","carisoprodol",0.359771073274513,0,3,1
1731,-0.460219577716659,0.00181,0.0293054830287206,"file16e92d1b5d13_logFC_0","CMAP","cefalotin",9.6e-06,6,"HL60","HT_HG-U133A","DMSO","Prestwick Chemical","719","Cephalothin sodium salt [58-71-9]","NULL","58-71-9","DB00456","cefalotin",0.345894467709088,0,3,1
