"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"8578_at",-0.336937301134493,5.73995949256146,-4.40033840064215,2.6029792652711e-05,4.33808699616087e-05,1.94090716674359,"8578_at"
"594_at",0.336861824216769,6.30070697788697,2.34165073614396,0.0210874390174565,0.0255791496910984,-4.26688590556344,"594_at"
"118663_at",-0.336822328359689,3.87409424082213,-4.80774068711998,5.11262184185762e-06,9.43826115794985e-06,3.49895297807374,"118663_at"
"442191_at",-0.336807213370927,5.22495610361052,-4.63819083529254,1.01685637917612e-05,1.79655736338138e-05,2.83950104393089,"442191_at"
"26517_at",-0.336777619563394,9.26632759528754,-1.86481031667616,0.0650025727459352,0.0754398130383987,-5.22860108297348,"26517_at"
"5239_at",-0.336700227121597,5.9838181974787,-3.89890714202779,0.000170594456216079,0.000257058764243796,0.156122556722353,"5239_at"
"51231_at",-0.33664087446357,8.32753391842958,-2.66314444974265,0.00896157307715733,0.0113237223436241,-3.50808863945533,"51231_at"
"63036_at",-0.336633519033522,3.95656420178649,-4.42564435434582,2.35863779593815e-05,3.95532841686426e-05,2.03497478271572,"63036_at"
"101928762_at",-0.336625525984564,6.5827143587619,-3.86842413591724,0.000190351455740171,0.000285255630944595,0.0527212895005222,"101928762_at"
"643355_at",-0.33649272915477,4.07888602215706,-5.16648221172306,1.1410974773751e-06,2.32348317361347e-06,4.94248263687893,"643355_at"
"23186_at",0.336470252384966,7.24586928224254,5.67135475064847,1.25811181756365e-07,3.04912002732771e-07,7.07497064698027,"23186_at"
"63976_at",-0.336469844429923,4.00236323564649,-5.14584672673151,1.24588168838737e-06,2.52230089987417e-06,4.85774859870513,"63976_at"
"200261_at",-0.336438635096165,4.44342158001499,-4.70663288256004,7.71724453027151e-06,1.38764077385957e-05,3.10385831314532,"200261_at"
"388182_at",-0.336349870983808,4.91034307842717,-5.27223427339284,7.25318940903249e-07,1.52665774614284e-06,5.37983688780349,"388182_at"
"283777_at",-0.336343165225269,4.69189029636425,-4.21154028073009,5.37192478783966e-05,8.57732538421605e-05,1.25087481237709,"283777_at"
"174_at",-0.336272452297383,5.46027112430335,-4.12742712843448,7.3714034476733e-05,0.000115776589650468,0.950338431659302,"174_at"
"2840_at",-0.336266909327799,4.25253437723145,-5.11106443518951,1.44411798114926e-06,2.89473654230955e-06,4.71538048000889,"2840_at"
"3636_at",-0.336206414657482,9.04483571745931,-4.07397377293508,8.99417301416927e-05,0.000139933647290174,0.761632140566441,"3636_at"
"9464_at",-0.33618732751614,8.07972160635446,-1.79342948543242,0.075785055673976,0.0872222204981304,-5.35512257946988,"9464_at"
"8590_at",-0.336146912658557,4.35805428316455,-4.04595325102109,9.97636922777013e-05,0.000154639384988001,0.663424020713974,"8590_at"
"5444_at",-0.336144898461859,4.09641486586616,-5.06209280327493,1.77619654382327e-06,3.50719201886213e-06,4.51591378076144,"5444_at"
"11185_at",-0.336100749652863,5.11903919640833,-3.74710817461929,0.000292791875821833,0.000429282999765983,-0.352765964607492,"11185_at"
"641977_at",0.33602175566893,5.85265379327912,2.35763047426556,0.0202460333354543,0.0246007679940352,-4.23122477921993,"641977_at"
"79753_at",0.336000640195451,7.02612612564419,5.91688112386757,4.15471994756846e-08,1.10387106645326e-07,8.15007153187286,"79753_at"
"8548_at",0.335943969265293,4.25019034347377,6.7398889349475,8.78240402316992e-10,3.44435695980495e-09,11.9057873754317,"8548_at"
"160518_at",0.335916629804207,4.74319756909737,6.83304836655797,5.60807320649286e-10,2.32119158540715e-09,12.3436531263892,"160518_at"
"29015_at",-0.335897412707559,7.46924537251532,-3.37447460556215,0.00103734511921717,0.00143895018771887,-1.5353575780136,"29015_at"
"10052_at",0.335878933139693,6.06865342276383,3.8896653799837,0.000176367706447883,0.000265289770809108,0.124709681598027,"10052_at"
"2557_at",-0.335876605854321,4.85648817261978,-5.2344633589479,8.53212863299848e-07,1.77595897691638e-06,5.22303671552661,"2557_at"
"9881_at",-0.335827055541838,7.10849749739783,-3.13638563289513,0.00221970118297204,0.00298114077052186,-2.23881663056926,"9881_at"
"27165_at",-0.335820533645212,4.40556064101992,-5.0481317797246,1.88378271546482e-06,3.70462798997517e-06,4.45926097570625,"27165_at"
"53944_at",0.335746348098299,6.20021713863135,6.31216703927648,6.68505393856299e-09,2.10529212845782e-08,9.92693927748449,"53944_at"
"164633_at",-0.33563522848192,4.89033377613281,-5.5350470846135,2.3048803800715e-07,5.31799613712376e-07,6.48843344417317,"164633_at"
"2587_at",-0.335556910755466,3.7462832711232,-6.9203351473595,3.67668463624319e-10,1.60104609032325e-09,12.7559629630392,"2587_at"
"100885798_at",-0.335555247837678,4.13701751288779,-5.67613696512968,1.23151221575918e-07,2.9888976572999e-07,7.09568605897069,"100885798_at"
"57215_at",-0.335529333746028,8.62073735466118,-2.3683464258847,0.0196985644324819,0.0239710921306338,-4.20718852673554,"57215_at"
"27178_at",-0.335468548983424,5.95194764202798,-5.72665452340337,9.82145710901791e-08,2.4276906892859e-07,7.31507299900182,"27178_at"
"64772_at",-0.335435552459948,7.96620360435363,-4.53879114417769,1.51149045519739e-05,2.60905605257755e-05,2.46012300699889,"64772_at"
"107_at",-0.33530429803052,6.45784083165647,-3.18062447075165,0.0019327187052553,0.00261284384625459,-2.11130114554308,"107_at"
"541471_at",0.335197764008967,5.72299640883653,2.95681162189216,0.00384017153245759,0.00503630665669129,-2.74112386409742,"541471_at"
"3697_at",-0.335162811746023,4.53144110282722,-4.1719739525654,6.23717777704548e-05,9.88337197996439e-05,1.1089650567014,"3697_at"
"107984749_at",-0.334991893378371,3.85096749098214,-6.10448549104526,1.75677558141766e-08,5.03509038894072e-08,8.9866599196091,"107984749_at"
"131_at",-0.334903137643669,4.31808853602075,-5.34348253813151,5.33057631307591e-07,1.14745192514761e-06,5.67737443156072,"131_at"
"443_at",-0.334842583434261,5.53237266457631,-2.70174499420977,0.00804533618808793,0.0102246349718819,-3.41122797576145,"443_at"
"133482_at",-0.33482498508534,4.75749736112122,-5.02177160836413,2.10449705301665e-06,4.10812389230313e-06,4.35255193377933,"133482_at"
"79991_at",0.334814035120003,7.07617167438567,2.987443543585,0.00350292604294204,0.00461291784401317,-2.6571964050079,"79991_at"
"100129427_at",-0.334759386009272,4.44413350868727,-4.78917557656613,5.51614276601554e-06,1.01338716070908e-05,3.42601394540863,"100129427_at"
