gene_symbol,mean_logfc,median_logfc,common_experiment,organism
RABIF,0.0047116208923173,0.0047116208923173,0.0047116208923173,human
PUSL1,-0.1784399309109949,-0.1784399309109949,-0.1784399309109949,human
SRFBP1,-0.1565548425939376,-0.1565548425939376,-0.1565548425939376,human
B2M,0.1511846041780966,0.1511846041780966,0.1511846041780966,human
DNMT3A,-0.0894104461111048,-0.0894104461111048,-0.0894104461111048,human
HLA-B,0.4033841899060153,0.4033841899060153,0.4033841899060153,human
SETD1B,-0.1032907503131106,-0.1032907503131106,-0.1032907503131106,human
PRIM2,0.0125808216968662,0.0125808216968662,0.0125808216968662,human
ERCC1,-0.232579554181953,-0.232579554181953,-0.232579554181953,human
LINC02832,-0.0086033815976469,-0.0086033815976469,-0.0086033815976469,human
SNAPC4,-0.0787234077094931,-0.0787234077094931,-0.0787234077094931,human
CD74,1.204923773393263,1.204923773393263,1.204923773393263,human
ARID3B,-0.1743255977152009,-0.1743255977152009,-0.1743255977152009,human
RIDA,-0.3148739749003348,-0.3148739749003348,-0.3148739749003348,human
CATSPERD,0.2321286975627586,0.2321286975627586,0.2321286975627586,human
EIF1AD,-0.1143692390886859,-0.1143692390886859,-0.1143692390886859,human
THAP3,-0.1523927914590354,-0.1523927914590354,-0.1523927914590354,human
MOSPD3,-0.0412700201165027,-0.0412700201165027,-0.0412700201165027,human
HAUS1,-0.1625657983428535,-0.1625657983428535,-0.1625657983428535,human
LRRC57,-0.0272298454028134,-0.0272298454028134,-0.0272298454028134,human
ABHD6,-0.095852411512462,-0.095852411512462,-0.095852411512462,human
TMEM234,-0.207268182980687,-0.207268182980687,-0.207268182980687,human
CACNB3,-0.2382185846255438,-0.2382185846255438,-0.2382185846255438,human
LINC00467,-0.2798605362785733,-0.2798605362785733,-0.2798605362785733,human
LMNTD1,-0.0678983255648649,-0.0678983255648649,-0.0678983255648649,human
MRPS27,-0.0026435849402975,-0.0026435849402975,-0.0026435849402975,human
HLA-A,0.6373696542687626,0.6373696542687626,0.6373696542687626,human
AC108134.4,-0.1691256587178349,-0.1691256587178349,-0.1691256587178349,human
MICOS10,-0.5584879198441475,-0.5584879198441475,-0.5584879198441475,human
C9orf135,-0.4409409744446182,-0.4409409744446182,-0.4409409744446182,human
ITSN1,-0.1289128323670031,-0.1289128323670031,-0.1289128323670031,human
RCE1,-0.2261925848342896,-0.2261925848342896,-0.2261925848342896,human
MLX,-0.0401235110489299,-0.0401235110489299,-0.0401235110489299,human
MRPL18,-0.2692750325867548,-0.2692750325867548,-0.2692750325867548,human
HLA-DRA,1.016741173086696,1.016741173086696,1.016741173086696,human
NARS2,-0.0508559555067272,-0.0508559555067272,-0.0508559555067272,human
LIN7B,-0.0696521313427862,-0.0696521313427862,-0.0696521313427862,human
ST8SIA1,-0.1877746329363127,-0.1877746329363127,-0.1877746329363127,human
DOK1,-0.1625168081477723,-0.1625168081477723,-0.1625168081477723,human
PPP6R1,-0.036852994067148,-0.036852994067148,-0.036852994067148,human
MNS1,-0.0959215012366063,-0.0959215012366063,-0.0959215012366063,human
TCIM,-0.3819290452744035,-0.3819290452744035,-0.3819290452744035,human
CREG1,-0.076236199669018,-0.076236199669018,-0.076236199669018,human
GDF15,-0.1485085132309223,-0.1485085132309223,-0.1485085132309223,human
MZT2A,-0.6137594402265907,-0.6137594402265907,-0.6137594402265907,human
CLCN7,-0.0136699427788561,-0.0136699427788561,-0.0136699427788561,human
APOBEC4,-0.0716427323708659,-0.0716427323708659,-0.0716427323708659,human
LINC01480,-0.2438126261573421,-0.2438126261573421,-0.2438126261573421,human
ZCRB1,-0.0878408223219509,-0.0878408223219509,-0.0878408223219509,human
HLA-DRB1,0.8125608603073079,0.8125608603073079,0.8125608603073079,human
DMXL2,0.0174186990408249,0.0174186990408249,0.0174186990408249,human
