gene_symbol,mean_logfc,median_logfc,common_experiment,organism
CRYAB,1.998147942642927,1.998147942642927,1.998147942642927,human
ZFAND2A,0.880139186254787,0.880139186254787,0.880139186254787,human
CD24,0.8536184397087769,0.8536184397087769,0.8536184397087769,human
DNAJB1,0.6298231575873459,0.6298231575873459,0.6298231575873459,human
HSPA6,1.324329777867766,1.324329777867766,1.324329777867766,human
G0S2,1.676904524683193,1.676904524683193,1.676904524683193,human
MT-ND4,-0.3343117424758715,-0.3343117424758715,-0.3343117424758715,human
MT-CO1,-0.1161115615223363,-0.1161115615223363,-0.1161115615223363,human
FTL,0.8607803114388939,0.8607803114388939,0.8607803114388939,human
UBC,0.7815738016973022,0.7815738016973022,0.7815738016973022,human
ZNF295-AS1,-1.366326391899375,-1.366326391899375,-1.366326391899375,human
MT-ND3,-0.3812912018175947,-0.3812912018175947,-0.3812912018175947,human
HSPA1A,0.8254673686340976,0.8254673686340976,0.8254673686340976,human
CEL,-1.263458000282147,-1.263458000282147,-1.263458000282147,human
MT-CO3,0.0003883503584987,0.0003883503584987,0.0003883503584987,human
SLPI,0.8406356710897382,0.8406356710897382,0.8406356710897382,human
AL357093.2,-1.441036640725604,-1.441036640725604,-1.441036640725604,human
PGR,-1.167526769276384,-1.167526769276384,-1.167526769276384,human
UBB,0.2782846880608361,0.2782846880608361,0.2782846880608361,human
DDIT4,0.6414496258394063,0.6414496258394063,0.6414496258394063,human
CKB,0.7334007210391436,0.7334007210391436,0.7334007210391436,human
B2M,0.3141121889065452,0.3141121889065452,0.3141121889065452,human
TM4SF1,2.033676798892954,2.033676798892954,2.033676798892954,human
TSC22D1,0.9292840327672124,0.9292840327672124,0.9292840327672124,human
SERPING1,0.2406945750839409,0.2406945750839409,0.2406945750839409,human
TMC5,0.8748331718933817,0.8748331718933817,0.8748331718933817,human
RARRES2,-1.114468811301433,-1.114468811301433,-1.114468811301433,human
PPP1R15A,0.7076484856765561,0.7076484856765561,0.7076484856765561,human
LINC01480,-0.9658951947816689,-0.9658951947816689,-0.9658951947816689,human
MICOS10,-0.9758133774931106,-0.9758133774931106,-0.9758133774931106,human
AC084866.1,-0.9670203556152346,-0.9670203556152346,-0.9670203556152346,human
SERPINH1,0.4662224173852223,0.4662224173852223,0.4662224173852223,human
C1orf194,-0.8662867520969715,-0.8662867520969715,-0.8662867520969715,human
SQSTM1,1.047737086595568,1.047737086595568,1.047737086595568,human
DNAJB4,0.5552772606800428,0.5552772606800428,0.5552772606800428,human
BAG3,0.6347926253646581,0.6347926253646581,0.6347926253646581,human
HSPA5,0.6870150395960342,0.6870150395960342,0.6870150395960342,human
C2orf88,-0.7390767337819895,-0.7390767337819895,-0.7390767337819895,human
MT-CYB,-0.3564286510649204,-0.3564286510649204,-0.3564286510649204,human
MT-ATP6,-0.0448235699975168,-0.0448235699975168,-0.0448235699975168,human
GPX3,0.5907173834448565,0.5907173834448565,0.5907173834448565,human
MT-CO2,-0.3132303072267986,-0.3132303072267986,-0.3132303072267986,human
CLK1,0.3197689068525138,0.3197689068525138,0.3197689068525138,human
PAEP,1.680800538603236,1.680800538603236,1.680800538603236,human
C4BPA,0.3371675129540491,0.3371675129540491,0.3371675129540491,human
ANXA2,1.026996192976475,1.026996192976475,1.026996192976475,human
RARRES1,0.1918408951235954,0.1918408951235954,0.1918408951235954,human
CRIP1,-0.3931683511463788,-0.3931683511463788,-0.3931683511463788,human
PLAAT4,0.0274692209341964,0.0274692209341964,0.0274692209341964,human
TMX4,-0.8133068680948634,-0.8133068680948634,-0.8133068680948634,human
MS4A8,-0.0535095818190636,-0.0535095818190636,-0.0535095818190636,human
RCN2,-0.1180443115957924,-0.1180443115957924,-0.1180443115957924,human
NNMT,0.4309394254999049,0.4309394254999049,0.4309394254999049,human
NUPR1,0.97971209812717,0.97971209812717,0.97971209812717,human
TMEM190,-0.0316301871568347,-0.0316301871568347,-0.0316301871568347,human
