creeds_disease,disease_id,disease_name,disease_synonyms,disease_ontology,match_type,therapeutic_areas
Human_immunodeficiency_virus_infectious_disease,EFO_0000764,HIV infection,"Unspecified human immunodeficiency virus [HIV] disease (disorder)|[X]Unspecified human immunodeficiency virus [HIV] disease (disorder)|Human immunodeficiency virus infection, NOS|HIV Infection|T-Lymphotropic Virus Type III Infections, Human|Infection, HTLV-III-LAV|Human immunodeficiency virus disease (disorder)|Infections, HTLV-III-LAV|[X]Unspecified human immunodeficiency virus [HIV] disease|HUMAN IMMUNOdeficiency VIRUS [HIV] INFECTION|HTLV III LAV INFECT|Human immunodeficiency virus disease or disorder|Infections, HTLV-III|HTLV WIII LAV INFECTIONS|HUMAN IMMUNO VIRUS DIS|Infection, HIV|[X]Human immunodeficiency virus disease|Human immunodeficiency virus [HIV] disease|HTLV III Infections|human immunodeficiency virus|HTLV-III Infections|T Lymphotropic Virus Type III Infections, Human|Human immunodeficiency virus infection (disorder)|T LYMPHOTROPIC VIRUS TYPE III INFECT HUMAN|Human immunodeficiency virus caused disease or disorder|HIV - Human immunodeficiency virus infection|Human immunodeficiency virus infection|Human immunodeficiency virus disease|HIV|HIV INFECT|HIV Infections|HIV infection|HTLV III LAV Infections|HTLV-III-LAV Infections|[X]Human immunodeficiency virus disease (disorder)|Infections, HIV|HTLV-III Infection|HTLV-III-LAV Infection|Infection, HTLV-III|HTLV III INFECT|HTLV WIII INFECTIONS|HIV infectious disease|Human immunodeficiency virus infectious disease|LYMPHOTROPIC VIRUS TYPE III INFECTIONS HUMAN T|human immunodeficiency virus infectious disease","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000764', 'name': 'EFO_0000764'}}",synonym_match,Infectious Disease|Reproductive/Breast
Huntington's_disease,MONDO_0007739,Huntington disease,HD|Huntington disease|Huntington's Disease|Huntington's chorea|Huntington chorea|Huntington's disease,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0007739', 'name': 'MONDO_0007739'}}",name_match,Genetic/Congenital|Nervous System
Hypoxia,EFO_0009444,hypoxia,,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0009444', 'name': 'EFO_0009444'}}",name_match,Phenotype
Infection_by_Aspergillus_fumigatus,,,,,no_match,
Intestinal_metaplasia_of_gastric_mucosa,,,,,no_match,
Ischemic_stroke,HP_0002140,Ischemic stroke,Ischaemic stroke,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/HP_0002140', 'name': 'HP_0002140'}}",name_match,Phenotype
JRA_-_Juvenile_rheumatoid_arthritis,,,,,no_match,
LGLL_-_Large_granular_lymphocytic_leukemia,,,,,no_match,
"Leukemia,_Chronic_T-Cell",,,,,no_match,
Lewy_body_dementia,EFO_0006792,Lewy body dementia,"Lewy body disease|dementia with Lewy bodies|cortical Lewy body disease|DLB|lewy body dementia, susceptibility to|Senile dementia of the Lewy body type|Lewy body dementia|diffuse Lewy body disease with gaze palsy|dementia, Lewy body|Lewy body variant of Alzheimer disease|diffuse Lewy body disease","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0006792', 'name': 'EFO_0006792'}}",name_match,Metabolic|Psychiatric|Nervous System|Genetic/Congenital
Lung_Injury,,,,,no_match,
Lung_transplant_rejection,,,,,no_match,
MDS_-_Myelodysplastic_syndrome,,,,,no_match,
MELAS_syndrome,MONDO_0010789,MELAS syndrome,"mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes|mitochondrial encephalomyopathy, lactic acidosis and stroke-like episodes|mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes|MELAS syndrome|mitochondrial encephalomyopathy, lactic acidosis and stroke|MELAS|mitochondrial encephalomyopathy lactic acidosis and stroke-like episodes","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0010789', 'name': 'MONDO_0010789'}}",name_match,Metabolic|Musculoskeletal|Genetic/Congenital
Marfan_syndrome,MONDO_0007947,Marfan syndrome,"MFS|MFS1|Marfan syndrome|Marfan syndrome type 1|Marfan syndrome, type 1|Marfan's syndrome","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0007947', 'name': 'MONDO_0007947'}}",name_match,Genetic/Congenital|Musculoskeletal
Meningococcal_infection,EFO_0004249,meningococcal infection,"infections, meningococcal|meningococcal disease|meningococcal infections|Neisseria meningitidis infection|meningococcal infection|meningococcal disease|infections, Neisseria meningitidis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0004249', 'name': 'EFO_0004249'}}",name_match,Infectious Disease
NASH,EFO_1001249,non-alcoholic steatohepatitis,metabolic dysfunction-associated steatohepatitis|non-alcoholic steatohepatitis|nonalcoholic steatohepatitis|MASH|non alcoholic steatohepatitis|NASH|NASH - nonalcoholic steatohepatitis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1001249', 'name': 'EFO_1001249'}}",synonym_match,Gastrointestinal|Endocrine System
Nicotine_addiction,EFO_0003768,nicotine dependence,"Use Disorder, Nicotine|Dependence, Nicotine|Nicotine Use Disorders|Tobacco Smoking|Dependence, Tobacco|Tobacco Smokings|Nicotine Addiction|Nicotine Use Disorder|TOBACCO USE DIS|Disorder, Nicotine Use|Tobacco-Use Disorder|Tobacco Dependences|smoking|Smokings, Tobacco|Tobacco Dependence|Tobacco Use Disorder|Tobacco Use Disorders|Smoking, Cigarette|Disorder, Tobacco-Use|Disorder, Tobacco Use|nicotine addiction|Smoking, Tobacco|nicotine dependence|NICOTINE USE DIS|Cigarette Smoking|tobacco use disorder","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003768', 'name': 'EFO_0003768'}}",synonym_match,Psychiatric|Nervous System
Osteolysis,HP_0002797,Osteolysis,Osteolytic defects of bones|Breakdown of bone|Increased bone resorption,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/HP_0002797', 'name': 'HP_0002797'}}",name_match,Phenotype
Overexertion,,,,,no_match,
Parkinson's_disease,MONDO_0005180,Parkinson disease,Parkinson's disease|PD|Parkinson disease|paralysis agitans,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005180', 'name': 'MONDO_0005180'}}",name_match,Genetic/Congenital|Nervous System
Polymyositis,EFO_0003063,polymyositis,"Polymyositis (disorder)|Myositis, Multiple|Polymyositis Ossificans|Polymyositis, Idiopathic|PM|multiple myositis|polymyositis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003063', 'name': 'EFO_0003063'}}",name_match,Urinary System|Musculoskeletal|Nervous System|Immune System
"Pompe_disease,_infantile-onset_form",,,,,no_match,
Premature_aging,MONDO_0019303,premature aging syndrome,premature aging|premature ageing,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0019303', 'name': 'MONDO_0019303'}}",name_match,Genetic/Congenital
Pseudomonas_Infection,EFO_0001076,Pseudomonas infection,"Pseudomonas Infections|Pseudomonas disease or disorder|Pseudomonas infectious disease|Bacterial infection due to Pseudomonas (disorder)|Infections, Pseudomonas|INFECT PSEUDOMONAS|Bacterial infection due to Pseudomonas|Bacterial infectious disease due to Pseudomonas (disorder)|Infection, Pseudomonas|PSEUDOMONAS INFECT|Pseudomonas caused disease or disorder|Pseudomonas infection","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001076', 'name': 'EFO_0001076'}}",name_match,Infectious Disease
Psoriasis_vulgaris,EFO_1001494,psoriasis vulgaris,plaque psoriasis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1001494', 'name': 'EFO_1001494'}}",name_match,Skin/Integumentary|Immune System|Genetic/Congenital
Rett_syndrome,MONDO_0010726,Rett syndrome,"RTS|Rett’s disease|Rett syndrome, X-linked dominant|cerebroatrophic hyperammonemia|RTT|Rett syndrome, preserved speech variant, X-linked dominant|Rett syndrome|Rett's disorder|Rett syndrome, atypical, X-linked dominant|autism, dementia, ataxia, and loss of purposeful hand use|Rett syndrome, preserved speech variant|Rett syndrome, atypical|Rett syndrome, Zappella variant","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0010726', 'name': 'MONDO_0010726'}}",name_match,Nervous System|Psychiatric|Genetic/Congenital
