creeds_disease,disease_id,disease_name,disease_synonyms,disease_ontology,match_type,therapeutic_areas
abdominal_aortic_aneurysm,EFO_0004214,Abdominal Aortic Aneurysm,"abdominal aortic aneurysm|Aortic Aneurysm, Abdominal|aortic aneurysm, familial abdominal 1","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0004214', 'name': 'EFO_0004214'}}",name_match,Cardiovascular
acne,EFO_0003894,acne,"acne (disease)|acne|frontalis acne|Acne Vulgaris|acne varioliformis|acne vulgaris|acne, adult","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003894', 'name': 'EFO_0003894'}}",name_match,Genetic/Congenital|Skin/Integumentary
actinic_keratosis,EFO_0002496,actinic keratosis,Solar keratosis|SK - Solar keratosis|actinic keratosis (disease)|Senile hyperkeratosis|actinic (Solar) Keratosis|SK - solar keratosis|actinic (solar) keratosis|actinic keratosis|actinic keratosis (disorder)|actinic keratosis (morphologic abnormality)|solar keratosis|Senile hyperkeratosis|Senile keratosis|senile keratosis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0002496', 'name': 'EFO_0002496'}}",name_match,Skin/Integumentary|Cancer/Tumor
acute_T_cell_leukemia,EFO_0000209,T-cell acute lymphoblastic leukemia,T-cell acute lymphoblastic leukaemia|T acute lymphoblastic leukemia|acute T-cell lymphoblastic leukemia|T-cell acute lymphocytic leukaemia|T-cell acute lymphocytic leukemia|acute T cell lymphoblastic leukemia|acute T-cell leukaemia|T-cell ALL|T-cell type acute leukemia|T-ALL|T acute lymphoblastic leukaemia|precursor T-lymphoblastic leukemia (T-cell ALL)|acute T cell lymphoblastic leukaemia|acute T-cell lymphocytic leukaemia|acute T cell lymphocytic leukaemia|acute T cell lymphocytic leukemia|acute T-cell lymphocytic leukemia|acute T-cell lymphoblastic leukaemia|precursor T-lymphoblastic leukaemia (T-cell ALL)|precursor T-lymphoblastic leukemia|T-cell acute lymphoblastic leukemia|T-cell type acute leukaemia|acute T-cell leukemia|precursor T lymphoblastic leukaemia|precursor T-lymphoblastic leukaemia|acute T cell leukemia|precursor T lymphoblastic leukemia|acute T cell leukaemia,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000209', 'name': 'EFO_0000209'}}",synonym_match,Hematologic|Cancer/Tumor|Immune System|Genetic/Congenital
acute_myeloid_leukemia,EFO_0000222,acute myeloid leukemia,"acute myelogenous leukaemia|acute myelocytic leukaemia|acute granulocytic leukemia|acute myeloblastic leukaemia|acute myeloid leukemia, somatic|acute nonlymphocytic leukaemia|myeloid leukemia, acute, M4/M4Eo subtype, somatic|leukemia, acute myeloid, autosomal dominant, somatic mutation|leukemia, acute myeloid, somatic|acute myeloblastic leukemia|hematopoeitic - acute Myleogenous leukaemia (AML)|acute myeloid leukemia (AML)|hematopoeitic - acute Myleogenous leukemia (AML)|AML|acute myelogenous leukemias|acute myelocytic leukemia|AML - acute myeloid leukemia|leukemia, myelocytic, acute|acute Nonlymphocytic leukemia|acute granulocytic leukaemia|acute myeloid leukemia|leukemia, acute myeloid, reduced survival in, somatic|AML - acute myeloid leukaemia|leukemia, acute myeloid, susceptibility to, autosomal dominant, somatic mutation|ANLL|acute myeloid leukaemia (AML)|acute nonlymphocytic leukemia|acute Nonlymphocytic leukaemia|acute myelogenous leukemia|myeloid leukemia, acute|acute non lymphoblastic leukemia|leukemia, acute myeloid, susceptibility to|acute non lymphoblastic leukaemia|leukemia, acute myelogenous|leukemia, acute myeloid","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000222', 'name': 'EFO_0000222'}}",name_match,Musculoskeletal|Hematologic|Cancer/Tumor|Immune System
acute_myocardial_infarction,EFO_0008583,acute myocardial infarction,"acute myocardial infarction|myocardial infarction (disease), acute|AMI|acute myocardial infarction (disease)","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0008583', 'name': 'EFO_0008583'}}",name_match,Cardiovascular
adenoma,EFO_0000232,adenoma,"acinar cell adenoma|acinic cell adenoma|adenomas|acinar cell adenoma (morphologic abnormality)|adenoma|acinar cell adenoma (morphologic abnormality)|adenoma, benign|acinar cell adenoma","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000232', 'name': 'EFO_0000232'}}",name_match,Cancer/Tumor
adenosquamous_cell_lung_carcinoma,EFO_0000233,adenosquamous lung carcinoma,adenosquamous lung carcinoma|adenosquamous lung cancer|adenosquamous cell lung carcinoma|lung adenosquamous carcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000233', 'name': 'EFO_0000233'}}",synonym_match,Respiratory|Cancer/Tumor
adrenoleukodystrophy,MONDO_0018544,adrenoleukodystrophy,"sudanophilic cerebral sclerosis|encephalitis periaxialis, Schilder's|adrenoleukodystrophy, X-linked recessive|X-ALD|adrenoleukodystrophy, X-linked|ABCD1 deficiency|X-linked adrenoleukodystrophy|encephalitis periaxialis concentrica|Siemerling-Creutzfeldt disease|adrenomyeloneuropathy, adult|diffuse cerebral sclerosis of Schilder|adrenoleukodystrophy|Bronze-Schilder disease|adrenomyeloneuropathy, adult, X-linked recessive|X-Linked Adrenoleukodystrophy|X-linked ALD|ALD|diffuse sclerosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0018544', 'name': 'MONDO_0018544'}}",name_match,Endocrine System|Genetic/Congenital|Nervous System|Metabolic|Psychiatric
alcohol_abuse,MONDO_0002046,alcohol abuse,"alcohol abuse|ethanol abuse|alcoholism|intoxication, chronic alcoholic|addiction, alcohol|alcohol dependence|alcohol use disorder|abuse, alcohol|alcohol addiction|chronic alcoholic intoxication|dependence, alcohol|alcoholic intoxication, chronic","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002046', 'name': 'MONDO_0002046'}}",name_match,Psychiatric
alcoholic_hepatitis,EFO_1001345,"Hepatitis, Alcoholic",acute alcoholic liver disease|acute alcoholic hepatitis|alcoholic hepatitis|acute alcoholic Hepatitis|alcoholic Hepatitis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1001345', 'name': 'EFO_1001345'}}",synonym_match,Psychiatric|Endocrine System|Gastrointestinal
allergic_asthma,MONDO_0004784,allergic asthma,allergic form of asthma|extrinsic asthma with acute exacerbation|extrinsic asthma with status asthmaticus|atopic asthma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0004784', 'name': 'MONDO_0004784'}}",name_match,Respiratory|Immune System
allergic_contact_dermatitis,EFO_1000668,allergic contact dermatitis,allergic contact dermatitis|allergic form of contact dermatitis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000668', 'name': 'EFO_1000668'}}",name_match,Immune System|Skin/Integumentary
alpha_1-antitrypsin_deficiency,MONDO_0013282,alpha 1-antitrypsin deficiency,"deficiency in Alpa-1-proteinase inhibitor|emphysema-cirrhosis, due to AAT deficiency|A1AD|hemorrhagic diathesis due to antithrombin pittsburgh|AAT deficiency|Alpha-1 Antitrypsin Deficiency|alpha 1-antitrypsin deficiency|A-1ATD|emphysema due to AAT deficiency|A1ATD|Alpha-1 antitrypsin deficiency|AATD|ALPHA-1-antitrypsin deficiency|Alpha 1 antitrypsin deficiency|A1AT deficiency|alpha-1-antitrypsin deficiency","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0013282', 'name': 'MONDO_0013282'}}",name_match,Respiratory|Genetic/Congenital|Metabolic
amyotrophic_lateral_sclerosis,MONDO_0004976,amyotrophic lateral sclerosis,"Lou Gehrig disease|amyotrophic lateral sclerosis|ALS|Charcot disease|motor neuron disease, bulbar|Lou Gehrig's disease","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0004976', 'name': 'MONDO_0004976'}}",name_match,Nervous System
amyotrophic_lateral_sclerosis_type_10,,,,,no_match,
anaplastic_thyroid_carcinoma,EFO_1000595,Thyroid Gland Undifferentiated (Anaplastic) Carcinoma,"anaplastic carcinoma of the thyroid gland|undifferentiated (anaplastic) thyroid gland carcinoma|undifferentiated thyroid gland carcinoma|anaplastic carcinoma of thyroid|anaplastic carcinoma of the thyroid|thyroid gland undifferentiated carcinoma|undifferentiated thyroid carcinoma|undifferentiated thyroid tumor|undifferentiated carcinoma of the thyroid|anaplastic thyroid cancer|sarcomatoid thyroid gland carcinoma|anaplastic thyroid carcinoma|metaplastic thyroid gland carcinoma|thyroid gland carcinosarcoma|Dedifferentiated thyroid gland carcinoma|anaplastic thyroid gland carcinoma|undifferentiated thyroid tumour|anaplastic carcinoma of thyroid gland|pleomorphic thyroid gland carcinoma|undifferentiated (anaplastic) thyroid gland cancer|undifferentiated carcinoma of the thyroid gland|undifferentiated carcinoma of thyroid|undifferentiated carcinoma of thyroid gland|thyroid gland undifferentiated (anaplastic) carcinoma|THAP|thyroid cancer, anaplastic|thyroid carcinoma, anaplastic","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000595', 'name': 'EFO_1000595'}}",synonym_match,Cancer/Tumor|Endocrine System
androgen_insensitivity_syndrome,MONDO_0019154,androgen insensitivity syndrome,"Morris syndrome|androgen insensitivity, X-linked recessive|androgen-insensitivity syndrome|Goldberg - Maxwell syndrome|androgen resistance syndrome|androgen insensitivity syndrome|testicular feminization syndrome|Goldberg-Maxwell syndrome|testicular feminization|AR deficiency|androgen receptor deficiency|testicular feminization syndrome (formerly)|DHTR deficiency|Feminisation - testicular|dihydrotestosterone receptor deficiency|AIS","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0019154', 'name': 'MONDO_0019154'}}",name_match,Endocrine System|Reproductive/Breast|Genetic/Congenital
anemia,MONDO_0002280,anemia,anemia|anaemia (disease)|anemia (disease),"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002280', 'name': 'MONDO_0002280'}}",name_match,Hematologic
ankylosing_spondylitis,EFO_0003898,ankylosing spondylitis,"Bechterew's Disease|Bechterew Disease|Bechterews Disease|Bekhterev's disease|Spondylitis, Rheumatoid|BECHTEREW DIS|BECHTEREWS DIS|Marie-Struempell Disease|Rheumatoid Spondylitis|Spondylitis, Ankylosing|Spondyloarthritis, Ankylosing|ankylosing spondylarthritis|ankylosing spondylitis|Ankylosing Spondylarthritides|Spondylarthritis, Ankylosing|Ankylosing Spondylarthritis|MARIE STRUEMPELL DIS|Spondyloarthritides, Ankylosing|Ankylosing Spondyloarthritis|Spondylarthritides, Ankylosing|Marie-Strumpell disease|Ankylosing Spondyloarthritides|Bekhterev syndrome|Marie Struempell Disease|Spondylarthritis Ankylopoietica","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003898', 'name': 'EFO_0003898'}}",name_match,Immune System|Musculoskeletal
anterior_horn_cell_disease,EFO_0003782,motor neuron disease,"Motor Neuron Disease, Upper|Motor Neuron Disease, Secondary|Neuron Diseases, Motor|Upper Motor Neuron Disease|disorder of motor neuron|Scleroses, Primary Lateral|Familial Motor Neuron Disease|disease of motor neuron|Motor System Disease|Secondary Motor Neuron Disease|disease or disorder of motor neuron|motor neuron disease|Sclerosis, Lateral|FAMILIAL MOTOR NEURON DIS|MOTOR NEURON DIS LOWER|MOTOR NEURON DIS FAMILIAL|Motor Neuron Disease, Lower|Neuron Disease, Motor|motor neuron disease or disorder|Motor System Diseases|Lateral Sclerosis|ANTERIOR HORN CELL DIS|MOTOR NEURON DIS UPPER|MOTOR NEURON DIS SECOND|Motor Neuron Diseases|Lateral Scleroses|MOTOR SYSTEM DIS|UPPER MOTOR NEURON DIS|Anterior Horn Cell Disease|Motor Neuron Disease, Familial|LOWER MOTOR NEURON DIS|Lower Motor Neuron Disease|MOTOR NEURON DIS|motor neuron disorder|SECOND MOTOR NEURON DIS|Scleroses, Lateral|anterior horn cell disease","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003782', 'name': 'EFO_0003782'}}",synonym_match,Nervous System
aplastic_anemia,MONDO_0015909,aplastic anemia,,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0015909', 'name': 'MONDO_0015909'}}",name_match,Hematologic
appendicitis,EFO_0007149,appendicitis,inflammation of vermiform appendix|acute appendicitis with peritoneal abscess|vermiform appendix inflammation|acute appendicitis|acute appendicitis with generalized peritonitis|acute appendicitis with generalized peritonitis (disorder)|Appendicitis|acute appendicitis with peritoneal abscess (disorder)|appendicitis|acute appendicitis|acute appendicitis with peritoneal abscess|acute appendicitis with generalised peritonitis|acute appendicitis with generalized peritonitis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0007149', 'name': 'EFO_0007149'}}",name_match,Gastrointestinal|Immune System|Genetic/Congenital
arthritis,EFO_0005856,arthritis,inflammation of skeletal joint|skeletal joint inflammation|arthritic joint disease|arthritides|arthritis|inflammatory disorder of joint,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0005856', 'name': 'EFO_0005856'}}",name_match,Musculoskeletal
arthropathy,HP_0003040,Arthropathy,Disease of the joints,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/HP_0003040', 'name': 'HP_0003040'}}",name_match,Phenotype
asthma,MONDO_0004979,asthma,bronchial hyperreactivity|exercise induced asthma|chronic obstructive asthma|chronic obstructive asthma with acute exacerbation|exercise-induced asthma|chronic obstructive asthma with status asthmaticus,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0004979', 'name': 'MONDO_0004979'}}",name_match,Respiratory
astrocytoma,EFO_0000272,astrocytoma,"Astroglioma|astrocytic neoplasm|astrocytic tumor|astrocytoma|astrocytoma, no ICD-O subtype|astrocytoma (excluding glioblastoma)|astrocytoma of brain|astroglioma|astrocytoma of cerebrum|astrocytoma","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000272', 'name': 'EFO_0000272'}}",name_match,Nervous System|Cancer/Tumor
atherosclerosis,EFO_0003914,atherosclerosis,Atherogenesis|atherosclerotic cardiovascular disease|Atheroscleroses|atherosclerosis of artery|atherosclerosis|atherosclerosis artery,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003914', 'name': 'EFO_0003914'}}",name_match,Cardiovascular
atopic_dermatitis,EFO_0000274,atopic eczema,"eczema|dermatitis, atopic|Dermatitides, Atopic|Disseminated Neurodermatitides|atopic dermatitis and related conditions|ATOD|Eczema, Atopic|Neurodermatitides, Atopic|allergic dermatitis|Infantile Eczema|Atopic Neurodermatitis|Other atopic dermatitis and related conditions|eczema, atopic|atopic eczema|Atopic Dermatitis|atopic neurodermatitis|eczematous dermatitis|atopic dermatitis|OTHER ATOPIC DERMATITIS|Dermatitis, Atopic|Besnier's prurigo|Atopic dermatitis and related conditions (disorder)|Disseminated Neurodermatitis|Eczema, Infantile|Neurodermatitides, Disseminated|Neurodermatitis, Atopic|Neurodermatitis, Disseminated|Atopic Neurodermatitides|Atopic Dermatitides|allergic form of dermatitis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000274', 'name': 'EFO_0000274'}}",synonym_match,Skin/Integumentary|Immune System
autism_spectrum_disorder,EFO_0003756,autism spectrum disorder,"autism spectrum disorder|Pervasive Development Disorders|autistic spectrum disorder|Child Development Disorders, Pervasive|Disorders, Pervasive Development|CHILD DEVELOPMENT DIS PERVASIVE|pervasive developmental disorder - not otherwise specified|Pervasive Development Disorder|Spectrum Disorders, Autism|pervasive developmental disorders|Spectrum Disorder, Autism|autism spectrum disease|Disorder, Pervasive Development|Autism Spectrum Disorders|Disorders, Autism Spectrum|Pervasive Child Development Disorders|Development Disorder, Pervasive|Development Disorders, Pervasive|Disorder, Autism Spectrum|PERVASIVE CHILD DEVELOPMENT DIS|atypical autism","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003756', 'name': 'EFO_0003756'}}",name_match,Psychiatric|Nervous System
autistic_disorder,EFO_0003758,autism,"Autisms|Syndrome, Kanner's|Kanner's Syndrome|childhood autism|infantile autism|Disorder, Autistic|Kanner's syndrome|Infantile Autism|Kanners Syndrome|Autism, Early Infantile|autism|Early Infantile Autism|Autistic disorder of childhood onset (disorder)|Infantile autism (disorder)|Disorders, Autistic|Infantile Autism, Early|Autism, Infantile|autistic disorder of childhood onset|autism (disease)|Infantile psychosis (disorder)|Kanner Syndrome|Autistic Disorder|autistic disorder|autism, susceptiblity to|autism spectrum disorder","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003758', 'name': 'EFO_0003758'}}",synonym_match,Psychiatric|Nervous System
autoimmune_thrombocytopenic_purpura,EFO_0007160,autoimmune thrombocytopenic purpura,"idiopathic thrombocytopenia|primary thrombocytopenic purpura|Immune thrombocytopenic purpura (disorder)|ITP|Purpura, Thrombocytopenic, Idiopathic|thrombocytopenic purpura, autoimmune|autoimmune thrombocytopenic purpura|Autoimmune thrombocytopenic purpura|idiopathic thrombocytopenia purpura|idiopathic thrombocytopenic purpura|AITP|thrombocytopenic purpura autoimmune|Werlhof's disease|ideopath thrombocytopenic pur|idiopathic purpura|immune thrombocytopenic purpura|immune thrombocytopenia","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0007160', 'name': 'EFO_0007160'}}",name_match,Genetic/Congenital|Hematologic|Immune System
bacterial_infectious_disease,EFO_0000771,bacterial disease,"Bacteria infectious disease|Bacteria disease or disorder|bacterial infection|bacterial disorder|infection, bacterial|bacterial disease|bacterial infectious disease|Bacteria caused disease or disorder|infections, bacterial","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000771', 'name': 'EFO_0000771'}}",synonym_match,Infectious Disease
bipolar_disorder,MONDO_0004985,bipolar disorder,major affective disorder|manic-depression|bipolar disorder|major bipolar affective disorder|depressive-manic psych.|manic-depressive psychosis|manic-depressive illness|bipolar affective disorder|MAFD|manic disorder|bipolar disorder manic phase|manic bipolar I disorder|manic depressive disorder|manic depression|mixed bipolar disorder|bipolar depression|manic bipolar affective disorder,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0004985', 'name': 'MONDO_0004985'}}",name_match,Nervous System|Psychiatric
breast_adenocarcinoma,EFO_0000304,breast adenocarcinoma,adenocarcinoma of breast|breast adenocarcinoma|mammary adenocarcinoma|adenocarcinoma of the breast,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000304', 'name': 'EFO_0000304'}}",name_match,Reproductive/Breast|Cancer/Tumor|Skin/Integumentary
breast_cancer,MONDO_0007254,breast cancer,malignant tumor of the breast|malignant tumour of breast|breast cancer|malignant breast neoplasm|cancer of breast|malignant tumour of the breast|malignant breast tumor|mammary cancer|BC|malignant neoplasm of the breast|malignant breast tumour|malignant tumor of breast|malignant neoplasm of breast|mammary neoplasm|primary breast cancer|breast tumour|mammary tumor|breast tumor|mammary tumour,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0007254', 'name': 'MONDO_0007254'}}",name_match,Reproductive/Breast|Skin/Integumentary|Cancer/Tumor
bronchopulmonary_dysplasia,MONDO_0019091,bronchopulmonary dysplasia,BPD,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0019091', 'name': 'MONDO_0019091'}}",name_match,Respiratory
cellular_phase_chronic_idiopathic_myelofibrosis,,,,,no_match,
cerebral_palsy,EFO_1000632,cerebral palsy,cerebral palsy|infantile cerebral palsy|cerebral paralysis,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000632', 'name': 'EFO_1000632'}}",name_match,Nervous System
cervical_cancer,MONDO_0002974,cervical cancer,"cervix cancer|malignant uterine cervix tumor|malignant neoplasm of the uterine cervix|malignant tumour of the uterine cervix|cancer of uterine cervix|malignant cervix uteri tumor|malignant cervical tumor|malignant tumour of the cervix uteri|malignant neoplasm of cervix|malignant tumor of the cervix|malignant cervix uteri neoplasm|malignant cervix neoplasm|malignant cervix tumor|malignant neoplasm of the cervix|malignant neoplasm of the cervix uteri|malignant tumor of the uterine cervix|uterine cervix cancer|malignant tumor of uterine cervix|malignant cervix uteri tumour|malignant cervix tumour|cervix uteri cancer|malignant tumor of the cervix uteri|cervical cancer, somatic|malignant cervical tumour|malignant cervical neoplasm|malignant tumour of the cervix|malignant uterine cervix neoplasm|malignant neoplasm of cervix uteri|malignant tumor of cervix|malignant tumour of uterine cervix|malignant uterine cervix tumour|malignant tumour of cervix|malignant tumor of cervix uteri|malignant neoplasm of uterine cervix|malignant tumour of cervix uteri|tumor of the cervix uteri|cervical neoplasm|tumour of the cervix uteri|uterine cervical neoplasm","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002974', 'name': 'MONDO_0002974'}}",name_match,Cancer/Tumor|Reproductive/Breast
cervix_carcinoma,EFO_0001061,cervical carcinoma,"carcinoma of cervix|carcinoma of uterine cervix|cancer of the uterine cervix|uterine cervix carcinoma|cancer of the cervix|carcinoma of the cervix uteri|carcinoma of the uterine cervix|cancer of uterine cervix|carcinoma of cervix uteri|cervical carcinoma|cervix carcinoma|cervix uteri carcinoma|carcinoma of the cervix|carcinoma cervix uteri|uterine cervix cancer|cancer of uterine cervix|cancer of cervix|cervix cancer|cervical cancer|cancer of the uterine cervix|cancer of the cervix|cervical cancer, NOS","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001061', 'name': 'EFO_0001061'}}",synonym_match,Cancer/Tumor|Reproductive/Breast
childhood_type_dermatomyositis,EFO_0000557,juvenile dermatomyositis,"Childhood Type Dermatomyositis|childhood type dermatomyositis (disorder)|inflammation of myoseptum|childhood dermatomyositis|juvenile DM|myoseptumitis|Dermatomyositis, Childhood Type|Dermatomyositides, Childhood Type|childhood Dermatomyositis|juvenile dermatomyositis|myoseptum inflammation|Childhood Type Dermatomyositides|myositis|juvenile myositis|JDM|JPM|myopathy, familial idiopathic inflammatory|childhood type dermatomyositis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000557', 'name': 'EFO_0000557'}}",synonym_match,Nervous System|Urinary System|Respiratory|Musculoskeletal|Immune System|Skin/Integumentary
chronic_granulomatous_disease,MONDO_0018305,chronic granulomatous disease,"congenital dysphagocytosis|chronic septic granulomatosis|CGD|Bridges-Good syndrome|Quie syndrome|granulomatous disease, chronic","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0018305', 'name': 'MONDO_0018305'}}",name_match,Immune System|Hematologic|Genetic/Congenital
chronic_lymphocytic_leukemia,EFO_0000095,chronic lymphocytic leukemia,"B-CLL|small lymphocytic lymphoma|chronic lymphocytic leukemia (CLL)|Chronic Lymphocytic Leukemia|chronic lymphogenous leukemia|lymphoplasmacytic leukemia|chronic lymphocytic leukaemia|B cell lymphocytic leukemia|B-cell lymphocytic leukaemia|chronic B-cell lymphocytic leukemia|chronic lymphocytic leukaemia (CLL)|hematopoeitic - chronic lymphocytic leukaemia (CLL)|chronic lymphogenous leukaemia|B-cell chronic lymphoid leukaemia|B-cell CLL|lymphoplasmacytic leukaemia|B-cell chronic lymphogenous leukemia|B-cell chronic lymphoid leukemia|CLL|hematopoeitic - chronic lymphocytic leukemia (CLL)|B-cell chronic lymphocytic leukemia|B cell lymphocytic leukaemia|B-cell lymphocytic leukemia|BCLL|chronic lymphatic leukemia|chronic lymphocytic leukemia|B cell CLL|B-cell chronic lymphogenous leukaemia|chronic lymphatic leukaemia|B cell chronic lymphocytic leukaemia|B cell chronic lymphocytic leukemia|chronic B-cell lymphocytic leukaemia|small lymphocytic lymphoma|leukemia, lymphocytic, chronic|leukemia, chronic LYMPHOCYTIC|leukemia, chronic lymphatic","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000095', 'name': 'EFO_0000095'}}",name_match,Genetic/Congenital|Cancer/Tumor|Hematologic|Immune System
chronic_myeloid_leukemia,EFO_0000339,chronic myelogenous leukemia,"myeloid leukemia, chronic|chronic myelogenous leukemia, BCR-ABL1 Positive|BCR-ABL Positive chronic myelogenous leukaemia|leukemia, Philadelphia chromosome-positive, resistant to imatinib, Somatic mutation|chronic myelogenous leukemia, BCR-ABL1 positive|CML|chronic myelogenous leukemias|CML - chronic myelogenous leukaemia|chronic myelogenous leukemia (CML)|chronic myeloid leukaemia|chronic myelocytic leukemia|chronic myelocytic leukaemia|chronic granulocytic leukaemia|chronic myelogenous leukaemia (CML)|chronic myelogenous leukemia|chronic myeloid leukemia|BCR-ABL Positive chronic myelogenous leukemia|hematopoeitic - chronic myelocytic leukaemia (CML)|hematopoeitic - chronic myelocytic leukemia (CML)|chronic granulocytic leukemia|leukemia, chronic myeloid, Philadelphia chromosome positive, somatic|CML - chronic myelogenous leukemia|chronic myelogenous leukaemia|leukemia, chronic myeloid, atypical|leukemia, chronic myeloid|leukemia, chronic myelogenous","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000339', 'name': 'EFO_0000339'}}",synonym_match,Hematologic|Musculoskeletal|Immune System|Cancer/Tumor|Genetic/Congenital
