disease_id,drug_disease_label
DOID_10113,trypanosomiasis
DOID_13406,pulmonary sarcoidosis
DOID_7551,gonorrhea
EFO_0000094,B-cell acute lymphoblastic leukemia
EFO_0000095,chronic lymphocytic leukemia
EFO_0000096,neoplasm of mature B-cells
EFO_0000174,Ewing sarcoma
EFO_0000178,gastric carcinoma
EFO_0000180,HIV-1 infection
EFO_0000181,head and neck squamous cell carcinoma
EFO_0000182,hepatocellular carcinoma
EFO_0000183,Hodgkins lymphoma
EFO_0000186,invasive breast ductal carcinoma
EFO_0000191,MALT lymphoma
EFO_0000195,metabolic syndrome
EFO_0000196,metastatic prostate cancer
EFO_0000198,myelodysplastic syndrome
EFO_0000199,oral squamous cell carcinoma
EFO_0000200,plasma cell neoplasm
EFO_0000203,monoclonal gammopathy
EFO_0000209,T-cell acute lymphoblastic leukemia
EFO_0000211,unspecified peripheral T-cell lymphoma
EFO_0000217,gastritis
EFO_0000218,acute erythroleukemia
EFO_0000220,acute lymphoblastic leukemia
EFO_0000221,acute monocytic leukemia
EFO_0000222,acute myeloid leukemia
EFO_0000223,acute myelomonocytic leukemia
EFO_0000224,acute promyelocytic leukemia
EFO_0000228,adenocarcinoma
EFO_0000231,adenoid cystic carcinoma
EFO_0000232,adenoma
EFO_0000233,adenosquamous lung carcinoma
EFO_0000239,adrenal gland pheochromocytoma
EFO_0000248,alveolar rhabdomyosarcoma
EFO_0000255,angioimmunoblastic T-cell lymphoma
EFO_0000266,aortic stenosis
EFO_0000272,astrocytoma
EFO_0000274,atopic eczema
EFO_0000275,atrial fibrillation
EFO_0000278,pancreatitis
EFO_0000279,azoospermia
EFO_0000280,Barrett's esophagus
EFO_0000284,benign prostatic hyperplasia
EFO_0000294,bladder tumor
EFO_0000304,breast adenocarcinoma
EFO_0000305,breast carcinoma
EFO_0000308,bronchoalveolar adenocarcinoma
EFO_0000309,Burkitts lymphoma
EFO_0000313,carcinoma
EFO_0000318,cardiomyopathy
EFO_0000319,cardiovascular disease
EFO_0000326,central nervous system cancer
EFO_0000330,childhood acute myeloid leukemia
EFO_0000333,chondrosarcoma
EFO_0000335,chromophobe renal cell carcinoma
EFO_0000337,chronic gastritis
EFO_0000339,chronic myelogenous leukemia
EFO_0000341,chronic obstructive pulmonary disease
EFO_0000342,chronic pancreatitis
EFO_0000348,clear cell adenocarcinoma
EFO_0000349,clear cell renal carcinoma
EFO_0000350,clear cell sarcoma of the kidney
EFO_0000364,colon mucinous adenocarcinoma
EFO_0000365,colorectal adenocarcinoma
EFO_0000373,congestive heart failure
EFO_0000384,Crohn's disease
EFO_0000389,cutaneous melanoma
EFO_0000394,dedifferentiated chondrosarcoma
EFO_0000398,dermatomyositis
EFO_0000400,diabetes mellitus
EFO_0000401,diabetic nephropathy
EFO_0000402,diffuse gastric adenocarcinoma
EFO_0000403,diffuse large B-cell lymphoma
EFO_0000404,diffuse scleroderma
EFO_0000407,dilated cardiomyopathy
EFO_0000432,breast ductal carcinoma in situ
EFO_0000437,embryonal rhabdomyosarcoma
EFO_0000464,emphysema
EFO_0000466,endometrioid carcinoma
EFO_0000474,epilepsy
EFO_0000478,esophageal adenocarcinoma
EFO_0000479,essential thrombocythemia
EFO_0000483,exercise
EFO_0000489,extra-adrenal sympathetic paraganglioma
EFO_0000495,fetal growth restriction
EFO_0000497,fibromatosis
EFO_0000501,follicular thyroid carcinoma
EFO_0000502,ganglioneuroblastoma
EFO_0000503,gastric adenocarcinoma
EFO_0000504,gastric intestinal type adenocarcinoma
EFO_0000508,genetic disorder
EFO_0000512,reproductive system disease
EFO_0000514,germ cell tumor
EFO_0000519,glioblastoma multiforme
EFO_0000536,hyperplasia
EFO_0000537,hypertension
EFO_0000538,hypertrophic cardiomyopathy
EFO_0000540,immune system disease
EFO_0000544,infection
EFO_0000545,infertility
EFO_0000546,injury
EFO_0000549,insulinoma
EFO_0000551,intracranial hemorrhage
EFO_0000553,invasive lobular carcinoma
EFO_0000555,irritable bowel syndrome
EFO_0000556,ischemia
EFO_0000557,juvenile dermatomyositis
EFO_0000558,Kaposi's sarcoma
EFO_0000559,keratinizing squamous cell carcinoma
EFO_0000563,large cell neuroendocrine carcinoma
EFO_0000564,leiomyosarcoma
EFO_0000565,leukemia
EFO_0000569,liposarcoma
EFO_0000571,lung adenocarcinoma
EFO_0000574,lymphoma
EFO_0000588,mesothelioma
EFO_0000589,metabolic disease
EFO_0000612,myocardial infarction
EFO_0000613,myxoid liposarcoma
EFO_0000616,neoplasm
EFO_0000618,nervous system disease
EFO_0000621,neuroblastoma
EFO_0000630,oligoastrocytoma
EFO_0000632,oligodendroglioma
EFO_0000637,osteosarcoma
EFO_0000640,papillary renal cell carcinoma
EFO_0000641,papillary thyroid carcinoma
EFO_0000649,periodontitis
EFO_0000658,plexiform neurofibroma
EFO_0000660,polycystic ovary syndrome
EFO_0000662,polyp
EFO_0000666,portal hypertension
EFO_0000668,preeclampsia
EFO_0000673,prostate adenocarcinoma
EFO_0000676,psoriasis
EFO_0000677,mental or behavioural disorder
EFO_0000678,pterygium
EFO_0000681,renal cell carcinoma
EFO_0000684,respiratory system disease
EFO_0000685,rheumatoid arthritis
EFO_0000691,sarcoma
EFO_0000694,severe acute respiratory syndrome
