creeds_disease,disease_id,disease_name,drug_disease_match_id,drug_match_method,therapeutic_areas,primary_therapeutic_area
Osteolysis,HP_0002797,Osteolysis,HP_0002797,id_match,Phenotype,Phenotype
Parkinson's_disease,MONDO_0005180,Parkinson disease,MONDO_0005180,id_match,Genetic/Congenital|Nervous System,Genetic/Congenital
Polymyositis,EFO_0003063,polymyositis,EFO_0003063,id_match,Urinary System|Musculoskeletal|Nervous System|Immune System,Urinary System
Psoriasis_vulgaris,EFO_1001494,psoriasis vulgaris,EFO_1001494,id_match,Skin/Integumentary|Immune System|Genetic/Congenital,Skin/Integumentary
Rett_syndrome,MONDO_0010726,Rett syndrome,MONDO_0010726,id_match,Nervous System|Psychiatric|Genetic/Congenital,Nervous System
Schizophrenia,MONDO_0005090,schizophrenia,MONDO_0005090,id_match,Psychiatric|Nervous System,Psychiatric
Septic_Shock,EFO_0006834,septic shock,EFO_0006834,id_match,Phenotype,Phenotype
Sjogren's_syndrome,EFO_0000699,Sjogren syndrome,EFO_0000699,id_match,Immune System|Visual System|Gastrointestinal,Immune System
Squamous_cell_carcinoma_of_mouth,EFO_0000199,oral squamous cell carcinoma,EFO_0000199,id_match,Cancer/Tumor|Gastrointestinal,Cancer/Tumor
Turner_syndrome,MONDO_0019499,Turner syndrome,MONDO_0019499,id_match,Reproductive/Breast|Genetic/Congenital|Endocrine System,Reproductive/Breast
Vulvar_intraepithelial_tumor,EFO_0002627,vulvar intraepithelial neoplasia,EFO_0002627,id_match,Reproductive/Breast|Cancer/Tumor,Reproductive/Breast
Waldenstrom_Macroglobulinemia,EFO_0009441,Waldenstrom macroglobulinemia,EFO_0009441,id_match,Genetic/Congenital|Immune System|Hematologic|Metabolic|Cancer/Tumor,Genetic/Congenital
Williams-Beuren_syndrome,MONDO_0008678,Williams syndrome,MONDO_0008678,id_match,Nervous System|Genetic/Congenital,Nervous System
abdominal_aortic_aneurysm,EFO_0004214,Abdominal Aortic Aneurysm,EFO_0004214,id_match,Cardiovascular,Cardiovascular
acne,EFO_0003894,acne,EFO_0003894,id_match,Genetic/Congenital|Skin/Integumentary,Genetic/Congenital
actinic_keratosis,EFO_0002496,actinic keratosis,EFO_0002496,id_match,Skin/Integumentary|Cancer/Tumor,Skin/Integumentary
acute_T_cell_leukemia,EFO_0000209,T-cell acute lymphoblastic leukemia,EFO_0000209,id_match,Hematologic|Cancer/Tumor|Immune System|Genetic/Congenital,Hematologic
acute_myeloid_leukemia,EFO_0000222,acute myeloid leukemia,EFO_0000222,id_match,Musculoskeletal|Hematologic|Cancer/Tumor|Immune System,Musculoskeletal
acute_myocardial_infarction,EFO_0008583,acute myocardial infarction,EFO_0008583,id_match,Cardiovascular,Cardiovascular
adenoma,EFO_0000232,adenoma,EFO_0000232,id_match,Cancer/Tumor,Cancer/Tumor
adenosquamous_cell_lung_carcinoma,EFO_0000233,adenosquamous lung carcinoma,EFO_0000233,id_match,Respiratory|Cancer/Tumor,Respiratory
adrenoleukodystrophy,MONDO_0018544,adrenoleukodystrophy,MONDO_0018544,id_match,Endocrine System|Genetic/Congenital|Nervous System|Metabolic|Psychiatric,Endocrine System
alcohol_abuse,MONDO_0002046,alcohol abuse,MONDO_0002046,id_match,Psychiatric,Psychiatric
alcoholic_hepatitis,EFO_1001345,"Hepatitis, Alcoholic",EFO_1001345,id_match,Psychiatric|Endocrine System|Gastrointestinal,Psychiatric
allergic_asthma,MONDO_0004784,allergic asthma,MONDO_0004784,id_match,Respiratory|Immune System,Respiratory
allergic_contact_dermatitis,EFO_1000668,allergic contact dermatitis,EFO_1000668,id_match,Immune System|Skin/Integumentary,Immune System
alpha_1-antitrypsin_deficiency,MONDO_0013282,alpha 1-antitrypsin deficiency,MONDO_0013282,id_match,Respiratory|Genetic/Congenital|Metabolic,Respiratory
amyotrophic_lateral_sclerosis,MONDO_0004976,amyotrophic lateral sclerosis,MONDO_0004976,id_match,Nervous System,Nervous System
anaplastic_thyroid_carcinoma,EFO_1000595,Thyroid Gland Undifferentiated (Anaplastic) Carcinoma,EFO_1000595,id_match,Cancer/Tumor|Endocrine System,Cancer/Tumor
anemia,MONDO_0002280,anemia,MONDO_0002280,id_match,Hematologic,Hematologic
ankylosing_spondylitis,EFO_0003898,ankylosing spondylitis,EFO_0003898,id_match,Immune System|Musculoskeletal,Immune System
anterior_horn_cell_disease,EFO_0003782,motor neuron disease,EFO_0003782,id_match,Nervous System,Nervous System
aplastic_anemia,MONDO_0015909,aplastic anemia,HP_0001915,name_match,Hematologic,Hematologic
appendicitis,EFO_0007149,appendicitis,EFO_0007149,id_match,Gastrointestinal|Immune System|Genetic/Congenital,Gastrointestinal
arthritis,EFO_0005856,arthritis,EFO_0005856,id_match,Musculoskeletal,Musculoskeletal
arthropathy,HP_0003040,Arthropathy,HP_0003040,id_match,Phenotype,Phenotype
asthma,MONDO_0004979,asthma,MONDO_0004979,id_match,Respiratory,Respiratory
astrocytoma,EFO_0000272,astrocytoma,EFO_0000272,id_match,Nervous System|Cancer/Tumor,Nervous System
atherosclerosis,EFO_0003914,atherosclerosis,EFO_0003914,id_match,Cardiovascular,Cardiovascular
atopic_dermatitis,EFO_0000274,atopic eczema,EFO_0000274,id_match,Skin/Integumentary|Immune System,Skin/Integumentary
autism_spectrum_disorder,EFO_0003756,autism spectrum disorder,EFO_0003756,id_match,Psychiatric|Nervous System,Psychiatric
autistic_disorder,EFO_0003758,autism,EFO_0003758,id_match,Psychiatric|Nervous System,Psychiatric
autoimmune_thrombocytopenic_purpura,EFO_0007160,autoimmune thrombocytopenic purpura,EFO_0007160,id_match,Genetic/Congenital|Hematologic|Immune System,Genetic/Congenital
bacterial_infectious_disease,EFO_0000771,bacterial disease,EFO_0000771,id_match,Infectious Disease,Infectious Disease
bipolar_disorder,MONDO_0004985,bipolar disorder,MONDO_0004985,id_match,Nervous System|Psychiatric,Nervous System
breast_adenocarcinoma,EFO_0000304,breast adenocarcinoma,EFO_0000304,id_match,Reproductive/Breast|Cancer/Tumor|Skin/Integumentary,Reproductive/Breast
breast_cancer,MONDO_0007254,breast cancer,MONDO_0007254,id_match,Reproductive/Breast|Skin/Integumentary|Cancer/Tumor,Reproductive/Breast
bronchopulmonary_dysplasia,MONDO_0019091,bronchopulmonary dysplasia,MONDO_0019091,id_match,Respiratory,Respiratory
cerebral_palsy,EFO_1000632,cerebral palsy,EFO_1000632,id_match,Nervous System,Nervous System
cervical_cancer,MONDO_0002974,cervical cancer,MONDO_0002974,id_match,Cancer/Tumor|Reproductive/Breast,Cancer/Tumor
cervix_carcinoma,EFO_0001061,cervical carcinoma,EFO_0001061,id_match,Cancer/Tumor|Reproductive/Breast,Cancer/Tumor
childhood_type_dermatomyositis,EFO_0000557,juvenile dermatomyositis,EFO_0000557,id_match,Nervous System|Urinary System|Respiratory|Musculoskeletal|Immune System|Skin/Integumentary,Nervous System
chronic_granulomatous_disease,MONDO_0018305,chronic granulomatous disease,MONDO_0018305,id_match,Immune System|Hematologic|Genetic/Congenital,Immune System
chronic_lymphocytic_leukemia,EFO_0000095,chronic lymphocytic leukemia,EFO_0000095,id_match,Genetic/Congenital|Cancer/Tumor|Hematologic|Immune System,Genetic/Congenital
chronic_myeloid_leukemia,EFO_0000339,chronic myelogenous leukemia,EFO_0000339,id_match,Hematologic|Musculoskeletal|Immune System|Cancer/Tumor|Genetic/Congenital,Hematologic
chronic_obstructive_pulmonary_disease,EFO_0000341,chronic obstructive pulmonary disease,EFO_0000341,id_match,Respiratory,Respiratory
colitis,EFO_0003872,colitis,EFO_0003872,id_match,Gastrointestinal|Genetic/Congenital|Immune System,Gastrointestinal
colon_adenoma,MONDO_0000527,colon adenoma,MONDO_0000527,id_match,Gastrointestinal|Cancer/Tumor,Gastrointestinal
colon_cancer,EFO_1001950,colon carcinoma,EFO_1001950,id_match,Cancer/Tumor|Gastrointestinal,Cancer/Tumor
colorectal_adenocarcinoma,EFO_0000365,colorectal adenocarcinoma,EFO_0000365,id_match,Gastrointestinal|Cancer/Tumor,Gastrointestinal
colorectal_cancer,MONDO_0005575,colorectal cancer,MONDO_0005575,id_match,Cancer/Tumor|Gastrointestinal,Cancer/Tumor
cystic_fibrosis,MONDO_0009061,cystic fibrosis,MONDO_0009061,id_match,Genetic/Congenital|Respiratory,Genetic/Congenital
cystitis,EFO_1000025,cystitis,EFO_1000025,id_match,Urinary System,Urinary System
dengue_disease,EFO_0005547,dengue disease,EFO_0005547,id_match,Infectious Disease,Infectious Disease
dengue_hemorrhagic_fever,EFO_0004227,Dengue Hemorrhagic Fever,EFO_0004227,id_match,Infectious Disease,Infectious Disease
dermatomyositis,EFO_0000398,dermatomyositis,EFO_0000398,id_match,Urinary System|Immune System|Skin/Integumentary|Nervous System|Musculoskeletal,Urinary System
diabetes_mellitus,EFO_0000400,diabetes mellitus,EFO_0000400,id_match,Metabolic|Endocrine System|Pancreas,Metabolic
dilated_cardiomyopathy,EFO_0000407,dilated cardiomyopathy,EFO_0000407,id_match,Cardiovascular|Musculoskeletal,Cardiovascular
discoid_lupus_erythematosus,MONDO_0019558,discoid lupus erythematosus,MONDO_0019558,id_match,Immune System|Musculoskeletal,Immune System
ductal_carcinoma_in_situ,EFO_0000432,breast ductal carcinoma in situ,EFO_0000432,id_match,Cancer/Tumor|Reproductive/Breast|Skin/Integumentary,Cancer/Tumor
endometrial_cancer,MONDO_0011962,endometrial cancer,MONDO_0011962,id_match,Reproductive/Breast|Cancer/Tumor,Reproductive/Breast
endometriosis,EFO_0001065,endometriosis,EFO_0001065,id_match,Reproductive/Breast,Reproductive/Breast
epidermolysis_bullosa_simplex,MONDO_0017610,epidermolysis bullosa simplex,MONDO_0017610,id_match,Genetic/Congenital|Skin/Integumentary,Genetic/Congenital
esophagus_adenocarcinoma,EFO_0000478,esophageal adenocarcinoma,EFO_0000478,id_match,Gastrointestinal|Cancer/Tumor,Gastrointestinal
esophagus_squamous_cell_carcinoma,EFO_0005922,esophageal squamous cell carcinoma,EFO_0005922,id_match,Gastrointestinal|Cancer/Tumor,Gastrointestinal
facioscapulohumeral_muscular_dystrophy,MONDO_0001347,facioscapulohumeral muscular dystrophy,Orphanet_269,synonym_match,Nervous System|Musculoskeletal|Genetic/Congenital,Nervous System
familial_hypercholesterolemia,EFO_0004911,familial hypercholesterolemia,EFO_0004911,id_match,Genetic/Congenital|Metabolic,Genetic/Congenital
fragile_X_syndrome,MONDO_0010383,fragile X syndrome,MONDO_0010383,id_match,Genetic/Congenital,Genetic/Congenital
gastroesophageal_reflux_disease,EFO_0003948,gastroesophageal reflux disease,EFO_0003948,id_match,Gastrointestinal|Genetic/Congenital,Gastrointestinal
gastrointestinal_stromal_tumor,MONDO_0011719,gastrointestinal stromal tumor,MONDO_0011719,id_match,Genetic/Congenital|Cancer/Tumor|Gastrointestinal,Genetic/Congenital
glaucoma,MONDO_0005041,glaucoma,MONDO_0005041,id_match,Visual System,Visual System
glioblastoma_multiforme,EFO_0000519,glioblastoma multiforme,EFO_0000519,id_match,Cancer/Tumor|Nervous System,Cancer/Tumor
head_and_neck_squamous_cell_carcinoma,EFO_0000181,head and neck squamous cell carcinoma,EFO_0000181,id_match,Cancer/Tumor,Cancer/Tumor
hemorrhagic_thrombocythemia,EFO_0000479,essential thrombocythemia,EFO_0000479,id_match,Genetic/Congenital|Hematologic|Cancer/Tumor|Immune System|Musculoskeletal,Genetic/Congenital
hepatitis_C,EFO_0003047,hepatitis C virus infection,EFO_0003047,id_match,Infectious Disease|Endocrine System|Gastrointestinal,Infectious Disease
hepatocellular_carcinoma,EFO_0000182,hepatocellular carcinoma,EFO_0000182,id_match,Endocrine System|Cancer/Tumor|Gastrointestinal,Endocrine System
hypertension,EFO_0000537,hypertension,EFO_0000537,id_match,Cardiovascular,Cardiovascular
idiopathic_pulmonary_fibrosis,EFO_0000768,idiopathic pulmonary fibrosis,EFO_0000768,id_match,Cancer/Tumor|Respiratory,Cancer/Tumor
inclusion_body_myositis,EFO_0007323,inclusion body myositis,EFO_0007323,id_match,Immune System|Musculoskeletal,Immune System
inflammatory_bowel_disease,EFO_0003767,inflammatory bowel disease,EFO_0003767,id_match,Genetic/Congenital|Immune System|Gastrointestinal,Genetic/Congenital
influenza,EFO_0007328,influenza,EFO_0007328,id_match,Infectious Disease|Respiratory,Infectious Disease
