gene_symbol,adj.P.Val,logfc_dz
,0.00483835962328192,2.93423495306143
,0.00172224158770149,2.74097706788448
OLFM4,0.0136712075137556,2.42070869424787
CTSZ,0.000148982680816544,2.32386240907986
LOC101927057,0.00119381527398947,2.07052227820974
SNTN,0.00471816239926584,2.04219066994235
NUF2,0.00364693170716897,2.01922609030164
SHCBP1,0.00111586989240761,1.97240756606105
PPP3R1,0.000167268376899134,1.83771754665799
AMZ2P1,0.00471344389944671,1.80386396775646
,0.0132098898513323,1.80141076375184
CCDC113,0.00100290764706464,1.76459107326169
CLGN,0.00537469056879145,1.74921275802002
CENPH,0.000997298430159479,1.73779221976355
AGR3,0.00559324828443189,1.72596388139727
H4C3,0.000745117793177024,1.70528172869859
FAM81B,0.00900501759970133,1.67314260080721
SCNN1G,0.0142624502435262,1.66384571629965
DBF4,0.00149578628027212,1.62149196048029
SPAG1,0.00320173974758843,1.62126142470857
NETO2,0.000473378736156236,1.62028351373659
NDC80,0.0334891545030426,1.60655147031466
SLC25A43,0.00128186132054978,1.6010105394437
DNAAF4,0.0017525872059572,1.59897263672368
CENPK,0.0106755316710032,1.59455777931836
SPA17,0.00103843160365225,1.59307883368688
HOATZ,0.00365176980444617,1.57852759288339
PCSK5,0.00170920954990385,1.56563069499165
F2R,0.00233743288812779,1.56523774303763
ANLN,0.0352884149399265,1.56482206054891
SUMO1,0.00109473291088484,1.55920246667539
C7orf57,0.00655023794772562,1.55271464970041
CEP76,0.000465411294068647,1.55068523576546
CIPC,0.00156469697633806,1.54747276514305
TMEM200A,0.00155976976526342,1.54530599343219
GRAMD1C,0.0129233475474693,1.54433847848189
DPY19L1,0.00127706984661004,1.54256641999294
HCG11,0.00013107144298849,1.53879943437254
EFCAB7,0.00114240741345637,1.52970064793704
IL33,0.00123726982346627,1.51984511727725
SGCE,0.00493475260149046,1.51926288930942
RUBCNL,0.00109473291088484,1.51394785245741
TMEM17,0.000167268376899134,1.50695628457413
TMA16,0.000459829383484945,1.50309124281355
SLC26A4,0.0353919901147009,1.49848321848691
CENPL,0.000148982680816544,1.49814148239247
PSPH,0.0116428997126847,1.49469687217424
SKA1,0.00361366767086977,1.4848280420179
RAD51AP1,0.00699043810256028,1.48227128994147
C11orf97,0.00298120183208854,1.48204512931758
NIPSNAP3A,0.000997298430159479,1.4736632500929
FAHD1,0.000516101682386114,1.45970631136086
EFHB,0.00280458804249607,1.4594476170283
CPE,0.00218895920059403,1.45155010176103
C17orf75,0.00114058861644615,1.45041719052619
NMT2,0.000677334603899052,1.44643916969129
NRBF2,0.00174581270411367,1.44414483048866
MNS1,0.00901483788668481,1.43975849959089
PHAX,0.000148982680816544,1.43712228813817
CTNNB1,0.00224954123600526,1.42074477048396
RIT1,0.00131559568074105,1.41984815527119
EIF3F,0.0002044677674833,1.40990711919085
MED4,0.000769334685368656,1.40978161024851
PTPRD-AS1,0.00188263098632193,1.40793034112654
EOGT,0.00153433570470984,1.40435348987449
CCNB1,0.0241787067149876,1.40406608534255
IKBIP,0.000407434875721742,1.40297027662332
RGS7BP,0.00167895264295892,1.39923546668402
TTC30A,0.000377671811039302,1.39855961200106
CAPSL,0.0186010077148946,1.39795756019425
KBTBD7,0.00280458804249607,1.39338911600246
GTF2H3,0.000148982680816544,1.39321771306246
LLPH,0.000750188756941443,1.38240035170655
ZNF506,0.00627844876789048,1.38121028932537
TEX9,0.00127302279604806,1.37774685578554
CDC6,0.00646963709103194,1.37680113828945
ADAT1,0.000544885356223023,1.37637527721155
GCH1,0.00639608189796744,1.37603576267818
ME1,0.000375581318897882,1.37308712139606
DBR1,0.000588410420188012,1.37262644315632
DNAJC9,0.0173791898035497,1.36899520437406
ZNF468,0.000380932013345018,1.36699614177131
ADGRL4,0.00146526269621734,1.35979486195686
RRM2B,0.000745117793177024,1.35430883886398
DCDC2,0.0119769634816162,1.35199102772461
EFEMP1,0.0251494732559159,1.34957772410209
GIMAP2,0.00144410144756065,1.34126381897942
SMIM31,0.0400185875542437,1.34020601671519
APOBEC3B,0.0373251720826793,1.33835931095408
AURKA,0.00638981931602835,1.33758001017283
CTHRC1,0.0183697413316542,1.33189405755971
BBS7,0.000789371143056399,1.33079650036403
FAM216B,0.00113797533043906,1.32681617170001
HK2,0.0242053467195213,1.32084487953098
NAPSB,0.0208643512282772,1.32044136267442
SDAD1,0.0012373563740174,1.31747783357826
CMTR2,0.0021778702884819,1.31160454162837
LACTB2,0.00178440115837529,1.30934423761946
ARMC3,0.00449218219608714,1.30830644460568
NUDCD2,0.000405705492675839,1.30612491951087
NUP62CL,0.000439405615311503,1.30566278729968
NTN4,0.028815496951175,1.30503797718909
LRP11,0.00155920526375952,1.30249494105248
EPB41L3,0.00211079272662669,1.30218383618214
ASB3,0.00220634716368476,1.30163401110065
SLC38A6,0.00342518193236613,1.3014138545045
ACTR6,0.00189244074811745,1.29978600543085
TAF1A,0.00226849556342171,1.29134880216582
ZC3H12C,0.00275664956280007,1.29080718976791
EML1,0.00125671288750128,1.29031847479138
RAB42,0.00113797533043906,1.29017392933332
PALB2,0.00109201611315895,1.29008909082496
ZNF573,0.003738184119814,1.28712966405836
OSBPL1A,0.00193047210391267,1.28669444771974
DIRAS2,0.00172224158770149,1.28410500289869
NAP1L3,0.00444081081373028,1.28377120786114
KDSR,0.000626013125928917,1.28371397586473
EXOC8,0.00243553523981797,1.28369746475359
ABRAXAS1,0.000375581318897882,1.27539335409965
PAXIP1,0.00291798096787024,1.27147735204697
FBXO5,0.00823253146796391,1.27135489072423
SLC27A6,0.0106929678924633,1.27086897596681
RP2,0.000588410420188012,1.27004351388697
NCEH1,0.00710468846058684,1.26940976968544
FAM162B,0.0120818248578809,1.26883403438233
DYNLRB2,0.0212141027360086,1.26701073192497
TAF7L,0.00565965234192508,1.26680644277956
MGP,0.0231588153899545,1.26652936531397
TRAPPC13,0.00673417241850408,1.26479605915952
HAUS1,0.00318581112871411,1.2639052037191
KIF4A,0.0120440028779235,1.26132140775476
HMGB2,0.0253745571315908,1.26076634106515
WDR47,0.00109596727770489,1.2599812752562
LMNB1,0.0359482325366621,1.25909125049048
AKR1C3,0.0498614673120771,1.25792920281269
MIS18A,0.00113797533043906,1.25736423396913
CNN3,0.00411178795045995,1.25566230015791
ADAM12,0.0466796586170368,1.25371313714349
CMSS1,0.00232264437783931,1.25274879218233
TIGAR,0.00550714771880993,1.25242431460316
DEPDC1B,0.00190866303130795,1.25028447156526
SMC3,0.00625919008288886,1.24749715377757
B3GALNT1,0.00113797533043906,1.24719897221777
LOC100287896,0.00149578628027212,1.24614307459255
CRY1,0.00463606586370362,1.24598997349809
PIGK,0.000856222861739695,1.24385766531395
ATAD2,0.0164410879226354,1.24339164111288
FAM155A,0.000588410420188012,1.24242176366897
ZNF277,0.00119198718491932,1.24062226171373
NEK4,0.000745117793177024,1.23791098036198
ATP8B1,0.0075394485104342,1.23771611460064
KIF14,0.0166585174404564,1.23357211713109
GHR,0.00159796413892606,1.23329678046121
RBBP5,0.001844123495922,1.23190950589613
FBXL4,0.000596120647183743,1.22549796854259
ZDHHC13,0.00198557950577682,1.22188804519497
EAF1,0.0011184389109484,1.21796303486228
SUSD5,0.00013107144298849,1.21407613612624
GINM1,0.00200827107487184,1.20625292912815
CENPQ,0.00103986962196172,1.20454531687412
PNMA8A,0.0100160930093443,1.20291528132913
GMCL1,0.000594853717387258,1.20168141171397
NDUFA5,0.0159337154400595,1.19981015018393
GPAM,0.00155920526375952,1.1992531583566
PLPPR4,0.0130704029139596,1.19383886700388
