gene_symbol,adj.P.Val,logfc_dz
,6.96626564170856e-14,2.39756067968756
CTSZ,3.37896339593884e-34,2.33885560404657
,3.21277193576513e-17,2.29783416849363
PCSK5,2.41246256416527e-14,2.21046117846198
OLFM4,1.31074775016188e-07,2.12309295878374
SNTN,2.6936152946954e-15,2.11293158050883
CRISPLD1,1.57096423652412e-08,2.04263634887706
WIF1,3.32131165543015e-09,2.02297196798755
DBF4,1.28277998433352e-16,1.99108463618718
TOP2A,1.10214924092542e-08,1.98690454590631
NUF2,1.89344786696329e-15,1.95024940932349
SHCBP1,4.34107655949768e-17,1.93177917798397
NDC80,6.74114348950016e-12,1.89928732108766
AGR3,6.8753047161243e-11,1.89776284675434
MMP26,0.000576256053045736,1.88049858503684
RGS7BP,5.40996760536234e-17,1.86019691922866
KIF11,3.17175814899437e-10,1.83035496943993
CCDC113,3.12811294430477e-18,1.81761042028639
ANLN,7.35091425774737e-11,1.78502836156978
SMC3,4.91629069092986e-23,1.77970538664968
DCDC2,1.11929254149551e-15,1.77746730613819
LMNB1,5.6382109053114e-13,1.77505003224239
CIPC,8.53980812325643e-19,1.76792226462228
DLGAP5,1.57430188954805e-08,1.75782007746308
AMZ2P1,3.58082186995366e-16,1.75344521869516
DNAJC9,6.9475036240701e-15,1.74841722174952
PPP3R1,1.11615719907705e-28,1.7358876661206
OSBPL1A,3.71290301077895e-23,1.73531604132947
PIP5K1B,1.02704380398691e-09,1.7250863787313
SPA17,6.07500047790829e-18,1.72222169067218
NAP1L3,1.16141489046846e-11,1.7195283764065
MNS1,6.80726640197018e-16,1.71768776528225
KBTBD7,3.91688102622205e-18,1.71221060041844
KMO,2.83847129980883e-06,1.70625570339774
PBK,2.24097190112025e-07,1.69459977074569
CCNB1,1.91724182977236e-09,1.69044702801323
IL33,6.06241166265138e-17,1.68739982731128
LINC00645,8.91054281051447e-09,1.68110560113506
TSIX,1.43605981743567e-15,1.67653564280376
LOC101927057,9.36576062977684e-12,1.67630951058473
EFCAB7,1.54727655045514e-20,1.67182439910567
C17orf75,1.43724567878244e-22,1.66712841903532
CEP55,2.42246592365299e-09,1.66445330912066
FOLH1,1.65082986644529e-12,1.65114507603992
NMT2,3.21555126480378e-19,1.64826626841318
CDK1,4.39843236521834e-10,1.64600583765316
CEP76,5.41562283844093e-23,1.63901072062347
EZH2,1.05699219783145e-11,1.63817581455232
DNAAF4,5.75148622550624e-18,1.6377198812903
EGFL6,1.85505044533793e-11,1.63544368487001
NCEH1,1.24101855416974e-14,1.62975780565533
SDAD1,8.21113284142046e-23,1.62689453140291
TRAPPC13,1.65044992445144e-16,1.62242673662146
CENPK,3.85746668499486e-10,1.61809349691545
ZNF506,4.38087384569381e-16,1.61253516032287
TUNAR,6.01528654860556e-10,1.60375188635385
BIVM,6.41437125343883e-19,1.60371209904954
TTK,2.14197816921193e-09,1.60280302570602
