"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"100130335_at",1.14118213681519,11.6035632536975,6.62389841296917,2.69995862060128e-08,9.63943784881289e-08,8.73792363195913,"100130335_at","NAP1L1P3"
"55737_at",1.14090443182563,9.809745708759,6.62568467398448,2.68291913696298e-08,9.58439407072718e-08,8.74415810363139,"55737_at","VPS35"
"389136_at",1.14082453315241,5.568390610595,5.69911744196002,7.06750381336055e-07,1.70982340986037e-06,5.53007546922125,"389136_at","VGLL3"
"253039_at",1.14079746277922,6.31838500681224,4.50489705278535,4.21168183101095e-05,7.18335475657188e-05,1.54775153085824,"253039_at","CUTALP"
"84919_at",1.14071361251116,8.03460198138218,5.54830386258629,1.19751381305385e-06,2.7496774965357e-06,5.01369192946987,"84919_at","PPP1R15B"
"3728_at",-1.14059521486184,9.29311606067035,-8.78197942696485,1.40918139254947e-11,2.08444282519947e-10,16.198430367614,"3728_at","JUP"
"25939_at",1.14059098974279,8.15370667937291,6.0478706344529,2.07294372487551e-07,5.76931783428667e-07,6.73326862200732,"25939_at","SAMHD1"
"94134_at",1.14051516168789,6.95114038053348,5.50906701975007,1.37309149822257e-06,3.10995203998132e-06,4.87981381571609,"94134_at","ARHGAP12"
"97_at",1.14043133889063,7.41909196820874,6.92742787340257,9.2088440471818e-09,3.825470725258e-08,9.79775022369246,"97_at","ACYP1"
"5002_at",-1.14040704069993,8.58013184293406,-6.02194342446795,2.2714708715338e-07,6.25219152546335e-07,6.64346016219231,"5002_at","SLC22A18"
"2632_at",1.14025252213489,9.19205890027414,6.82187833799223,1.33849893522839e-08,5.26051653668811e-08,9.42916027222273,"2632_at","GBE1"
"147807_at",-1.13963234619373,7.0406302053186,-8.85322175452755,1.10447357011372e-11,1.7178463637213e-10,16.4391654958907,"147807_at","ZNF524"
"1687_at",1.13962364906775,8.84272585110347,7.71630758267923,5.68930917822057e-10,3.75813638202742e-09,12.544968629176,"1687_at","GSDME"
"90024_at",-1.1392829083432,7.28066607026576,-7.75310192757805,5.00014043601565e-10,3.3914859831571e-09,12.6724772886412,"90024_at","FLJ20021"
"8492_at",1.13927942634812,6.6844620079216,5.17018268812824,4.44144657159135e-06,9.02777217067675e-06,3.73302771506993,"8492_at","PRSS12"
"219844_at",1.13926782056021,8.02546582148401,9.7203283280989,5.94411166655701e-13,2.00261814766042e-11,19.3257623645628,"219844_at","HYLS1"
"7520_at",1.13926248467179,10.2596592707774,5.26461350044978,3.2071867440496e-06,6.71944494887103e-06,4.05072382158502,"7520_at","XRCC5"
"55970_at",1.13905891416355,7.71867974126905,9.63343502459355,7.93622351032847e-13,2.44827714436097e-11,19.040332477174,"55970_at","GNG12"
"389119_at",-1.13905035617119,7.1880377007492,-7.5610113051039,9.82032939350391e-10,5.89737986797227e-09,12.0060028946633,"389119_at","INKA1"
"4069_at",1.13900627031456,7.63232713016267,4.57375658217224,3.3510992511135e-05,5.80989564619626e-05,1.7688974677019,"4069_at","LYZ"
"23647_at",-1.13896898158585,9.59757559021198,-10.2526137225685,1.02584238460665e-13,5.8071585630432e-12,21.059790715272,"23647_at","ARFIP2"
"5764_at",1.13891022346791,8.62659788149843,5.1104861745106,5.45276115848727e-06,1.09002009925298e-05,3.53301443205785,"5764_at","PTN"
"5716_at",1.13879098538579,8.77840047892693,7.63009619436608,7.70177679933693e-10,4.83936183919073e-09,12.2459188098793,"5716_at","PSMD10"
"10788_at",1.13878177933044,7.33539260411271,7.82867004137495,3.83643152671576e-10,2.74103464922378e-09,12.9341081350753,"10788_at","IQGAP2"
"5111_at",1.13875381177314,10.4535381000518,6.42090551999046,5.54280767814871e-08,1.79763889295754e-07,8.02992160315512,"5111_at","PCNA"
"57003_at",1.13873101214372,8.48118937182527,6.17794687558772,1.30946658690958e-07,3.82652647428939e-07,7.18453344699811,"57003_at","CCDC47"
"64216_at",1.13859077743202,8.32086014477041,7.90599972242118,2.92657959227594e-10,2.22307483234944e-09,13.2014766710057,"64216_at","TFB2M"
"5861_at",1.13833797488866,9.08343470468125,6.59053625122657,3.03884750253497e-08,1.06665148722266e-07,8.62149281989872,"5861_at","RAB1A"
"6386_at",1.13830808629139,11.3783362034708,7.79808572701145,4.27045082777564e-10,2.98431477010147e-09,12.8282603689149,"6386_at","SDCBP"
"6428_at",1.13810919184535,8.06244002796404,7.31883239193672,2.30627658203926e-09,1.19215501983745e-08,11.1633218045938,"6428_at","SRSF3"
"54876_at",1.13806079188311,7.07948751299022,10.1065376217771,1.65627729990118e-13,8.11655124669279e-12,20.5871025103475,"54876_at","DCAF16"
"57380_at",1.1378539252527,6.79042742444085,9.67653487586067,6.87549017546648e-13,2.22844210054202e-11,19.1820201708111,"57380_at","MRS2"
"1983_at",1.13776140582972,8.13941479875975,7.30374480076224,2.43247832705827e-09,1.24816848826307e-08,11.1107507480764,"1983_at","EIF5"
"4924_at",-1.13767364974202,8.813557943077,-9.47609640674183,1.34236496810178e-12,3.56640778295679e-11,18.521245431268,"4924_at","NUCB1"
"79956_at",1.13758681874189,8.38832404619002,5.41188315620031,1.92552904096464e-06,4.22874199268423e-06,4.54913031842752,"79956_at","ERMP1"
"100505641_at",1.13752132880989,9.73319080273294,8.45537204653538,4.33286935930487e-11,5.06011949578113e-10,15.0885931961609,"100505641_at","FGD5-AS1"
"57449_at",-1.13698560415205,6.64659699509383,-10.9093522973537,1.22468337447945e-14,1.34151947822658e-12,23.155387857917,"57449_at","PLEKHG5"
"54931_at",1.13658257875031,8.18766300555827,8.1750029032511,1.14509293003811e-10,1.06629405474765e-09,14.1284056097782,"54931_at","TRMT10C"
"84896_at",1.13635608132676,7.59662394326621,7.86903476965642,3.33071550981624e-10,2.45506932360834e-09,13.0737167756055,"84896_at","ATAD1"
"1808_at",1.13615644092386,10.2280837029599,6.62338520635573,2.70487417163701e-08,9.65316361530957e-08,8.73613243051418,"1808_at","DPYSL2"
"4693_at",1.13605951549474,7.99422937657057,5.08553399709401,5.93996373719835e-06,1.17935656869992e-05,3.44961059312882,"4693_at","NDP"
"4953_at",1.13592130647846,10.8330079688096,6.54295366066373,3.59702100284633e-08,1.23213007060709e-07,8.45547466919124,"4953_at","ODC1"
"9374_at",-1.13578225368942,8.1866581714418,-9.20146352860405,3.38215052039568e-12,7.01214284005922e-11,17.6084152823171,"9374_at","PPT2"
"105376287_at",-1.13569523293118,7.09734080920216,-9.52876282221256,1.12545590584536e-12,3.09906153577622e-11,18.695321437722,"105376287_at","LOC105376287"
"149345_at",-1.13568166139999,7.12288192714124,-7.23377369659548,3.1146097057311e-09,1.53475259110406e-08,10.8668527515039,"149345_at","SHISA4"
"56954_at",1.13553539973052,8.91300634833783,10.5832966272696,3.47795150215452e-14,2.74800383895301e-12,22.1263771222486,"56954_at","NIT2"
"100113407_at",1.13548685939991,5.23922828936174,8.07059424493983,1.64714352777731e-10,1.41197020819759e-09,13.7692481042444,"100113407_at","TMEM170B"
"10950_at",1.13544245266558,9.13730170523804,5.29432885801669,2.89411387823457e-06,6.11165244141823e-06,4.15101097156082,"10950_at","BTG3"
"5885_at",1.13541560930945,8.59446271060972,7.93338926205317,2.65926613079347e-10,2.06569614801568e-09,13.2960846309358,"5885_at","RAD21"
"2961_at",1.13488980636408,8.12774181959985,8.48735560749467,3.87985863524246e-11,4.63141167157964e-10,15.1977067998774,"2961_at","GTF2E2"
"7561_at",1.13481048741727,7.09996601633097,9.57666551457927,9.59023275131085e-13,2.80637610968359e-11,18.8533728940447,"7561_at","ZNF14"
