"GeneID","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"2353",-2.956604308961,9.17409501547526,-8.53553655754749,1.09491815463874e-13,5.77423627188107e-13,20.6102258479935,"2353_at"
"2354",-2.94964141806159,8.17443758458225,-8.36035765988603,2.68192932777757e-13,1.28747692407302e-12,19.7268769924627,"2354_at"
"3726",-2.11166003053685,9.23617479855965,-10.5231873663116,3.73725938007561e-18,7.06984957280785e-17,30.7676204839445,"3726_at"
"347",-2.02711108784899,9.89747945531204,-6.78468727198286,6.90469582136117e-10,1.80287812880513e-09,12.0023198103438,"347_at"
"2052",-1.98632783753027,10.0995989177272,-12.346294973956,3.1275819792448e-22,2.87288741089016e-20,40.0482343435903,"2052_at"
"7538",-1.97355707962202,10.6565127873102,-9.00200738361036,9.94488096124023e-15,6.69661215023159e-14,22.976963067434,"7538_at"
"126393",-1.88353604118418,7.50702069810937,-9.07579585324846,6.79489694803354e-15,4.75689231317563e-14,23.3529264445644,"126393_at"
"2878",-1.8553074838978,10.1847843444085,-3.32256641920345,0.00122517762664446,0.00163858308332366,-1.88236524298324,"2878_at"
"9592",-1.78874454813559,11.4040835831598,-11.6873217453375,9.11344098582355e-21,4.38215317261994e-19,36.714999406996,"9592_at"
"23770",-1.75554047638984,7.32614775936405,-12.8757669457321,2.13411587731236e-23,3.46946266911638e-21,42.7015195952253,"23770_at"
"1521",-1.68461474526207,8.62523870700571,-6.15075542986619,1.39224798339892e-08,3.04590491209478e-08,9.06186106499584,"1521_at"
"5589",-1.66077485120217,10.1879731293669,-14.257945521895,2.18932159130979e-26,1.24572398545527e-23,49.4987801885804,"5589_at"
"1675",-1.65281606160547,8.79891583374019,-3.92864074273373,0.000152524910335502,0.000220940546164517,0.0760887501229472,"1675_at"
"8815",-1.63218638101447,11.1688258427857,-13.5817239070236,6.19404073438677e-25,1.95198046774121e-22,46.1983615528678,"8815_at"
"6813",-1.59613922825737,8.30608556771735,-12.2509630972691,5.08413340918297e-22,4.292721307721e-20,39.5680063136807,"6813_at"
"5047",-1.53463820525221,10.0090230926164,-2.26689366520308,0.0254287742078151,0.030535995478537,-4.63176782474739,"5047_at"
"972",-1.52956750580853,9.6304642769869,-10.6507222687664,1.92865701949568e-18,4.01898376270086e-17,31.4214976224492,"972_at"
"6649",-1.5293858387115,7.45167840027384,-8.98750057543317,1.07177427282152e-14,7.16054279337118e-14,22.903092627301,"6649_at"
"66002",-1.52395386633964,7.0637010274022,-13.8387738281619,1.728414164589e-25,6.32229209775734e-23,47.4588702996751,"66002_at"
"1469",-1.51148757167363,6.87752946563043,-4.23606098747198,4.86728177719076e-05,7.36075303979148e-05,1.1628185006768,"1469_at"
"6522",-1.46879925591255,8.16647173322085,-12.3662135119045,2.82592217176826e-22,2.67991619289357e-20,40.148480975852,"6522_at"
"7791",-1.44816376084676,10.1290363811724,-11.0567828184469,2.35433056423657e-19,6.84058259259886e-18,33.5004915000264,"7791_at"
"55643",-1.44120319906904,8.41651181520478,-12.0982368665333,1.10890203489912e-21,8.00191369200648e-20,38.7971889061708,"55643_at"
"2006",-1.42679213835038,7.72308283922304,-7.92965919521581,2.39032262259233e-12,9.47517015247146e-12,17.5714452198811,"2006_at"
"51157",-1.41975725199298,9.51270495046076,-9.76248183889071,1.93920964636568e-16,2.13678162432246e-15,26.8651453172365,"51157_at"
"10262",-1.40206065392776,8.77310926212838,-13.2807045311873,2.7852803861159e-24,6.41052622799978e-22,44.7133945719032,"10262_at"
"3164",-1.40035540540452,8.1281003133325,-6.01073726175193,2.65893114782809e-08,5.63475539334892e-08,8.43006675993051,"3164_at"
"3561",-1.39409570301444,7.6202432945401,-9.3827817222288,1.38879671280045e-15,1.17070419197549e-14,24.9205532617454,"3561_at"
"26145",-1.39132291743268,7.78774574215451,-12.6795679275522,5.75522662910288e-23,7.8593374847029e-21,41.7211854523456,"26145_at"
"1059",-1.38540945899129,8.09513012697842,-9.63189154432676,3.81838889363539e-16,3.84164430732943e-15,26.195823135101,"1059_at"
"1958",-1.38007268472098,9.50906339352075,-5.86364349347159,5.20939581383782e-08,1.06880272286312e-07,7.77403030177823,"1958_at"
"57104",-1.37224927005493,8.46226940071302,-14.2628852345244,2.13690389111468e-26,1.24572398545527e-23,49.5227009384462,"57104_at"
"28815",-1.36827691167069,7.63401502587271,-9.70224908655929,2.65072581899974e-16,2.79595611103969e-15,26.5563766454815,"28815_at"
"5866",-1.36190039008869,8.00460710203837,-12.588352225838,9.13834029556574e-23,1.10763173144597e-20,41.2642446808572,"5866_at"
"10755",-1.35841104267378,9.44228956181862,-16.3956491701627,7.98463484089017e-31,2.7259543346799e-27,59.5739500395458,"10755_at"
"8870",-1.35171509043884,10.1572811711501,-4.43542786947929,2.25544831232461e-05,3.51175153767539e-05,1.89849877377008,"8870_at"
"7123",-1.34614528745701,9.44113675145404,-4.35145123263327,3.12672583195276e-05,4.81200991297673e-05,1.5857502809308,"7123_at"
"5339",-1.34492964019062,7.1608417055256,-11.0151097917748,2.92072311233813e-19,8.15096624429622e-18,33.2873845606982,"5339_at"
"951",-1.34406079120194,6.03233512659715,-8.49041272770051,1.3795228859953e-13,7.08331831177401e-13,20.382363031164,"951_at"
"92154",-1.34299600361714,6.32563508851753,-11.5454211840397,1.89095749955727e-20,8.24135604700662e-19,35.9934295210356,"92154_at"
"10578",-1.3370654214711,11.2792278117404,-4.39359649166748,2.65523262622734e-05,4.10892083671835e-05,1.74219386924355,"10578_at"
"1072",-1.3303740404439,12.2599375683936,-14.1115757340812,4.49469342370116e-26,2.48835946192148e-23,48.7887135839642,"1072_at"
"10603",-1.32349355360322,8.55856067558278,-14.0451475440668,6.23466918423058e-26,3.11490155048242e-23,48.4656570137014,"10603_at"
"7832",-1.32236998812728,8.68597495463642,-8.0545389189538,1.27077732245534e-12,5.29507784238716e-12,18.1937499808952,"7832_at"
"4499",-1.32004818022363,7.68671774254064,-2.41516554115531,0.0174415818990206,0.0212384593757899,-4.30075999251013,"4499_at"
"90993",-1.31649637348522,8.24363698901094,-8.7435558988257,3.76474302335352e-14,2.21219151148518e-13,21.6633055098396,"90993_at"
"10637",-1.31428378363164,8.27542510609953,-2.80303537720317,0.00602218461494671,0.00764349895610437,-3.3473978660164,"10637_at"
"1843",-1.30149777310884,8.51680982181457,-6.23716870500653,9.30940545413861e-09,2.07795424782146e-08,9.45518535105478,"1843_at"
"81876",-1.2954928387289,9.12731973873806,-9.25754406028639,2.65571408280566e-15,2.08507655316946e-14,24.2804111779164,"81876_at"
"5315",-1.29475756985096,10.6781192874089,-9.53481301623274,6.31697139793305e-16,5.9301944140816e-15,25.6985794884925,"5315_at"
"388",-1.29367063918635,9.29523220738347,-9.51758605043219,6.90705927393526e-16,6.399104575635e-15,25.6103748167955,"388_at"
"10174",-1.28389476921578,7.59151602379991,-12.0369498945587,1.51708668885577e-21,1.01558858185961e-19,38.4873797804407,"10174_at"
"8175",-1.2817978468464,8.56792759806328,-7.85044019217433,3.56465137624991e-12,1.36815287223352e-11,17.1779232526754,"8175_at"
"6709",-1.27533120251594,9.02757464354879,-14.7507463720302,1.97817643794437e-27,1.92956981689773e-24,51.8711630877591,"6709_at"
