gene_symbol,logfc_dz:1029,logfc_dz:1030,logfc_dz:1032,logfc_dz:1038,logfc_dz:1028,logfc_dz:1026,logfc_dz:1027,logfc_dz:1024,logfc_dz:1022,logfc_dz:1023,logfc_dz:464,logfc_dz:1035,logfc_dz:1025,logfc_dz:1021,logfc_dz:1041,logfc_dz:1036,logfc_dz:1037,logfc_dz:1039,logfc_dz:1040,logfc_dz:1033,logfc_dz:1034,mean_logfc,median_logfc,common_experiment,organism,signature_type
CDH18,,,,,,,,,,,,0.1938642114400863,,,,,,,,,,0.1938642114400863,0.1938642114400863,0.1938642114400863,human,UP
PDIA6,,,,,,,,,,,,,,,,,0.1854128986597061,,,,,0.1854128986597061,0.1854128986597061,,human,UP
FAM107A,,,,,,,,,,,,,,,0.0503965616226196,,,0.1903244704008102,0.0554922558367252,,,0.0987377626200517,0.0554922558367252,,human,UP
PSG4,,,,,,,,,,,,,,,,0.0987166315317154,,,,,,0.0987166315317154,0.0987166315317154,,human,UP
LIPC,,,,,,,,,,,,,,,,,,,,,0.0975805222988128,0.0975805222988128,0.0975805222988128,,human,UP
CXCL6,,,,,,,,,,,,0.0879861116409301,,,,,,,,,,0.0879861116409301,0.0879861116409301,0.0879861116409301,human,UP
ACTG2,,,,,,,,,,,,,,,,0.0773100778460502,,,,,,0.0773100778460502,0.0773100778460502,,human,UP
PLAT,,,,,,,,,,,,,,,,0.0762455686926841,,,,,,0.0762455686926841,0.0762455686926841,,human,UP
GMFB,,,,,,,,,,,,,,,0.0703284069895744,,,0.0786652043461799,,,,0.0744968056678772,0.0744968056678772,,human,UP
TENM2,,,,,,,,,,,,0.0684408098459243,,,,,,,,,,0.0684408098459243,0.0684408098459243,0.0684408098459243,human,UP
DIO3,,,,,,,,,,,,0.0648840144276619,,,,,,,,,,0.0648840144276619,0.0648840144276619,0.0648840144276619,human,UP
NREP,,,,,,,,,,,,,,,-0.0176955293864011,,,0.1426852792501449,,,,0.0624948749318718,0.0624948749318718,,human,UP
