gene_symbol,logfc_dz:323,logfc_dz:678,logfc_dz:198,logfc_dz:115,mean_logfc,median_logfc,common_experiment,organism,signature_type
EPX,,,,0.0240362379699945,0.0240362379699945,0.0240362379699945,0.0240362379699945,human,UP
DNMT3B,,,,0.0239553563296794,0.0239553563296794,0.0239553563296794,0.0239553563296794,human,UP
MT1G,,0.0265345927327871,,0.0210801642388105,0.0238073784857988,0.0238073784857988,0.0210801642388105,human,UP
RGPD5,,,,0.0237278752028942,0.0237278752028942,0.0237278752028942,0.0237278752028942,human,UP
LAMA2,,0.0323805846273899,0.0149786286056041,,0.023679606616497,0.023679606616497,,human,UP
CFH,,,0.023667573928833,,0.023667573928833,0.023667573928833,,human,UP
LAPTM4B,0.0250205006450414,,0.0223108604550361,,0.0236656805500388,0.0236656805500388,,human,UP
CST7,,,,0.0236346386373043,0.0236346386373043,0.0236346386373043,0.0236346386373043,human,UP
KRT16,,,,0.0236227381974458,0.0236227381974458,0.0236227381974458,0.0236227381974458,human,UP
SUCLA2,0.023607924580574,,,,0.023607924580574,0.023607924580574,,human,UP
PROS1,0.0621516220271587,-0.0273215621709823,,0.0359476767480373,0.0235925788680712,0.0359476767480373,0.0359476767480373,human,UP
TPR,,,,0.0235880687832832,0.0235880687832832,0.0235880687832832,0.0235880687832832,human,UP
PLCB4,,,,0.0234785862267017,0.0234785862267017,0.0234785862267017,0.0234785862267017,human,UP
HNRNPA3,,,,0.023476144298911,0.023476144298911,0.023476144298911,0.023476144298911,human,UP
RPL5,,0.0235614217817783,0.0233137421309947,,0.0234375819563865,0.0234375819563865,,human,UP
TUBA1A,,,0.0234066247940063,,0.0234066247940063,0.0234066247940063,,human,UP
ODC1,,0.0184871274977922,0.0283083114773035,,0.0233977194875478,0.0233977194875478,,human,UP
MYOM2,,0.0233700685203075,,,0.0233700685203075,0.0233700685203075,,human,UP
RPS6,,0.0170096270740032,0.0296713672578334,,0.0233404971659183,0.0233404971659183,,human,UP
TNFRSF25,,,,0.0233278181403875,0.0233278181403875,0.0233278181403875,0.0233278181403875,human,UP
COL21A1,0.023301675915718,,,,0.023301675915718,0.023301675915718,,human,UP
RPL23,,,0.0232962779700756,,0.0232962779700756,0.0232962779700756,,human,UP
HMGB2,,,,0.0232792515307664,0.0232792515307664,0.0232792515307664,0.0232792515307664,human,UP
DNAJA4,,0.0232222527265548,,,0.0232222527265548,0.0232222527265548,,human,UP
VSNL1,,,,0.0232055820524692,0.0232055820524692,0.0232055820524692,0.0232055820524692,human,UP
ZNF507,,,,0.0231881868094205,0.0231881868094205,0.0231881868094205,0.0231881868094205,human,UP
CNDP2,,,,0.0231338422745466,0.0231338422745466,0.0231338422745466,0.0231338422745466,human,UP
