disease,original_file,rows_standardised,rows_after_shared_gene_filter,rows_removed,retention_percentage
Parkinson's_disease,Parkinson's_disease_signature.csv,457,361,96,78.99
Polymyositis,Polymyositis_signature.csv,263,243,20,92.4
"Pompe_disease,_infantile-onset_form","Pompe_disease,_infantile-onset_form_signature.csv",340,245,95,72.06
Premature_aging,Premature_aging_signature.csv,328,257,71,78.35
Pseudomonas_Infection,Pseudomonas_Infection_signature.csv,319,288,31,90.28
Psoriasis_vulgaris,Psoriasis_vulgaris_signature.csv,491,406,85,82.69
Rett_syndrome,Rett_syndrome_signature.csv,365,339,26,92.88
Rhinovirus_infection,Rhinovirus_infection_signature.csv,284,220,64,77.46
Rotavirus_infection_of_children,Rotavirus_infection_of_children_signature.csv,185,155,30,83.78
Schizophrenia,Schizophrenia_signature.csv,2525,1667,858,66.02
Senescence,Senescence_signature.csv,572,520,52,90.91
Septic_Shock,Septic_Shock_signature.csv,229,142,87,62.01
Setleis_syndrome,Setleis_syndrome_signature.csv,284,237,47,83.45
Simian_Acquired_Immune_Deficiency_Syndrome,Simian_Acquired_Immune_Deficiency_Syndrome_signature.csv,566,467,99,82.51
Sjogren's_syndrome,Sjogren's_syndrome_signature.csv,351,270,81,76.92
Squamous_cell_carcinoma_of_mouth,Squamous_cell_carcinoma_of_mouth_signature.csv,70,66,4,94.29
Teratospermia,Teratospermia_signature.csv,319,167,152,52.35
Turner_syndrome,Turner_syndrome_signature.csv,228,167,61,73.25
Urothelial_carcinoma_in_situ,Urothelial_carcinoma_in_situ_signature.csv,260,225,35,86.54
Venezuelan_equine_encephalitis,Venezuelan_equine_encephalitis_signature.csv,475,372,103,78.32
Viral_cardiomyopathy,Viral_cardiomyopathy_signature.csv,267,216,51,80.9
Vulvar_intraepithelial_tumor,Vulvar_intraepithelial_tumor_signature.csv,277,209,68,75.45
Waldenstrom_Macroglobulinemia,Waldenstrom_Macroglobulinemia_signature.csv,293,248,45,84.64
West_Nile_fever,West_Nile_fever_signature.csv,182,137,45,75.27
Williams-Beuren_syndrome,Williams-Beuren_syndrome_signature.csv,284,233,51,82.04
abdominal_aortic_aneurysm,abdominal_aortic_aneurysm_signature.csv,430,261,169,60.7
acne,acne_signature.csv,373,334,39,89.54
actinic_keratosis,actinic_keratosis_signature.csv,209,178,31,85.17
acute_T_cell_leukemia,acute_T_cell_leukemia_signature.csv,211,163,48,77.25
acute_myeloid_leukemia,acute_myeloid_leukemia_signature.csv,360,319,41,88.61
acute_myocardial_infarction,acute_myocardial_infarction_signature.csv,239,180,59,75.31
adenoma,adenoma_signature.csv,249,200,49,80.32
adenosquamous_cell_lung_carcinoma,adenosquamous_cell_lung_carcinoma_signature.csv,150,113,37,75.33
adrenoleukodystrophy,adrenoleukodystrophy_signature.csv,610,528,82,86.56
alcohol_abuse,alcohol_abuse_signature.csv,373,197,176,52.82
alcoholic_hepatitis,alcoholic_hepatitis_signature.csv,271,229,42,84.5
allergic_asthma,allergic_asthma_signature.csv,310,269,41,86.77
allergic_contact_dermatitis,allergic_contact_dermatitis_signature.csv,341,266,75,78.01
alpha_1-antitrypsin_deficiency,alpha_1-antitrypsin_deficiency_signature.csv,235,213,22,90.64
amyotrophic_lateral_sclerosis,amyotrophic_lateral_sclerosis_signature.csv,126,112,14,88.89
amyotrophic_lateral_sclerosis_type_10,amyotrophic_lateral_sclerosis_type_10_signature.csv,397,302,95,76.07
anaplastic_thyroid_carcinoma,anaplastic_thyroid_carcinoma_signature.csv,240,192,48,80.0
androgen_insensitivity_syndrome,androgen_insensitivity_syndrome_signature.csv,216,158,58,73.15
anemia,anemia_signature.csv,375,298,77,79.47
ankylosing_spondylitis,ankylosing_spondylitis_signature.csv,308,218,90,70.78
anterior_horn_cell_disease,anterior_horn_cell_disease_signature.csv,328,287,41,87.5
aplastic_anemia,aplastic_anemia_signature.csv,175,143,32,81.71
appendicitis,appendicitis_signature.csv,374,334,40,89.3
arthritis,arthritis_signature.csv,886,480,406,54.18
arthropathy,arthropathy_signature.csv,319,261,58,81.82
asthma,asthma_signature.csv,877,557,320,63.51
astrocytoma,astrocytoma_signature.csv,371,292,79,78.71
atherosclerosis,atherosclerosis_signature.csv,407,316,91,77.64
atopic_dermatitis,atopic_dermatitis_signature.csv,456,350,106,76.75
autism_spectrum_disorder,autism_spectrum_disorder_signature.csv,2043,1428,615,69.9
autistic_disorder,autistic_disorder_signature.csv,482,269,213,55.81
autoimmune_thrombocytopenic_purpura,autoimmune_thrombocytopenic_purpura_signature.csv,111,95,16,85.59
bacterial_infectious_disease,bacterial_infectious_disease_signature.csv,474,387,87,81.65
bipolar_disorder,bipolar_disorder_signature.csv,1611,1172,439,72.75
breast_adenocarcinoma,breast_adenocarcinoma_signature.csv,436,330,106,75.69
breast_cancer,breast_cancer_signature.csv,1468,1114,354,75.89
bronchopulmonary_dysplasia,bronchopulmonary_dysplasia_signature.csv,234,185,49,79.06
cellular_phase_chronic_idiopathic_myelofibrosis,cellular_phase_chronic_idiopathic_myelofibrosis_signature.csv,328,283,45,86.28
cerebral_palsy,cerebral_palsy_signature.csv,379,347,32,91.56
cervical_cancer,cervical_cancer_signature.csv,262,232,30,88.55
cervix_carcinoma,cervix_carcinoma_signature.csv,2,2,0,100.0
childhood_type_dermatomyositis,childhood_type_dermatomyositis_signature.csv,202,183,19,90.59
chronic_granulomatous_disease,chronic_granulomatous_disease_signature.csv,508,451,57,88.78
chronic_lymphocytic_leukemia,chronic_lymphocytic_leukemia_signature.csv,405,354,51,87.41
chronic_myeloid_leukemia,chronic_myeloid_leukemia_signature.csv,810,633,177,78.15
