"disease","filename","genes_before_standardization","genes_after_standardization","genes_after_shared_gene_filter","change_standardization","change_filtering","total_change","retention_after_standardization_pct","retention_after_filtering_pct","retention_total_pct"
"diabetes_mellitus","diabetes_mellitus_signature.csv",2871,1404,926,-1467,-478,-1945,48.9,65.95,32.25
"ductal_carcinoma_in_situ","ductal_carcinoma_in_situ_signature.csv",596,235,185,-361,-50,-411,39.43,78.72,31.04
"endometrial_cancer","endometrial_cancer_signature.csv",1493,522,386,-971,-136,-1107,34.96,73.95,25.85
"endometriosis","endometriosis_signature.csv",1759,735,576,-1024,-159,-1183,41.79,78.37,32.75
"esophagus_adenocarcinoma","esophagus_adenocarcinoma_signature.csv",596,265,239,-331,-26,-357,44.46,90.19,40.1
"esophagus_squamous_cell_carcinoma","esophagus_squamous_cell_carcinoma_signature.csv",1017,440,371,-577,-69,-646,43.26,84.32,36.48
"fragile_X_syndrome","fragile_X_syndrome_signature.csv",893,599,347,-294,-252,-546,67.08,57.93,38.86
"gastroesophageal_reflux_disease","gastroesophageal_reflux_disease_signature.csv",599,268,246,-331,-22,-353,44.74,91.79,41.07
"gastrointestinal_stromal_tumor","gastrointestinal_stromal_tumor_signature.csv",1122,646,474,-476,-172,-648,57.58,73.37,42.25
"glaucoma","glaucoma_signature.csv",1001,458,369,-543,-89,-632,45.75,80.57,36.86
"glioblastoma_multiforme","glioblastoma_multiforme_signature.csv",935,414,318,-521,-96,-617,44.28,76.81,34.01
"head_and_neck_squamous_cell_carcinoma","head_and_neck_squamous_cell_carcinoma_signature.csv",600,185,170,-415,-15,-430,30.83,91.89,28.33
"hepatitis_C","hepatitis_C_signature.csv",1523,597,482,-926,-115,-1041,39.2,80.74,31.65
"hepatocellular_carcinoma","hepatocellular_carcinoma_signature.csv",2296,855,686,-1441,-169,-1610,37.24,80.23,29.88
"hypertension","hypertension_signature.csv",600,278,248,-322,-30,-352,46.33,89.21,41.33
"idiopathic_pulmonary_fibrosis","idiopathic_pulmonary_fibrosis_signature.csv",1774,457,373,-1317,-84,-1401,25.76,81.62,21.03
"inflammatory_bowel_disease","inflammatory_bowel_disease_signature.csv",591,281,224,-310,-57,-367,47.55,79.72,37.9
"influenza","influenza_signature.csv",1081,431,327,-650,-104,-754,39.87,75.87,30.25
"interstitial_cystitis","interstitial_cystitis_signature.csv",600,600,533,0,-67,-67,100,88.83,88.83
"juvenile_rheumatoid_arthritis","juvenile_rheumatoid_arthritis_signature.csv",600,7,5,-593,-2,-595,1.17,71.43,0.83
"leukemia","leukemia_signature.csv",38,18,0,-20,-18,-38,47.37,0,0
"liver_cirrhosis","liver_cirrhosis_signature.csv",577,406,308,-171,-98,-269,70.36,75.86,53.38
"lung_adenocarcinoma","lung_adenocarcinoma_signature.csv",599,460,405,-139,-55,-194,76.79,88.04,67.61
"lung_large_cell_carcinoma","lung_large_cell_carcinoma_signature.csv",599,162,119,-437,-43,-480,27.05,73.46,19.87
